2020-04-13 09:28:44	INFO:   	Number-of-Epochs	Global-Error
2020-04-13 09:28:44	OPTIMIZATION:	1	0.21076466898526428
2020-04-13 09:28:44	OPTIMIZATION:	2	0.1215164790845968
2020-04-13 09:28:44	OPTIMIZATION:	3	0.06899743563448894
2020-04-13 09:28:44	OPTIMIZATION:	4	0.04490519476464327
2020-04-13 09:28:44	OPTIMIZATION:	5	0.032647884579850225
2020-04-13 09:28:44	OPTIMIZATION:	6	0.025464783849869495
2020-04-13 09:28:44	OPTIMIZATION:	7	0.0207831612942256
2020-04-13 09:28:44	OPTIMIZATION:	8	0.017500438535712204
2020-04-13 09:28:44	OPTIMIZATION:	9	0.015076705209514605
2020-04-13 09:28:44	OPTIMIZATION:	10	0.013217486125784892
2020-04-13 09:28:44	OPTIMIZATION:	11	0.01174859837742763
2020-04-13 09:28:44	OPTIMIZATION:	12	0.010560475565936587
2020-04-13 09:28:44	OPTIMIZATION:	13	0.00958080350545583
2020-04-13 09:28:44	OPTIMIZATION:	14	0.008759971771203778
2020-04-13 09:28:44	OPTIMIZATION:	15	0.008062842146903114
2020-04-13 09:28:44	OPTIMIZATION:	16	0.0074638503556690924
2020-04-13 09:28:44	OPTIMIZATION:	17	0.006943966934362309
2020-04-13 09:28:44	OPTIMIZATION:	18	0.006488743875064408
2020-04-13 09:28:44	OPTIMIZATION:	19	0.00608702054185918
2020-04-13 09:28:44	OPTIMIZATION:	20	0.00573004351436605
2020-04-13 09:28:44	OPTIMIZATION:	21	0.005410853989950143
2020-04-13 09:28:44	OPTIMIZATION:	22	0.005123852614976984
2020-04-13 09:28:44	OPTIMIZATION:	23	0.004864484675912134
2020-04-13 09:28:44	OPTIMIZATION:	24	0.00462900860838157
2020-04-13 09:28:44	OPTIMIZATION:	25	0.0044143232427045044
2020-04-13 09:28:44	OPTIMIZATION:	26	0.0042178371445459745
2020-04-13 09:28:44	OPTIMIZATION:	27	0.004037368579312738
2020-04-13 09:28:44	OPTIMIZATION:	28	0.0038710680616430397
2020-04-13 09:28:44	OPTIMIZATION:	29	0.003717357771540071
2020-04-13 09:28:44	OPTIMIZATION:	30	0.003574883712708627
2020-04-13 09:28:44	OPTIMIZATION:	31	0.003442477600286416
2020-04-13 09:28:44	OPTIMIZATION:	32	0.0033191262511745767
2020-04-13 09:28:44	OPTIMIZATION:	33	0.003203946813095394
2020-04-13 09:28:44	OPTIMIZATION:	34	0.003096166576466083
2020-04-13 09:28:44	OPTIMIZATION:	35	0.0029951064121169573
2020-04-13 09:28:44	OPTIMIZATION:	36	0.0029001670992016217
2020-04-13 09:28:44	OPTIMIZATION:	37	0.002810817973086763
2020-04-13 09:28:44	OPTIMIZATION:	38	0.0027265874477999095
2020-04-13 09:28:44	OPTIMIZATION:	39	0.0026470550625446836
2020-04-13 09:28:44	OPTIMIZATION:	40	0.00257184477458822
2020-04-13 09:28:44	OPTIMIZATION:	41	0.0025006192770682142
2020-04-13 09:28:44	OPTIMIZATION:	42	0.0024330751640310095
2020-04-13 09:28:44	SUCCEED:	FINISHED-AFTER:	42
