2020-04-13 09:28:41	INFO:   	Number-of-Epochs	Global-Error
2020-04-13 09:28:41	OPTIMIZATION:	1	0.19563110848401855
2020-04-13 09:28:41	OPTIMIZATION:	2	0.08350268529618933
2020-04-13 09:28:41	OPTIMIZATION:	3	0.03901980346037771
2020-04-13 09:28:41	OPTIMIZATION:	4	0.024144621505613046
2020-04-13 09:28:41	OPTIMIZATION:	5	0.017507472044250624
2020-04-13 09:28:41	OPTIMIZATION:	6	0.013757332252325746
2020-04-13 09:28:41	OPTIMIZATION:	7	0.01132395313808593
2020-04-13 09:28:41	OPTIMIZATION:	8	0.009610058383083132
2020-04-13 09:28:41	OPTIMIZATION:	9	0.008336354347961539
2020-04-13 09:28:41	OPTIMIZATION:	10	0.0073527242691027415
2020-04-13 09:28:41	OPTIMIZATION:	11	0.006570614881014643
2020-04-13 09:28:41	OPTIMIZATION:	12	0.005934228253683685
2020-04-13 09:28:41	OPTIMIZATION:	13	0.005406611043817843
2020-04-13 09:28:41	OPTIMIZATION:	14	0.004962307207354419
2020-04-13 09:28:41	OPTIMIZATION:	15	0.00458320791623476
2020-04-13 09:28:41	OPTIMIZATION:	16	0.004256080445977371
2020-04-13 09:28:41	OPTIMIZATION:	17	0.0039710321426869935
2020-04-13 09:28:41	OPTIMIZATION:	18	0.003720520668164045
2020-04-13 09:28:41	OPTIMIZATION:	19	0.0034986963951898933
2020-04-13 09:28:41	OPTIMIZATION:	20	0.0033009537584979456
2020-04-13 09:28:41	OPTIMIZATION:	21	0.0031236179938098755
2020-04-13 09:28:41	OPTIMIZATION:	22	0.002963721892530619
2020-04-13 09:28:41	OPTIMIZATION:	23	0.0028188437865201772
2020-04-13 09:28:41	OPTIMIZATION:	24	0.0026869880378870095
2020-04-13 09:28:41	OPTIMIZATION:	25	0.002566495578235435
2020-04-13 09:28:41	OPTIMIZATION:	26	0.0024559760443782688
2020-04-13 09:28:41	SUCCEED:	FINISHED-AFTER:	26
