2020-04-13 09:28:44	INFO:   	Number-of-Epochs	Global-Error
2020-04-13 09:28:44	OPTIMIZATION:	1	0.21911559319003668
2020-04-13 09:28:44	OPTIMIZATION:	2	0.08901841352068518
2020-04-13 09:28:44	OPTIMIZATION:	3	0.03945962189315166
2020-04-13 09:28:44	OPTIMIZATION:	4	0.023899778821813683
2020-04-13 09:28:44	OPTIMIZATION:	5	0.017202054335190734
2020-04-13 09:28:44	OPTIMIZATION:	6	0.013475054708056216
2020-04-13 09:28:44	OPTIMIZATION:	7	0.01107273008029267
2020-04-13 09:28:44	OPTIMIZATION:	8	0.00938660188354206
2020-04-13 09:28:44	OPTIMIZATION:	9	0.008136282053617562
2020-04-13 09:28:44	OPTIMIZATION:	10	0.007172204084709335
2020-04-13 09:28:44	OPTIMIZATION:	11	0.006406531020844676
2020-04-13 09:28:44	OPTIMIZATION:	12	0.005784082333246512
2020-04-13 09:28:44	OPTIMIZATION:	13	0.005268394952644524
2020-04-13 09:28:44	OPTIMIZATION:	14	0.004834394392144414
2020-04-13 09:28:44	OPTIMIZATION:	15	0.004464268435546044
2020-04-13 09:28:44	OPTIMIZATION:	16	0.004145016302505126
2020-04-13 09:28:44	OPTIMIZATION:	17	0.00386692828503033
2020-04-13 09:28:44	OPTIMIZATION:	18	0.003622607724802688
2020-04-13 09:28:44	OPTIMIZATION:	19	0.0034063221204987636
2020-04-13 09:28:44	OPTIMIZATION:	20	0.0032135609581010194
2020-04-13 09:28:44	OPTIMIZATION:	21	0.003040727297836249
2020-04-13 09:28:44	OPTIMIZATION:	22	0.0028849181854894677
2020-04-13 09:28:44	OPTIMIZATION:	23	0.002743765419960522
2020-04-13 09:28:44	OPTIMIZATION:	24	0.0026153181803077103
2020-04-13 09:28:44	OPTIMIZATION:	25	0.0024979552213957898
2020-04-13 09:28:44	SUCCEED:	FINISHED-AFTER:	25
