2020-04-13 09:28:36	INFO:   	Number-of-Epochs	Global-Error
2020-04-13 09:28:36	OPTIMIZATION:	1	0.25403614532115887
2020-04-13 09:28:36	OPTIMIZATION:	2	0.2032934170210538
2020-04-13 09:28:36	OPTIMIZATION:	3	0.19441025763379838
2020-04-13 09:28:36	OPTIMIZATION:	4	0.19377072851377156
2020-04-13 09:28:36	OPTIMIZATION:	5	0.19386210046651195
2020-04-13 09:28:36	OPTIMIZATION:	6	0.19393772769645587
2020-04-13 09:28:36	OPTIMIZATION:	7	0.1939472021581213
2020-04-13 09:28:36	OPTIMIZATION:	8	0.19389879496676043
2020-04-13 09:28:36	OPTIMIZATION:	9	0.19380508440571173
2020-04-13 09:28:36	OPTIMIZATION:	10	0.19367694677009076
2020-04-13 09:28:36	OPTIMIZATION:	11	0.19352269234077424
2020-04-13 09:28:36	OPTIMIZATION:	12	0.19334828284118452
2020-04-13 09:28:36	OPTIMIZATION:	13	0.19315780795008783
2020-04-13 09:28:36	OPTIMIZATION:	14	0.1929539540801696
2020-04-13 09:28:36	OPTIMIZATION:	15	0.1927383885260279
2020-04-13 09:28:36	OPTIMIZATION:	16	0.19251205123188778
2020-04-13 09:28:36	OPTIMIZATION:	17	0.19227536797204156
2020-04-13 09:28:36	OPTIMIZATION:	18	0.19202840264135432
2020-04-13 09:28:36	OPTIMIZATION:	19	0.19177096446000702
2020-04-13 09:28:36	OPTIMIZATION:	20	0.1915026826261996
2020-04-13 09:28:36	OPTIMIZATION:	21	0.19122305782493218
2020-04-13 09:28:36	OPTIMIZATION:	22	0.19093149744667873
2020-04-13 09:28:36	OPTIMIZATION:	23	0.19062733941971377
2020-04-13 09:28:36	OPTIMIZATION:	24	0.19030986812356665
2020-04-13 09:28:36	OPTIMIZATION:	25	0.18997832481531876
2020-04-13 09:28:36	OPTIMIZATION:	26	0.18963191426357587
2020-04-13 09:28:36	OPTIMIZATION:	27	0.18926980876553487
2020-04-13 09:28:36	OPTIMIZATION:	28	0.1888911503589788
2020-04-13 09:28:36	OPTIMIZATION:	29	0.18849505178795345
2020-04-13 09:28:36	OPTIMIZATION:	30	0.1880805966056365
2020-04-13 09:28:36	OPTIMIZATION:	31	0.18764683867723295
2020-04-13 09:28:36	OPTIMIZATION:	32	0.1871928012631874
2020-04-13 09:28:36	OPTIMIZATION:	33	0.1867174758070705
2020-04-13 09:28:36	OPTIMIZATION:	34	0.18621982051512773
2020-04-13 09:28:36	OPTIMIZATION:	35	0.1856987587901095
2020-04-13 09:28:36	OPTIMIZATION:	36	0.18515317756675845
2020-04-13 09:28:36	OPTIMIZATION:	37	0.18458192558759196
