2020-04-13 11:26:08	INFO:   	Number-of-Epochs	Global-Error
2020-04-13 11:26:08	OPTIMIZATION:	1	0.1733239541624031
2020-04-13 11:26:08	OPTIMIZATION:	2	0.11665033886165892
2020-04-13 11:26:08	OPTIMIZATION:	3	0.11320650303864525
2020-04-13 11:26:08	OPTIMIZATION:	4	0.11236171711340613
2020-04-13 11:26:08	OPTIMIZATION:	5	0.11205927009569602
2020-04-13 11:26:08	OPTIMIZATION:	6	0.11193388073280527
2020-04-13 11:26:08	OPTIMIZATION:	7	0.11187771026077895
2020-04-13 11:26:08	OPTIMIZATION:	8	0.11185142801015173
2020-04-13 11:26:08	OPTIMIZATION:	9	0.11183879508617983
2020-04-13 11:26:08	OPTIMIZATION:	10	0.11183256740599122
2020-04-13 11:26:08	OPTIMIZATION:	11	0.1118293541246169
2020-04-13 11:26:08	OPTIMIZATION:	12	0.11182752453696092
2020-04-13 11:26:08	OPTIMIZATION:	13	0.11182628719438846
2020-04-13 11:26:08	OPTIMIZATION:	14	0.11182526163636825
2020-04-13 11:26:08	OPTIMIZATION:	15	0.11182427127627982
2020-04-13 11:26:08	OPTIMIZATION:	16	0.11182324058436792
2020-04-13 11:26:08	OPTIMIZATION:	17	0.11182214327014803
2020-04-13 11:26:08	OPTIMIZATION:	18	0.11182097604773797
2020-04-13 11:26:08	OPTIMIZATION:	19	0.11181974544632498
2020-04-13 11:26:08	OPTIMIZATION:	20	0.11181846132520777
2020-04-13 11:26:08	OPTIMIZATION:	21	0.11181713383161032
2020-04-13 11:26:08	OPTIMIZATION:	22	0.11181577210642646
2020-04-13 11:26:08	OPTIMIZATION:	23	0.11181438385462175
2020-04-13 11:26:08	OPTIMIZATION:	24	0.11181297532213778
2020-04-13 11:26:08	OPTIMIZATION:	25	0.11181155144507535
2020-04-13 11:26:08	OPTIMIZATION:	26	0.11181011605481715
2020-04-13 11:26:08	OPTIMIZATION:	27	0.11180867208435002
2020-04-13 11:26:08	OPTIMIZATION:	28	0.11180722175268927
2020-04-13 11:26:08	OPTIMIZATION:	29	0.11180576672006835
2020-04-13 11:26:08	OPTIMIZATION:	30	0.1118043082139721
2020-04-13 11:26:08	OPTIMIZATION:	31	0.11180284712920485
2020-04-13 11:26:08	OPTIMIZATION:	32	0.1118013841061513
2020-04-13 11:26:08	OPTIMIZATION:	33	0.11179991959134816
2020-04-13 11:26:08	OPTIMIZATION:	34	0.11179845388402057
2020-04-13 11:26:08	OPTIMIZATION:	35	0.11179698717164693
2020-04-13 11:26:08	OPTIMIZATION:	36	0.11179551955703475
2020-04-13 11:26:08	OPTIMIZATION:	37	0.11179405107887518
2020-04-13 11:26:08	OPTIMIZATION:	38	0.11179258172731457
2020-04-13 11:26:08	OPTIMIZATION:	39	0.11179111145573205
2020-04-13 11:26:08	OPTIMIZATION:	40	0.11178964018963605
2020-04-13 11:26:08	OPTIMIZATION:	41	0.11178816783337815
2020-04-13 11:26:08	OPTIMIZATION:	42	0.1117866942752148
2020-04-13 11:26:08	OPTIMIZATION:	43	0.11178521939112022
2020-04-13 11:26:08	OPTIMIZATION:	44	0.11178374304765587
2020-04-13 11:26:08	OPTIMIZATION:	45	0.11178226510412742
2020-04-13 11:26:08	OPTIMIZATION:	46	0.11178078541420434
2020-04-13 11:26:08	OPTIMIZATION:	47	0.11177930382713312
2020-04-13 11:26:08	OPTIMIZATION:	48	0.11177782018864454
2020-04-13 11:26:08	OPTIMIZATION:	49	0.11177633434162974
2020-04-13 11:26:08	OPTIMIZATION:	50	0.11177484612664168
2020-04-13 11:26:08	OPTIMIZATION:	51	0.1117733553822648
2020-04-13 11:26:08	OPTIMIZATION:	52	0.11177186194538548
2020-04-13 11:26:08	OPTIMIZATION:	53	0.11177036565138705
2020-04-13 11:26:08	OPTIMIZATION:	54	0.11176886633428819
2020-04-13 11:26:08	OPTIMIZATION:	55	0.11176736382683808
2020-04-13 11:26:08	OPTIMIZATION:	56	0.11176585796057945
2020-04-13 11:26:08	OPTIMIZATION:	57	0.1117643485658864
2020-04-13 11:26:08	OPTIMIZATION:	58	0.11176283547198435
2020-04-13 11:26:08	OPTIMIZATION:	59	0.11176131850695457
2020-04-13 11:26:08	OPTIMIZATION:	60	0.1117597974977291
2020-04-13 11:26:08	OPTIMIZATION:	61	0.11175827227007652
2020-04-13 11:26:08	OPTIMIZATION:	62	0.11175674264858171
2020-04-13 11:26:08	OPTIMIZATION:	63	0.11175520845662046
2020-04-13 11:26:08	OPTIMIZATION:	64	0.11175366951633056
2020-04-13 11:26:08	OPTIMIZATION:	65	0.11175212564857961
2020-04-13 11:26:08	OPTIMIZATION:	66	0.11175057667293045
2020-04-13 11:26:08	OPTIMIZATION:	67	0.1117490224076048
2020-04-13 11:26:08	OPTIMIZATION:	68	0.11174746266944503
2020-04-13 11:26:08	OPTIMIZATION:	69	0.1117458972738752
2020-04-13 11:26:08	OPTIMIZATION:	70	0.11174432603486005
2020-04-13 11:26:08	OPTIMIZATION:	71	0.11174274876486384
2020-04-13 11:26:08	OPTIMIZATION:	72	0.11174116527480779
2020-04-13 11:26:08	OPTIMIZATION:	73	0.11173957537402694
2020-04-13 11:26:08	OPTIMIZATION:	74	0.11173797887022612
2020-04-13 11:26:08	OPTIMIZATION:	75	0.11173637556943523
