2020-04-13 11:27:59	INFO:   	Number-of-Epochs	Global-Error
2020-04-13 11:27:59	OPTIMIZATION:	1	0.27117026797700566
2020-04-13 11:27:59	OPTIMIZATION:	2	0.27293395873749754
2020-04-13 11:27:59	OPTIMIZATION:	3	0.27289152915926296
2020-04-13 11:27:59	OPTIMIZATION:	4	0.2727183306775513
2020-04-13 11:27:59	OPTIMIZATION:	5	0.2725288617672195
2020-04-13 11:27:59	OPTIMIZATION:	6	0.27234018260535653
2020-04-13 11:27:59	OPTIMIZATION:	7	0.27215478567278945
2020-04-13 11:27:59	OPTIMIZATION:	8	0.2719730025268954
2020-04-13 11:27:59	OPTIMIZATION:	9	0.271794837814174
2020-04-13 11:27:59	OPTIMIZATION:	10	0.27162024472176033
2020-04-13 11:27:59	OPTIMIZATION:	11	0.27144916754043696
2020-04-13 11:27:59	OPTIMIZATION:	12	0.2712815485199521
2020-04-13 11:27:59	OPTIMIZATION:	13	0.2711173291022609
2020-04-13 11:27:59	OPTIMIZATION:	14	0.2709564502414335
2020-04-13 11:27:59	OPTIMIZATION:	15	0.2707988525655116
2020-04-13 11:27:59	OPTIMIZATION:	16	0.27064447650449286
2020-04-13 11:27:59	OPTIMIZATION:	17	0.2704932624055072
2020-04-13 11:27:59	OPTIMIZATION:	18	0.2703451506390297
2020-04-13 11:27:59	OPTIMIZATION:	19	0.270200081697044
2020-04-13 11:27:59	OPTIMIZATION:	20	0.27005799628356886
2020-04-13 11:27:59	OPTIMIZATION:	21	0.2699188353978811
2020-04-13 11:27:59	OPTIMIZATION:	22	0.269782540410752
2020-04-13 11:27:59	OPTIMIZATION:	23	0.26964905313401943
2020-04-13 11:27:59	OPTIMIZATION:	24	0.26951831588381603
2020-04-13 11:27:59	OPTIMIZATION:	25	0.2693902715377723
2020-04-13 11:27:59	OPTIMIZATION:	26	0.2692648635865122
2020-04-13 11:27:59	OPTIMIZATION:	27	0.2691420361797538
2020-04-13 11:27:59	OPTIMIZATION:	28	0.26902173416732056
2020-04-13 11:27:59	OPTIMIZATION:	29	0.2689039031353629
2020-04-13 11:27:59	OPTIMIZATION:	30	0.26878848943808337
2020-04-13 11:27:59	OPTIMIZATION:	31	0.26867544022524653
2020-04-13 11:27:59	OPTIMIZATION:	32	0.26856470346574807
2020-04-13 11:27:59	OPTIMIZATION:	33	0.2684562279675073
2020-04-13 11:27:59	OPTIMIZATION:	34	0.2683499633939365
2020-04-13 11:27:59	OPTIMIZATION:	35	0.26824586027723024
2020-04-13 11:27:59	OPTIMIZATION:	36	0.26814387002870654
2020-04-13 11:27:59	OPTIMIZATION:	37	0.2680439449464232
2020-04-13 11:27:59	OPTIMIZATION:	38	0.26794603822027935
2020-04-13 11:27:59	OPTIMIZATION:	39	0.26785010393480224
2020-04-13 11:27:59	OPTIMIZATION:	40	0.2677560970698102
2020-04-13 11:27:59	OPTIMIZATION:	41	0.2676639734991307
2020-04-13 11:27:59	OPTIMIZATION:	42	0.2675736899875422
2020-04-13 11:27:59	OPTIMIZATION:	43	0.26748520418610117
2020-04-13 11:27:59	OPTIMIZATION:	44	0.2673984746260017
2020-04-13 11:27:59	OPTIMIZATION:	45	0.2673134607111094
2020-04-13 11:27:59	OPTIMIZATION:	46	0.267230122709302
2020-04-13 11:27:59	OPTIMIZATION:	47	0.2671484217427371
2020-04-13 11:27:59	OPTIMIZATION:	48	0.26706831977716383
