2020-04-13 12:13:04	INFO:   	Number-of-Epochs	Global-Error
2020-04-13 12:13:04	OPTIMIZATION:	1	0.2764506981491709
2020-04-13 12:13:04	OPTIMIZATION:	2	0.2786263253829083
2020-04-13 12:13:04	OPTIMIZATION:	3	0.27839148128368396
2020-04-13 12:13:04	OPTIMIZATION:	4	0.2780197283610293
2020-04-13 12:13:04	OPTIMIZATION:	5	0.2776530773982523
2020-04-13 12:13:04	OPTIMIZATION:	6	0.277295776480661
2020-04-13 12:13:04	OPTIMIZATION:	7	0.27694749490121334
2020-04-13 12:13:04	OPTIMIZATION:	8	0.27660803179294846
2020-04-13 12:13:04	OPTIMIZATION:	9	0.27627720990067395
2020-04-13 12:13:04	OPTIMIZATION:	10	0.2759548512179935
2020-04-13 12:13:04	OPTIMIZATION:	11	0.27564077574810103
2020-04-13 12:13:04	OPTIMIZATION:	12	0.27533480204476485
2020-04-13 12:13:04	OPTIMIZATION:	13	0.2750367477993077
2020-04-13 12:13:04	OPTIMIZATION:	14	0.27474643037938257
2020-04-13 12:13:04	OPTIMIZATION:	15	0.27446366731795235
2020-04-13 12:13:04	OPTIMIZATION:	16	0.2741882767550238
2020-04-13 12:13:04	OPTIMIZATION:	17	0.27392007783487293
2020-04-13 12:13:04	OPTIMIZATION:	18	0.27365889106150754
2020-04-13 12:13:04	OPTIMIZATION:	19	0.27340453861508784
2020-04-13 12:13:04	OPTIMIZATION:	20	0.2731568446319748
2020-04-13 12:13:04	OPTIMIZATION:	21	0.2729156354510059
2020-04-13 12:13:04	OPTIMIZATION:	22	0.2726807398285083
2020-04-13 12:13:04	OPTIMIZATION:	23	0.27245198912446134
2020-04-13 12:13:04	OPTIMIZATION:	24	0.27222921746210954
2020-04-13 12:13:04	OPTIMIZATION:	25	0.2720122618632128
2020-04-13 12:13:04	OPTIMIZATION:	26	0.271800962361001
2020-04-13 12:13:04	OPTIMIZATION:	27	0.2715951620927784
2020-04-13 12:13:04	OPTIMIZATION:	28	0.2713947073740054
2020-04-13 12:13:04	OPTIMIZATION:	29	0.2711994477555614
2020-04-13 12:13:04	OPTIMIZATION:	30	0.2710092360657802
2020-04-13 12:13:04	OPTIMIZATION:	31	0.2708239284387346
2020-04-13 12:13:04	OPTIMIZATION:	32	0.27064338433013735
2020-04-13 12:13:04	OPTIMIZATION:	33	0.27046746652212406
2020-04-13 12:13:04	OPTIMIZATION:	34	0.2702960411180825
2020-04-13 12:13:04	OPTIMIZATION:	35	0.27012897752860165
2020-04-13 12:13:04	OPTIMIZATION:	36	0.269966148449524
2020-04-13 12:13:04	OPTIMIZATION:	37	0.2698074298330032
2020-04-13 12:13:04	OPTIMIZATION:	38	0.2696527008523936
2020-04-13 12:13:04	OPTIMIZATION:	39	0.26950184386172205
2020-04-13 12:13:04	OPTIMIZATION:	40	0.2693547443504323
2020-04-13 12:13:04	OPTIMIZATION:	41	0.26921129089402346
2020-04-13 12:13:04	OPTIMIZATION:	42	0.2690713751011543
2020-04-13 12:13:04	OPTIMIZATION:	43	0.2689348915577244
2020-04-13 12:13:04	OPTIMIZATION:	44	0.26880173776840305
2020-04-13 12:13:04	OPTIMIZATION:	45	0.26867181409602636
2020-04-13 12:13:04	OPTIMIZATION:	46	0.2685450236992435
2020-04-13 12:13:04	OPTIMIZATION:	47	0.26842127246875735
2020-04-13 12:13:04	OPTIMIZATION:	48	0.26830046896246823
2020-04-13 12:13:04	OPTIMIZATION:	49	0.26818252433979933
2020-04-13 12:13:04	OPTIMIZATION:	50	0.26806735229545176
2020-04-13 12:13:04	OPTIMIZATION:	51	0.2679548689928139
2020-04-13 12:13:04	OPTIMIZATION:	52	0.2678449929972224
2020-04-13 12:13:04	OPTIMIZATION:	53	0.2677376452092527
2020-04-13 12:13:04	OPTIMIZATION:	54	0.26763274879819443
2020-04-13 12:13:04	OPTIMIZATION:	55	0.2675302291358522
2020-04-13 12:13:04	OPTIMIZATION:	56	0.267430013730791
2020-04-13 12:13:04	OPTIMIZATION:	57	0.2673320321631346
2020-04-13 12:13:04	OPTIMIZATION:	58	0.26723621602000847
2020-04-13 12:13:04	OPTIMIZATION:	59	0.2671424988317065
2020-04-13 12:13:04	OPTIMIZATION:	60	0.2670508160086513
2020-04-13 12:13:04	OPTIMIZATION:	61	0.26696110477920376
2020-04-13 12:13:04	OPTIMIZATION:	62	0.26687330412837124
2020-04-13 12:13:04	OPTIMIZATION:	63	0.2667873547374523
2020-04-13 12:13:04	OPTIMIZATION:	64	0.2667031989246507
2020-04-13 12:13:04	OPTIMIZATION:	65	0.2666207805866807
2020-04-13 12:13:04	OPTIMIZATION:	66	0.2665400451413819
2020-04-13 12:13:04	OPTIMIZATION:	67	0.26646093947135513
2020-04-13 12:13:04	OPTIMIZATION:	68	0.2663834118686243
2020-04-13 12:13:04	OPTIMIZATION:	69	0.26630741198032415
2020-04-13 12:13:04	OPTIMIZATION:	70	0.26623289075541307
2020-04-13 12:13:04	OPTIMIZATION:	71	0.266159800392399
2020-04-13 12:13:04	OPTIMIZATION:	72	0.2660880942880695
2020-04-13 12:13:04	OPTIMIZATION:	73	0.26601772698721055
2020-04-13 12:13:04	OPTIMIZATION:	74	0.26594865413329427
2020-04-13 12:13:04	OPTIMIZATION:	75	0.2658808324201174
2020-04-13 12:13:04	OPTIMIZATION:	76	0.2658142195443639
2020-04-13 12:13:04	OPTIMIZATION:	77	0.26574877415906933
2020-04-13 12:13:04	OPTIMIZATION:	78	0.2656844558279564
2020-04-13 12:13:04	OPTIMIZATION:	79	0.26562122498061413
2020-04-13 12:13:04	OPTIMIZATION:	80	0.26555904286848875
2020-04-13 12:13:04	OPTIMIZATION:	81	0.26549787152165255
2020-04-13 12:13:04	OPTIMIZATION:	82	0.26543767370631904
2020-04-13 12:13:04	OPTIMIZATION:	83	0.26537841288306613
2020-04-13 12:13:04	OPTIMIZATION:	84	0.26532005316573354
2020-04-13 12:13:04	OPTIMIZATION:	85	0.2652625592809545
2020-04-13 12:13:04	OPTIMIZATION:	86	0.2652058965282853
2020-04-13 12:13:04	OPTIMIZATION:	87	0.26515003074089166
2020-04-13 12:13:04	OPTIMIZATION:	88	0.265094928246753
2020-04-13 12:13:04	OPTIMIZATION:	89	0.26504055583034153
2020-04-13 12:13:04	OPTIMIZATION:	90	0.26498688069473697
2020-04-13 12:13:04	OPTIMIZATION:	91	0.2649338704241311
2020-04-13 12:13:04	OPTIMIZATION:	92	0.2648814929466815
2020-04-13 12:13:04	OPTIMIZATION:	93	0.2648297164976677
2020-04-13 12:13:04	OPTIMIZATION:	94	0.26477850958290555
2020-04-13 12:13:04	OPTIMIZATION:	95	0.2647278409423744
2020-04-13 12:13:04	OPTIMIZATION:	96	0.264677679514008
2020-04-13 12:13:04	OPTIMIZATION:	97	0.2646279943976029
2020-04-13 12:13:04	OPTIMIZATION:	98	0.26457875481879367
2020-04-13 12:13:04	OPTIMIZATION:	99	0.26452993009304526
2020-04-13 12:13:04	OPTIMIZATION:	100	0.26448148958961015
2020-04-13 12:13:04	OPTIMIZATION:	101	0.26443340269539695
2020-04-13 12:13:04	OPTIMIZATION:	102	0.2643856387786951
2020-04-13 12:13:04	OPTIMIZATION:	103	0.26433816715270025
2020-04-13 12:13:04	OPTIMIZATION:	104	0.2642909570387784
2020-04-13 12:13:04	OPTIMIZATION:	105	0.264243977529412
2020-04-13 12:13:04	OPTIMIZATION:	106	0.26419719755075954
2020-04-13 12:13:04	OPTIMIZATION:	107	0.264150585824767
2020-04-13 12:13:04	OPTIMIZATION:	108	0.2641041108307582
2020-04-13 12:13:04	OPTIMIZATION:	109	0.2640577407664337
2020-04-13 12:13:04	OPTIMIZATION:	110	0.26401144350820116
2020-04-13 12:13:04	OPTIMIZATION:	111	0.26396518657075696
2020-04-13 12:13:04	OPTIMIZATION:	112	0.263918937065834
2020-04-13 12:13:04	OPTIMIZATION:	113	0.26387266166002704
2020-04-13 12:13:04	OPTIMIZATION:	114	0.2638263265316001
2020-04-13 12:13:04	OPTIMIZATION:	115	0.2637798973261747
2020-04-13 12:13:04	OPTIMIZATION:	116	0.26373333911119307
2020-04-13 12:13:04	OPTIMIZATION:	117	0.2636866163290402
2020-04-13 12:13:04	OPTIMIZATION:	118	0.2636396927487046
2020-04-13 12:13:04	OPTIMIZATION:	119	0.2635925314158464
2020-04-13 12:13:04	OPTIMIZATION:	120	0.26354509460113296
2020-04-13 12:13:04	OPTIMIZATION:	121	0.26349734374669365
2020-04-13 12:13:04	OPTIMIZATION:	122	0.263449239410531
2020-04-13 12:13:04	OPTIMIZATION:	123	0.26340074120871787
2020-04-13 12:13:04	OPTIMIZATION:	124	0.26335180775519323
2020-04-13 12:13:04	OPTIMIZATION:	125	0.2633023965989579
2020-04-13 12:13:04	OPTIMIZATION:	126	0.26325246415845316
2020-04-13 12:13:04	OPTIMIZATION:	127	0.2632019656528929
2020-04-13 12:13:04	OPTIMIZATION:	128	0.26315085503029473
2020-04-13 12:13:04	OPTIMIZATION:	129	0.26309908489194356
2020-04-13 12:13:04	OPTIMIZATION:	130	0.2630466064129927
2020-04-13 12:13:04	OPTIMIZATION:	131	0.2629933692588887
2020-04-13 12:13:04	OPTIMIZATION:	132	0.26293932149727733
2020-04-13 12:13:04	OPTIMIZATION:	133	0.26288440950502256
2020-04-13 12:13:04	OPTIMIZATION:	134	0.2628285778699405
2020-04-13 12:13:04	OPTIMIZATION:	135	0.26277176928681567
2020-04-13 12:13:04	OPTIMIZATION:	136	0.26271392444723285
2020-04-13 12:13:04	OPTIMIZATION:	137	0.26265498192272124
2020-04-13 12:13:04	OPTIMIZATION:	138	0.2625948780406623
2020-04-13 12:13:04	OPTIMIZATION:	139	0.26253354675237195
2020-04-13 12:13:04	OPTIMIZATION:	140	0.26247091949271567
2020-04-13 12:13:04	OPTIMIZATION:	141	0.2624069250305661
2020-04-13 12:13:04	OPTIMIZATION:	142	0.26234148930935103
2020-04-13 12:13:04	OPTIMIZATION:	143	0.26227453527688405
2020-04-13 12:13:04	OPTIMIZATION:	144	0.2622059827035973
2020-04-13 12:13:04	OPTIMIZATION:	145	0.2621357479882301
2020-04-13 12:13:04	OPTIMIZATION:	146	0.26206374394994314
2020-04-13 12:13:04	OPTIMIZATION:	147	0.26198987960575004
2020-04-13 12:13:04	OPTIMIZATION:	148	0.26191405993206196
2020-04-13 12:13:04	OPTIMIZATION:	149	0.2618361856090469
2020-04-13 12:13:04	OPTIMIZATION:	150	0.2617561527463985
2020-04-13 12:13:04	OPTIMIZATION:	151	0.2616738525889932
2020-04-13 12:13:04	OPTIMIZATION:	152	0.2615891712007971
2020-04-13 12:13:04	OPTIMIZATION:	153	0.26150198912524486
2020-04-13 12:13:04	OPTIMIZATION:	154	0.2614121810201771
2020-04-13 12:13:04	OPTIMIZATION:	155	0.2613196152652677
2020-04-13 12:13:04	OPTIMIZATION:	156	0.26122415353970607
2020-04-13 12:13:04	OPTIMIZATION:	157	0.2611256503677304
2020-04-13 12:13:04	OPTIMIZATION:	158	0.26102395262941247
2020-04-13 12:13:04	OPTIMIZATION:	159	0.260918899033901
2020-04-13 12:13:04	OPTIMIZATION:	160	0.2608103195521122
2020-04-13 12:13:04	OPTIMIZATION:	161	0.26069803480563386
2020-04-13 12:13:04	OPTIMIZATION:	162	0.26058185540836326
2020-04-13 12:13:04	OPTIMIZATION:	163	0.2604615812571545
2020-04-13 12:13:04	OPTIMIZATION:	164	0.26033700076747673
2020-04-13 12:13:04	OPTIMIZATION:	165	0.2602078900498132
2020-04-13 12:13:04	OPTIMIZATION:	166	0.26007401202224256
2020-04-13 12:13:04	OPTIMIZATION:	167	0.25993511545434483
2020-04-13 12:13:04	OPTIMIZATION:	168	0.2597909339372797
2020-04-13 12:13:04	OPTIMIZATION:	169	0.2596411847745783
2020-04-13 12:13:04	OPTIMIZATION:	170	0.2594855677878934
2020-04-13 12:13:04	OPTIMIZATION:	171	0.2593237640316675
2020-04-13 12:13:04	OPTIMIZATION:	172	0.2591554344104099
2020-04-13 12:13:04	OPTIMIZATION:	173	0.2589802181920375
2020-04-13 12:13:04	OPTIMIZATION:	174	0.2587977314105444
2020-04-13 12:13:04	OPTIMIZATION:	175	0.258607565151134
2020-04-13 12:13:04	OPTIMIZATION:	176	0.2584092837109043
2020-04-13 12:13:04	OPTIMIZATION:	177	0.2582024226282418
2020-04-13 12:13:04	OPTIMIZATION:	178	0.25798648657428447
2020-04-13 12:13:04	OPTIMIZATION:	179	0.2577609471002124
2020-04-13 12:13:04	OPTIMIZATION:	180	0.2575252402347387
2020-04-13 12:13:04	OPTIMIZATION:	181	0.2572787639270886
2020-04-13 12:13:04	OPTIMIZATION:	182	0.2570208753320202
2020-04-13 12:13:04	OPTIMIZATION:	183	0.25675088793514866
2020-04-13 12:13:04	OPTIMIZATION:	184	0.25646806851908216
2020-04-13 12:13:04	OPTIMIZATION:	185	0.25617163397377374
2020-04-13 12:13:04	OPTIMIZATION:	186	0.2558607479581798
2020-04-13 12:13:04	OPTIMIZATION:	187	0.2555345174249413
2020-04-13 12:13:04	OPTIMIZATION:	188	0.2551919890255496
2020-04-13 12:13:04	OPTIMIZATION:	189	0.2548321454205323
2020-04-13 12:13:04	OPTIMIZATION:	190	0.2544539015278133
2020-04-13 12:13:04	OPTIMIZATION:	191	0.25405610075283325
2020-04-13 12:13:04	OPTIMIZATION:	192	0.25363751125652145
2020-04-13 12:13:04	OPTIMIZATION:	193	0.2531968223320958
2020-04-13 12:13:04	OPTIMIZATION:	194	0.25273264097922526
2020-04-13 12:13:04	OPTIMIZATION:	195	0.2522434887846265
2020-04-13 12:13:04	OPTIMIZATION:	196	0.2517277992419522
2020-04-13 12:13:04	OPTIMIZATION:	197	0.25118391567110415
2020-04-13 12:13:04	OPTIMIZATION:	198	0.2506100899279936
2020-04-13 12:13:04	OPTIMIZATION:	199	0.25000448213029713
2020-04-13 12:13:04	OPTIMIZATION:	200	0.2493651616627145
2020-04-13 12:13:04	OPTIMIZATION:	201	0.2486901097661497
2020-04-13 12:13:04	OPTIMIZATION:	202	0.24797722405824704
2020-04-13 12:13:04	OPTIMIZATION:	203	0.24722432537643285
2020-04-13 12:13:04	OPTIMIZATION:	204	0.24642916737702006
2020-04-13 12:13:04	OPTIMIZATION:	205	0.2455894493621395
2020-04-13 12:13:04	OPTIMIZATION:	206	0.2447028328364058
2020-04-13 12:13:04	OPTIMIZATION:	207	0.24376696231222972
2020-04-13 12:13:04	OPTIMIZATION:	208	0.24277949088012715
2020-04-13 12:13:04	OPTIMIZATION:	209	0.2417381110303754
2020-04-13 12:13:04	OPTIMIZATION:	210	0.24064059114562028
2020-04-13 12:13:04	OPTIMIZATION:	211	0.2394848179699819
2020-04-13 12:13:04	OPTIMIZATION:	212	0.23826884518754232
2020-04-13 12:13:04	OPTIMIZATION:	213	0.2369909480006302
2020-04-13 12:13:04	OPTIMIZATION:	214	0.23564968327636437
2020-04-13 12:13:04	OPTIMIZATION:	215	0.23424395442233892
2020-04-13 12:13:04	OPTIMIZATION:	216	0.2327730796591803
