2020-04-13 11:38:22	INFO:   	Number-of-Epochs	Global-Error
2020-04-13 11:38:22	OPTIMIZATION:	1	0.2789825942892104
2020-04-13 11:38:22	OPTIMIZATION:	2	0.28125497331435423
2020-04-13 11:38:22	OPTIMIZATION:	3	0.2810831102706852
2020-04-13 11:38:22	OPTIMIZATION:	4	0.2807421577465207
2020-04-13 11:38:22	OPTIMIZATION:	5	0.28040098192148416
2020-04-13 11:38:22	OPTIMIZATION:	6	0.2800681863378508
2020-04-13 11:38:22	OPTIMIZATION:	7	0.27974282722760874
2020-04-13 11:38:22	OPTIMIZATION:	8	0.2794244811149359
2020-04-13 11:38:22	OPTIMIZATION:	9	0.27911297916315664
2020-04-13 11:38:22	OPTIMIZATION:	10	0.27880819702424314
2020-04-13 11:38:22	OPTIMIZATION:	11	0.27851001516522506
2020-04-13 11:38:22	OPTIMIZATION:	12	0.2782183136781126
2020-04-13 11:38:22	OPTIMIZATION:	13	0.27793297194666683
2020-04-13 11:38:22	OPTIMIZATION:	14	0.2776538688609246
2020-04-13 11:38:22	OPTIMIZATION:	15	0.27738088306873493
2020-04-13 11:38:22	OPTIMIZATION:	16	0.2771138932128437
2020-04-13 11:38:22	OPTIMIZATION:	17	0.2768527781496993
2020-04-13 11:38:22	OPTIMIZATION:	18	0.2765974171504562
2020-04-13 11:38:22	OPTIMIZATION:	19	0.27634769008499255
2020-04-13 11:38:22	OPTIMIZATION:	20	0.27610347758977705
2020-04-13 11:38:22	OPTIMIZATION:	21	0.27586466122042613
2020-04-13 11:38:22	OPTIMIZATION:	22	0.27563112358977965
2020-04-13 11:38:22	OPTIMIZATION:	23	0.27540274849231533
2020-04-13 11:38:22	OPTIMIZATION:	24	0.27517942101570375
2020-04-13 11:38:22	OPTIMIZATION:	25	0.2749610276402876
2020-04-13 11:38:22	OPTIMIZATION:	26	0.27474745632724346
2020-04-13 11:38:22	OPTIMIZATION:	27	0.27453859659616114
2020-04-13 11:38:22	OPTIMIZATION:	28	0.27433433959275044
2020-04-13 11:38:22	OPTIMIZATION:	29	0.27413457814735104
2020-04-13 11:38:22	OPTIMIZATION:	30	0.27393920682489975
2020-04-13 11:38:22	OPTIMIZATION:	31	0.27374812196697335
2020-04-13 11:38:22	OPTIMIZATION:	32	0.2735612217264986
2020-04-13 11:38:22	OPTIMIZATION:	33	0.27337840609569086
2020-04-13 11:38:22	OPTIMIZATION:	34	0.2731995769277515
2020-04-13 11:38:22	OPTIMIZATION:	35	0.27302463795282733
2020-04-13 11:38:22	OPTIMIZATION:	36	0.2728534947887053
2020-04-13 11:38:22	OPTIMIZATION:	37	0.2726860549466876
2020-04-13 11:38:22	OPTIMIZATION:	38	0.2725222278330668
2020-04-13 11:38:22	OPTIMIZATION:	39	0.2723619247465943
2020-04-13 11:38:22	OPTIMIZATION:	40	0.27220505887230834
2020-04-13 11:38:22	OPTIMIZATION:	41	0.2720515452720669
2020-04-13 11:38:22	OPTIMIZATION:	42	0.2719013008721057
2020-04-13 11:38:22	OPTIMIZATION:	43	0.2717542444479199
2020-04-13 11:38:22	OPTIMIZATION:	44	0.27161029660674907
2020-04-13 11:38:22	OPTIMIZATION:	45	0.27146937976792207
2020-04-13 11:38:22	OPTIMIZATION:	46	0.2713314181413029
2020-04-13 11:38:22	OPTIMIZATION:	47	0.27119633770406
2020-04-13 11:38:22	OPTIMIZATION:	48	0.2710640661759625
2020-04-13 11:38:22	OPTIMIZATION:	49	0.27093453299339615
2020-04-13 11:38:22	OPTIMIZATION:	50	0.27080766928227107
2020-04-13 11:38:22	OPTIMIZATION:	51	0.27068340782998507
2020-04-13 11:38:22	OPTIMIZATION:	52	0.27056168305658984
2020-04-13 11:38:22	OPTIMIZATION:	53	0.2704424309852954
2020-04-13 11:38:22	OPTIMIZATION:	54	0.27032558921244004
2020-04-13 11:38:22	OPTIMIZATION:	55	0.27021109687703726
2020-04-13 11:38:22	OPTIMIZATION:	56	0.2700988946300066
2020-04-13 11:38:22	OPTIMIZATION:	57	0.2699889246031822
2020-04-13 11:38:22	OPTIMIZATION:	58	0.2698811303781863
2020-04-13 11:38:22	OPTIMIZATION:	59	0.26977545695524646
2020-04-13 11:38:22	OPTIMIZATION:	60	0.26967185072202776
2020-04-13 11:38:22	OPTIMIZATION:	61	0.26957025942254526
2020-04-13 11:38:22	OPTIMIZATION:	62	0.2694706321262131
2020-04-13 11:38:22	OPTIMIZATION:	63	0.26937291919708517
2020-04-13 11:38:22	OPTIMIZATION:	64	0.26927707226333225
2020-04-13 11:38:22	OPTIMIZATION:	65	0.2691830441869981
2020-04-13 11:38:22	OPTIMIZATION:	66	0.26909078903407196
2020-04-13 11:38:22	OPTIMIZATION:	67	0.2690002620449104
2020-04-13 11:38:22	OPTIMIZATION:	68	0.2689114196050371
2020-04-13 11:38:22	OPTIMIZATION:	69	0.2688242192163464
2020-04-13 11:38:22	OPTIMIZATION:	70	0.26873861946873273
2020-04-13 11:38:22	OPTIMIZATION:	71	0.26865458001216386
2020-04-13 11:38:22	OPTIMIZATION:	72	0.26857206152921603
2020-04-13 11:38:22	OPTIMIZATION:	73	0.2684910257080823
2020-04-13 11:38:22	OPTIMIZATION:	74	0.26841143521606753
2020-04-13 11:38:22	OPTIMIZATION:	75	0.2683332536735765
2020-04-13 11:38:22	OPTIMIZATION:	76	0.26825644562860557
2020-04-13 11:38:22	OPTIMIZATION:	77	0.26818097653173895
2020-04-13 11:38:22	OPTIMIZATION:	78	0.26810681271165754
2020-04-13 11:38:22	OPTIMIZATION:	79	0.268033921351159
2020-04-13 11:38:22	OPTIMIZATION:	80	0.26796227046369175
2020-04-13 11:38:22	OPTIMIZATION:	81	0.26789182887040175
2020-04-13 11:38:22	OPTIMIZATION:	82	0.2678225661776909
2020-04-13 11:38:22	OPTIMIZATION:	83	0.2677544527552839
2020-04-13 11:38:22	OPTIMIZATION:	84	0.26768745971480096
2020-04-13 11:38:22	OPTIMIZATION:	85	0.2676215588888304
2020-04-13 11:38:22	OPTIMIZATION:	86	0.2675567228104994
2020-04-13 11:38:22	OPTIMIZATION:	87	0.26749292469353353
2020-04-13 11:38:22	OPTIMIZATION:	88	0.2674301384128011
2020-04-13 11:38:22	OPTIMIZATION:	89	0.26736833848533564
2020-04-13 11:38:22	OPTIMIZATION:	90	0.2673075000518286
2020-04-13 11:38:22	OPTIMIZATION:	91	0.26724759885858496
2020-04-13 11:38:22	OPTIMIZATION:	92	0.26718861123993426
2020-04-13 11:38:22	OPTIMIZATION:	93	0.26713051410108923
2020-04-13 11:38:22	OPTIMIZATION:	94	0.2670732849014423
2020-04-13 11:38:22	OPTIMIZATION:	95	0.26701690163829345
2020-04-13 11:38:22	OPTIMIZATION:	96	0.26696134283099887
2020-04-13 11:38:22	OPTIMIZATION:	97	0.2669065875055329
2020-04-13 11:38:22	OPTIMIZATION:	98	0.26685261517945397
