2020-04-13 10:04:18	INFO:   	Number-of-Epochs	Global-Error
2020-04-13 10:04:18	OPTIMIZATION:	1	0.2827499131729892
2020-04-13 10:04:18	OPTIMIZATION:	2	0.2855829599141379
2020-04-13 10:04:19	OPTIMIZATION:	3	0.28544513236440333
2020-04-13 10:04:19	OPTIMIZATION:	4	0.28509775059072034
2020-04-13 10:04:19	OPTIMIZATION:	5	0.2847614709049091
2020-04-13 10:04:19	OPTIMIZATION:	6	0.2844355138132277
2020-04-13 10:04:19	OPTIMIZATION:	7	0.28411586786819615
2020-04-13 10:04:19	OPTIMIZATION:	8	0.28380179965131613
2020-04-13 10:04:19	OPTIMIZATION:	9	0.2834931760390231
2020-04-13 10:04:19	OPTIMIZATION:	10	0.28318991575561997
2020-04-13 10:04:19	OPTIMIZATION:	11	0.2828919374459673
2020-04-13 10:04:19	OPTIMIZATION:	12	0.2825991589388673
2020-04-13 10:04:19	OPTIMIZATION:	13	0.28231149795975474
2020-04-13 10:04:19	OPTIMIZATION:	14	0.2820288723499394
2020-04-13 10:04:19	OPTIMIZATION:	15	0.28175120017283156
2020-04-13 10:04:19	OPTIMIZATION:	16	0.2814783998014179
2020-04-13 10:04:19	OPTIMIZATION:	17	0.2812103899985467
2020-04-13 10:04:19	OPTIMIZATION:	18	0.28094708999102824
2020-04-13 10:04:19	OPTIMIZATION:	19	0.28068841953782386
2020-04-13 10:04:19	OPTIMIZATION:	20	0.2804342989926046
2020-04-13 10:04:19	OPTIMIZATION:	21	0.2801846493609678
2020-04-13 10:04:19	OPTIMIZATION:	22	0.2799393923525935
2020-04-13 10:04:19	OPTIMIZATION:	23	0.2796984504286134
2020-04-13 10:04:19	OPTIMIZATION:	24	0.27946174684445735
2020-04-13 10:04:19	OPTIMIZATION:	25	0.27922920568843196
2020-04-13 10:04:19	OPTIMIZATION:	26	0.27900075191627866
2020-04-13 10:04:19	OPTIMIZATION:	27	0.2787763113819461
2020-04-13 10:04:19	OPTIMIZATION:	28	0.27855581086480546
2020-04-13 10:04:19	OPTIMIZATION:	29	0.2783391780935263
2020-04-13 10:04:19	OPTIMIZATION:	30	0.2781263417668206
2020-04-13 10:04:19	OPTIMIZATION:	31	0.2779172315712562
2020-04-13 10:04:19	OPTIMIZATION:	32	0.2777117781963292
2020-04-13 10:04:19	OPTIMIZATION:	33	0.2775099133469752
2020-04-13 10:04:19	OPTIMIZATION:	34	0.2773115697536966
2020-04-13 10:04:19	OPTIMIZATION:	35	0.27711668118046523
2020-04-13 10:04:19	OPTIMIZATION:	36	0.2769251824305615
2020-04-13 10:04:19	OPTIMIZATION:	37	0.2767370093504941
2020-04-13 10:04:19	OPTIMIZATION:	38	0.27655209883214465
