2020-04-13 14:47:13	INFO:   	Number-of-Epochs	Global-Error
2020-04-13 14:47:13	OPTIMIZATION:	1	0.18273579157741163
2020-04-13 14:47:13	OPTIMIZATION:	2	0.15838494860475827
2020-04-13 14:47:13	OPTIMIZATION:	3	0.1581059016617664
2020-04-13 14:47:13	OPTIMIZATION:	4	0.15810444472353052
2020-04-13 14:47:13	OPTIMIZATION:	5	0.15810146229201127
2020-04-13 14:47:13	OPTIMIZATION:	6	0.15809223600528932
2020-04-13 14:47:13	OPTIMIZATION:	7	0.15808041286667537
2020-04-13 14:47:13	OPTIMIZATION:	8	0.15806769603915627
2020-04-13 14:47:13	OPTIMIZATION:	9	0.15805470696769147
2020-04-13 14:47:13	OPTIMIZATION:	10	0.15804165997098957
2020-04-13 14:47:13	OPTIMIZATION:	11	0.1580286278992029
2020-04-13 14:47:13	OPTIMIZATION:	12	0.15801563548911116
2020-04-13 14:47:13	OPTIMIZATION:	13	0.1580026911927033
2020-04-13 14:47:13	OPTIMIZATION:	14	0.15798979794627924
2020-04-13 14:47:13	OPTIMIZATION:	15	0.1579769568122261
2020-04-13 14:47:13	OPTIMIZATION:	16	0.1579641682127921
2020-04-13 14:47:13	OPTIMIZATION:	17	0.1579514323491549
2020-04-13 14:47:13	OPTIMIZATION:	18	0.1579387493441666
2020-04-13 14:47:13	OPTIMIZATION:	19	0.15792611929111752
2020-04-13 14:47:13	OPTIMIZATION:	20	0.15791354227044005
2020-04-13 14:47:13	OPTIMIZATION:	21	0.15790101835544568
2020-04-13 14:47:13	OPTIMIZATION:	22	0.1578885476142995
2020-04-13 14:47:13	OPTIMIZATION:	23	0.15787613011069992
2020-04-13 14:47:13	OPTIMIZATION:	24	0.1578637659041124
2020-04-13 14:47:13	OPTIMIZATION:	25	0.1578514550498491
2020-04-13 14:47:13	OPTIMIZATION:	26	0.15783919759909593
2020-04-13 14:47:13	OPTIMIZATION:	27	0.15782699359892177
2020-04-13 14:47:13	OPTIMIZATION:	28	0.1578148430922816
2020-04-13 14:47:13	OPTIMIZATION:	29	0.15780274611801887
2020-04-13 14:47:13	OPTIMIZATION:	30	0.15779070271086765
2020-04-13 14:47:13	OPTIMIZATION:	31	0.15777871290145556
2020-04-13 14:47:13	OPTIMIZATION:	32	0.1577667767163076
2020-04-13 14:47:13	OPTIMIZATION:	33	0.15775489417785055
2020-04-13 14:47:13	OPTIMIZATION:	34	0.15774306530441914
2020-04-13 14:47:13	OPTIMIZATION:	35	0.15773129011026252
2020-04-13 14:47:13	OPTIMIZATION:	36	0.15771956860555203
2020-04-13 14:47:13	OPTIMIZATION:	37	0.15770790079639002
2020-04-13 14:47:13	OPTIMIZATION:	38	0.15769628668481941
2020-04-13 14:47:13	OPTIMIZATION:	39	0.15768472626883487
2020-04-13 14:47:13	OPTIMIZATION:	40	0.15767321954239472
