2020-04-13 17:25:10	INFO:   	Number-of-Epochs	Global-Error
2020-04-13 17:25:10	OPTIMIZATION:	1	0.263024104813146
2020-04-13 17:25:10	OPTIMIZATION:	2	0.26518382166350674
2020-04-13 17:25:10	OPTIMIZATION:	3	0.26504162707487006
2020-04-13 17:25:10	OPTIMIZATION:	4	0.2648440054307869
2020-04-13 17:25:10	OPTIMIZATION:	5	0.2646491810071195
2020-04-13 17:25:10	OPTIMIZATION:	6	0.2644589362853612
2020-04-13 17:25:10	OPTIMIZATION:	7	0.26427326962678876
2020-04-13 17:25:10	OPTIMIZATION:	8	0.2640921198110583
2020-04-13 17:25:10	OPTIMIZATION:	9	0.2639154195414268
2020-04-13 17:25:10	OPTIMIZATION:	10	0.26374309769000814
2020-04-13 17:25:10	OPTIMIZATION:	11	0.2635750798558863
2020-04-13 17:25:10	OPTIMIZATION:	12	0.26341128883848686
2020-04-13 17:25:10	OPTIMIZATION:	13	0.26325164508054105
2020-04-13 17:25:10	OPTIMIZATION:	14	0.26309606708246547
2020-04-13 17:25:10	OPTIMIZATION:	15	0.2629444717883746
2020-04-13 17:25:10	OPTIMIZATION:	16	0.2627967749441178
2020-04-13 17:25:10	OPTIMIZATION:	17	0.26265289142794196
2020-04-13 17:25:10	OPTIMIZATION:	18	0.26251273555455784
2020-04-13 17:25:10	OPTIMIZATION:	19	0.2623762213535237
2020-04-13 17:25:10	OPTIMIZATION:	20	0.26224326282297694
2020-04-13 17:25:11	OPTIMIZATION:	21	0.2621137741598239
2020-04-13 17:25:11	OPTIMIZATION:	22	0.26198766996755946
2020-04-13 17:25:11	OPTIMIZATION:	23	0.26186486544292426
2020-04-13 17:25:11	OPTIMIZATION:	24	0.26174527654263113
2020-04-13 17:25:11	OPTIMIZATION:	25	0.2616288201313905
2020-04-13 17:25:11	OPTIMIZATION:	26	0.26151541411246204
2020-04-13 17:25:11	OPTIMIZATION:	27	0.2614049775419332
2020-04-13 17:25:11	OPTIMIZATION:	28	0.26129743072790024
2020-04-13 17:25:11	OPTIMIZATION:	29	0.26119269531568795
2020-04-13 17:25:11	OPTIMIZATION:	30	0.261090694360204
2020-04-13 17:25:11	OPTIMIZATION:	31	0.2609913523864738
2020-04-13 17:25:11	OPTIMIZATION:	32	0.2608945954393569
2020-04-13 17:25:11	OPTIMIZATION:	33	0.26080035112338806
2020-04-13 17:25:11	OPTIMIZATION:	34	0.2607085486336403
2020-04-13 17:25:11	OPTIMIZATION:	35	0.26061911877844646
2020-04-13 17:25:11	OPTIMIZATION:	36	0.26053199399477034
2020-04-13 17:25:11	OPTIMIZATION:	37	0.26044710835696105
2020-04-13 17:25:11	OPTIMIZATION:	38	0.26036439757957525
2020-04-13 17:25:11	OPTIMIZATION:	39	0.2602837990149049
2020-04-13 17:25:11	OPTIMIZATION:	40	0.26020525164579617
2020-04-13 17:25:11	OPTIMIZATION:	41	0.26012869607430444
2020-04-13 17:25:11	OPTIMIZATION:	42	0.2600540745066854
2020-04-13 17:25:11	OPTIMIZATION:	43	0.2599813307351793
2020-04-13 17:25:11	OPTIMIZATION:	44	0.25991041011701105
2020-04-13 17:25:11	OPTIMIZATION:	45	0.25984125955098814
2020-04-13 17:25:11	OPTIMIZATION:	46	0.2597738274520478
2020-04-13 17:25:11	OPTIMIZATION:	47	0.25970806372407085
2020-04-13 17:25:11	OPTIMIZATION:	48	0.25964391973125
2020-04-13 17:25:11	OPTIMIZATION:	49	0.2595813482682752
2020-04-13 17:25:11	OPTIMIZATION:	50	0.25952030352956884
2020-04-13 17:25:11	OPTIMIZATION:	51	0.25946074107778466
2020-04-13 17:25:11	OPTIMIZATION:	52	0.2594026178117593
2020-04-13 17:25:11	OPTIMIZATION:	53	0.25934589193408486
