2020-04-13 13:09:03	INFO:   	Number-of-Epochs	Global-Error
2020-04-13 13:09:03	OPTIMIZATION:	1	0.12773718813507717
2020-04-13 13:09:03	OPTIMIZATION:	2	0.08071712752221093
2020-04-13 13:09:03	OPTIMIZATION:	3	0.07853479357552852
2020-04-13 13:09:03	OPTIMIZATION:	4	0.07788803604754903
2020-04-13 13:09:03	OPTIMIZATION:	5	0.07762535075920825
2020-04-13 13:09:03	OPTIMIZATION:	6	0.0775013577748958
2020-04-13 13:09:03	OPTIMIZATION:	7	0.07743754500570092
2020-04-13 13:09:03	OPTIMIZATION:	8	0.07740287018161789
2020-04-13 13:09:03	OPTIMIZATION:	9	0.07738334691499953
2020-04-13 13:09:03	OPTIMIZATION:	10	0.07737209404376118
2020-04-13 13:09:03	OPTIMIZATION:	11	0.07736550897791013
2020-04-13 13:09:03	OPTIMIZATION:	12	0.0773616186077165
2020-04-13 13:09:03	OPTIMIZATION:	13	0.07735930598675869
2020-04-13 13:09:03	OPTIMIZATION:	14	0.07735792345876305
2020-04-13 13:09:03	OPTIMIZATION:	15	0.07735708907866166
2020-04-13 13:09:03	OPTIMIZATION:	16	0.07735657512026729
2020-04-13 13:09:03	OPTIMIZATION:	17	0.07735624504911824
2020-04-13 13:09:03	OPTIMIZATION:	18	0.07735601698651132
2020-04-13 13:09:03	OPTIMIZATION:	19	0.07735584210831221
2020-04-13 13:09:03	OPTIMIZATION:	20	0.07735569167836405
2020-04-13 13:09:03	OPTIMIZATION:	21	0.07735554917698521
2020-04-13 13:09:03	OPTIMIZATION:	22	0.07735540548547293
2020-04-13 13:09:03	OPTIMIZATION:	23	0.07735525592716919
2020-04-13 13:09:03	OPTIMIZATION:	24	0.07735509844734474
2020-04-13 13:09:03	OPTIMIZATION:	25	0.0773549324963881
2020-04-13 13:09:03	OPTIMIZATION:	26	0.07735475834910913
2020-04-13 13:09:03	OPTIMIZATION:	27	0.07735457669484301
2020-04-13 13:09:03	OPTIMIZATION:	28	0.07735438839545081
2020-04-13 13:09:03	OPTIMIZATION:	29	0.07735419434691702
2020-04-13 13:09:03	OPTIMIZATION:	30	0.07735399540430542
2020-04-13 13:09:03	OPTIMIZATION:	31	0.07735379234490876
2020-04-13 13:09:03	OPTIMIZATION:	32	0.07735358585391217
2020-04-13 13:09:03	OPTIMIZATION:	33	0.07735337652286153
2020-04-13 13:09:03	OPTIMIZATION:	34	0.07735316485498979
2020-04-13 13:09:03	OPTIMIZATION:	35	0.07735295127381848
2020-04-13 13:09:03	OPTIMIZATION:	36	0.07735273613292835
2020-04-13 13:09:03	OPTIMIZATION:	37	0.07735251972570954
2020-04-13 13:09:03	OPTIMIZATION:	38	0.07735230229446424
2020-04-13 13:09:03	OPTIMIZATION:	39	0.07735208403857065
2020-04-13 13:09:03	OPTIMIZATION:	40	0.0773518651216165
2020-04-13 13:09:03	OPTIMIZATION:	41	0.07735164567752022
2020-04-13 13:09:03	OPTIMIZATION:	42	0.07735142581571526
2020-04-13 13:09:03	OPTIMIZATION:	43	0.07735120562549934
2020-04-13 13:09:03	OPTIMIZATION:	44	0.07735098517965631
2020-04-13 13:09:03	OPTIMIZATION:	45	0.07735076453745596
2020-04-13 13:09:03	OPTIMIZATION:	46	0.07735054374712765
2020-04-13 13:09:03	OPTIMIZATION:	47	0.07735032284789359
2020-04-13 13:09:03	OPTIMIZATION:	48	0.07735010187163564
2020-04-13 13:09:03	OPTIMIZATION:	49	0.07734988084425844
2020-04-13 13:09:03	OPTIMIZATION:	50	0.07734965978680299
2020-04-13 13:09:03	OPTIMIZATION:	51	0.07734943871635495
2020-04-13 13:09:03	OPTIMIZATION:	52	0.07734921764678454
2020-04-13 13:09:03	OPTIMIZATION:	53	0.07734899658934898
2020-04-13 13:09:03	OPTIMIZATION:	54	0.07734877555318256
2020-04-13 13:09:03	OPTIMIZATION:	55	0.0773485545456953
2020-04-13 13:09:03	OPTIMIZATION:	56	0.07734833357289682
2020-04-13 13:09:03	OPTIMIZATION:	57	0.07734811263965967
2020-04-13 13:09:03	OPTIMIZATION:	58	0.0773478917499331
2020-04-13 13:09:03	OPTIMIZATION:	59	0.07734767090691679
2020-04-13 13:09:03	OPTIMIZATION:	60	0.07734745011320193
2020-04-13 13:09:03	OPTIMIZATION:	61	0.07734722937088569
2020-04-13 13:09:03	OPTIMIZATION:	62	0.0773470086816643
2020-04-13 13:09:03	OPTIMIZATION:	63	0.07734678804690863
2020-04-13 13:09:03	OPTIMIZATION:	64	0.07734656746772521
2020-04-13 13:09:03	OPTIMIZATION:	65	0.07734634694500635
2020-04-13 13:09:03	OPTIMIZATION:	66	0.07734612647947026
2020-04-13 13:09:03	OPTIMIZATION:	67	0.0773459060716941
2020-04-13 13:09:03	OPTIMIZATION:	68	0.07734568572214039
2020-04-13 13:09:03	OPTIMIZATION:	69	0.07734546543117882
2020-04-13 13:09:03	OPTIMIZATION:	70	0.07734524519910367
2020-04-13 13:09:03	OPTIMIZATION:	71	0.07734502502614816
2020-04-13 13:09:03	OPTIMIZATION:	72	0.07734480491249597
2020-04-13 13:09:03	OPTIMIZATION:	73	0.07734458485829059
2020-04-13 13:09:03	OPTIMIZATION:	74	0.07734436486364304
2020-04-13 13:09:03	OPTIMIZATION:	75	0.0773441449286381
2020-04-13 13:09:03	OPTIMIZATION:	76	0.07734392505333913
2020-04-13 13:09:03	OPTIMIZATION:	77	0.07734370523779245
2020-04-13 13:09:03	OPTIMIZATION:	78	0.07734348548203039
