2020-04-13 13:14:24	INFO:   	Number-of-Epochs	Global-Error
2020-04-13 13:14:24	OPTIMIZATION:	1	0.30388708890647437
2020-04-13 13:14:24	OPTIMIZATION:	2	0.3035523717136201
2020-04-13 13:14:24	OPTIMIZATION:	3	0.3019101508141468
2020-04-13 13:14:24	OPTIMIZATION:	4	0.30048246428715536
2020-04-13 13:14:24	OPTIMIZATION:	5	0.2991107763671565
2020-04-13 13:14:24	OPTIMIZATION:	6	0.29779007769282095
2020-04-13 13:14:24	OPTIMIZATION:	7	0.2965182351272058
2020-04-13 13:14:24	OPTIMIZATION:	8	0.2952932131370285
2020-04-13 13:14:24	OPTIMIZATION:	9	0.2941130737779912
2020-04-13 13:14:24	OPTIMIZATION:	10	0.2929759729944162
2020-04-13 13:14:24	OPTIMIZATION:	11	0.29188015602186107
2020-04-13 13:14:24	OPTIMIZATION:	12	0.290823952731626
2020-04-13 13:14:24	OPTIMIZATION:	13	0.2898057730115526
2020-04-13 13:14:24	OPTIMIZATION:	14	0.2888241022494839
2020-04-13 13:14:24	OPTIMIZATION:	15	0.2878774969673779
2020-04-13 13:14:24	OPTIMIZATION:	16	0.286964580639174
2020-04-13 13:14:24	OPTIMIZATION:	17	0.28608403971363455
2020-04-13 13:14:24	OPTIMIZATION:	18	0.2852346198540348
2020-04-13 13:14:24	OPTIMIZATION:	19	0.28441512239930056
2020-04-13 13:14:24	OPTIMIZATION:	20	0.28362440104564735
2020-04-13 13:14:24	OPTIMIZATION:	21	0.28286135874362195
2020-04-13 13:14:24	OPTIMIZATION:	22	0.2821249448024466
2020-04-13 13:14:24	OPTIMIZATION:	23	0.28141415219148064
2020-04-13 13:14:24	OPTIMIZATION:	24	0.2807280150272676
2020-04-13 13:14:24	OPTIMIZATION:	25	0.28006560623387106
2020-04-13 13:14:24	OPTIMIZATION:	26	0.2794260353638852
2020-04-13 13:14:24	OPTIMIZATION:	27	0.2788084465675379
2020-04-13 13:14:24	OPTIMIZATION:	28	0.27821201669758205
2020-04-13 13:14:24	OPTIMIZATION:	29	0.2776359535381379
2020-04-13 13:14:24	OPTIMIZATION:	30	0.2770794941462225
2020-04-13 13:14:24	OPTIMIZATION:	31	0.27654190329535666
2020-04-13 13:14:24	OPTIMIZATION:	32	0.2760224720113133
2020-04-13 13:14:24	OPTIMIZATION:	33	0.2755205161907494
2020-04-13 13:14:24	OPTIMIZATION:	34	0.2750353752941066
2020-04-13 13:14:24	OPTIMIZATION:	35	0.2745664111047734
2020-04-13 13:14:24	OPTIMIZATION:	36	0.274113006547037
2020-04-13 13:14:24	OPTIMIZATION:	37	0.2736745645558328
2020-04-13 13:14:24	OPTIMIZATION:	38	0.2732505069916929
2020-04-13 13:14:24	OPTIMIZATION:	39	0.27284027359462126
2020-04-13 13:14:24	OPTIMIZATION:	40	0.27244332097086144
2020-04-13 13:14:24	OPTIMIZATION:	41	0.2720591216066909
2020-04-13 13:14:24	OPTIMIZATION:	42	0.271687162903462
2020-04-13 13:14:24	OPTIMIZATION:	43	0.2713269462281267
2020-04-13 13:14:24	OPTIMIZATION:	44	0.27097798597342043
2020-04-13 13:14:24	OPTIMIZATION:	45	0.2706398086217591
2020-04-13 13:14:24	OPTIMIZATION:	46	0.270311951806701
2020-04-13 13:14:24	OPTIMIZATION:	47	0.26999396336556786
2020-04-13 13:14:24	OPTIMIZATION:	48	0.2696854003764823
2020-04-13 13:14:24	OPTIMIZATION:	49	0.26938582817267837
2020-04-13 13:14:24	OPTIMIZATION:	50	0.2690948193264628
2020-04-13 13:14:24	OPTIMIZATION:	51	0.26881195259464485
2020-04-13 13:14:24	OPTIMIZATION:	52	0.2685368118166082
2020-04-13 13:14:24	OPTIMIZATION:	53	0.268268984755446
2020-04-13 13:14:24	OPTIMIZATION:	54	0.2680080618717278
2020-04-13 13:14:24	OPTIMIZATION:	55	0.26775363501847477
2020-04-13 13:14:24	OPTIMIZATION:	56	0.2675052960447896
2020-04-13 13:14:24	OPTIMIZATION:	57	0.26726263529428085
2020-04-13 13:14:24	OPTIMIZATION:	58	0.26702523998291977
2020-04-13 13:14:24	OPTIMIZATION:	59	0.26679269243923803
2020-04-13 13:14:24	OPTIMIZATION:	60	0.2665645681877735
2020-04-13 13:14:24	OPTIMIZATION:	61	0.26634043385435674
2020-04-13 13:14:24	OPTIMIZATION:	62	0.26611984486915324
2020-04-13 13:14:24	OPTIMIZATION:	63	0.2659023429402601
2020-04-13 13:14:24	OPTIMIZATION:	64	0.2656874532670343
2020-04-13 13:14:24	OPTIMIZATION:	65	0.26547468145810404
2020-04-13 13:14:24	OPTIMIZATION:	66	0.265263510114074
2020-04-13 13:14:24	OPTIMIZATION:	67	0.26505339502914066
2020-04-13 13:14:24	OPTIMIZATION:	68	0.2648437609590189
2020-04-13 13:14:24	OPTIMIZATION:	69	0.26463399689454087
2020-04-13 13:14:24	OPTIMIZATION:	70	0.26442345077076157
2020-04-13 13:14:24	OPTIMIZATION:	71	0.2642114235300846
2020-04-13 13:14:24	OPTIMIZATION:	72	0.26399716244440613
2020-04-13 13:14:24	OPTIMIZATION:	73	0.263779853585069
2020-04-13 13:14:24	OPTIMIZATION:	74	0.2635586133099096
2020-04-13 13:14:24	OPTIMIZATION:	75	0.2633324786130687
2020-04-13 13:14:24	OPTIMIZATION:	76	0.26310039615453734
2020-04-13 13:14:24	OPTIMIZATION:	77	0.26286120975134547
2020-04-13 13:14:24	OPTIMIZATION:	78	0.2626136460692473
2020-04-13 13:14:24	OPTIMIZATION:	79	0.2623562982006297
2020-04-13 13:14:24	OPTIMIZATION:	80	0.2620876067484809
2020-04-13 13:14:24	OPTIMIZATION:	81	0.2618058379541149
2020-04-13 13:14:24	OPTIMIZATION:	82	0.26150905830345156
2020-04-13 13:14:24	OPTIMIZATION:	83	0.2611951049170867
2020-04-13 13:14:24	OPTIMIZATION:	84	0.26086155086546303
2020-04-13 13:14:24	OPTIMIZATION:	85	0.26050566434202854
2020-04-13 13:14:24	OPTIMIZATION:	86	0.2601243603610008
