2020-04-13 13:08:34	INFO:   	Number-of-Epochs	Global-Error
2020-04-13 13:08:34	OPTIMIZATION:	1	0.22268425639272674
2020-04-13 13:08:34	OPTIMIZATION:	2	0.20445994117282526
2020-04-13 13:08:34	OPTIMIZATION:	3	0.20433752688426685
2020-04-13 13:08:34	OPTIMIZATION:	4	0.20422739236681853
2020-04-13 13:08:34	OPTIMIZATION:	5	0.20411457970793914
2020-04-13 13:08:34	OPTIMIZATION:	6	0.20400232728323028
2020-04-13 13:08:34	OPTIMIZATION:	7	0.20389070984471094
2020-04-13 13:08:34	OPTIMIZATION:	8	0.20377973874026212
2020-04-13 13:08:34	OPTIMIZATION:	9	0.203669424440605
2020-04-13 13:08:34	OPTIMIZATION:	10	0.20355977704331807
2020-04-13 13:08:34	OPTIMIZATION:	11	0.20345080626531287
2020-04-13 13:08:34	OPTIMIZATION:	12	0.20334252143943757
2020-04-13 13:08:34	OPTIMIZATION:	13	0.20323493151161146
2020-04-13 13:08:34	OPTIMIZATION:	14	0.20312804503828338
2020-04-13 13:08:34	OPTIMIZATION:	15	0.20302187018421705
2020-04-13 13:08:34	OPTIMIZATION:	16	0.20291641472060862
2020-04-13 13:08:34	OPTIMIZATION:	17	0.20281168602354235
2020-04-13 13:08:34	OPTIMIZATION:	18	0.20270769107279063
2020-04-13 13:08:34	OPTIMIZATION:	19	0.20260443645096227
2020-04-13 13:08:34	OPTIMIZATION:	20	0.20250192834300465
2020-04-13 13:08:34	OPTIMIZATION:	21	0.20240017253606243
2020-04-13 13:08:34	OPTIMIZATION:	22	0.2022991744196969
2020-04-13 13:08:34	OPTIMIZATION:	23	0.2021989389864689
2020-04-13 13:08:34	OPTIMIZATION:	24	0.20209947083288615
2020-04-13 13:08:34	OPTIMIZATION:	25	0.20200077416071616
2020-04-13 13:08:34	OPTIMIZATION:	26	0.2019028527786665
2020-04-13 13:08:34	OPTIMIZATION:	27	0.20180571010442952
2020-04-13 13:08:34	OPTIMIZATION:	28	0.20170934916709216
2020-04-13 13:08:34	OPTIMIZATION:	29	0.20161377260990687
2020-04-13 13:08:34	OPTIMIZATION:	30	0.20151898269342164
2020-04-13 13:08:34	OPTIMIZATION:	31	0.2014249812989637
2020-04-13 13:08:34	OPTIMIZATION:	32	0.2013317699324728
2020-04-13 13:08:34	OPTIMIZATION:	33	0.20123934972867716
2020-04-13 13:08:34	OPTIMIZATION:	34	0.20114772145560536
2020-04-13 13:08:34	OPTIMIZATION:	35	0.20105688551942658
2020-04-13 13:08:34	OPTIMIZATION:	36	0.20096684196960898
2020-04-13 13:08:34	OPTIMIZATION:	37	0.20087759050438825
2020-04-13 13:08:34	OPTIMIZATION:	38	0.2007891304765339
2020-04-13 13:08:34	OPTIMIZATION:	39	0.20070146089940302
2020-04-13 13:08:34	OPTIMIZATION:	40	0.20061458045326883
2020-04-13 13:08:34	OPTIMIZATION:	41	0.2005284874919099
2020-04-13 13:08:34	OPTIMIZATION:	42	0.20044318004944847
2020-04-13 13:08:34	OPTIMIZATION:	43	0.20035865584742085
2020-04-13 13:08:34	OPTIMIZATION:	44	0.20027491230206654
2020-04-13 13:08:34	OPTIMIZATION:	45	0.2001919465318193
2020-04-13 13:08:34	OPTIMIZATION:	46	0.20010975536498463
2020-04-13 13:08:34	OPTIMIZATION:	47	0.20002833534758613
2020-04-13 13:08:34	OPTIMIZATION:	48	0.19994768275136443
2020-04-13 13:08:34	OPTIMIZATION:	49	0.1998677935819103
2020-04-13 13:08:34	OPTIMIZATION:	50	0.19978866358691472
2020-04-13 13:08:34	OPTIMIZATION:	51	0.19971028826451753
2020-04-13 13:08:34	OPTIMIZATION:	52	0.19963266287173623
2020-04-13 13:08:34	OPTIMIZATION:	53	0.19955578243295669
2020-04-13 13:08:34	OPTIMIZATION:	54	0.19947964174846713
2020-04-13 13:08:34	OPTIMIZATION:	55	0.1994042354030172
2020-04-13 13:08:34	OPTIMIZATION:	56	0.19932955777438233
2020-04-13 13:08:34	OPTIMIZATION:	57	0.199255603041917
2020-04-13 13:08:34	OPTIMIZATION:	58	0.19918236519507637
2020-04-13 13:08:34	OPTIMIZATION:	59	0.19910983804188986
2020-04-13 13:08:34	OPTIMIZATION:	60	0.19903801521736694
2020-04-13 13:08:34	OPTIMIZATION:	61	0.19896689019181946
2020-04-13 13:08:34	OPTIMIZATION:	62	0.19889645627908156
2020-04-13 13:08:34	OPTIMIZATION:	63	0.19882670664460997
2020-04-13 13:08:34	OPTIMIZATION:	64	0.19875763431344942
2020-04-13 13:08:34	OPTIMIZATION:	65	0.1986892321780451
2020-04-13 13:08:34	OPTIMIZATION:	66	0.19862149300588713
2020-04-13 13:08:34	OPTIMIZATION:	67	0.19855440944697125
2020-04-13 13:08:34	OPTIMIZATION:	68	0.19848797404106067
2020-04-13 13:08:34	OPTIMIZATION:	69	0.19842217922473435
2020-04-13 13:08:34	OPTIMIZATION:	70	0.19835701733820799
2020-04-13 13:08:34	OPTIMIZATION:	71	0.19829248063191274
2020-04-13 13:08:34	OPTIMIZATION:	72	0.19822856127282082
2020-04-13 13:08:34	OPTIMIZATION:	73	0.19816525135050236
2020-04-13 13:08:34	OPTIMIZATION:	74	0.19810254288290385
2020-04-13 13:08:34	OPTIMIZATION:	75	0.19804042782183484
2020-04-13 13:08:34	OPTIMIZATION:	76	0.19797889805815216
2020-04-13 13:08:34	OPTIMIZATION:	77	0.19791794542663113
2020-04-13 13:08:34	OPTIMIZATION:	78	0.19785756171051258
2020-04-13 13:08:34	OPTIMIZATION:	79	0.19779773864571681
2020-04-13 13:08:34	OPTIMIZATION:	80	0.19773846792471353
2020-04-13 13:08:34	OPTIMIZATION:	81	0.1976797412000401
2020-04-13 13:08:34	OPTIMIZATION:	82	0.19762155008745838
2020-04-13 13:08:34	OPTIMIZATION:	83	0.19756388616874168
2020-04-13 13:08:34	OPTIMIZATION:	84	0.1975067409940844
2020-04-13 13:08:34	OPTIMIZATION:	85	0.19745010608412505
2020-04-13 13:08:34	OPTIMIZATION:	86	0.19739397293157665
2020-04-13 13:08:34	OPTIMIZATION:	87	0.19733833300245532
2020-04-13 13:08:34	OPTIMIZATION:	88	0.1972831777369012
2020-04-13 13:08:34	OPTIMIZATION:	89	0.19722849854958321
2020-04-13 13:08:34	OPTIMIZATION:	90	0.19717428682968094
2020-04-13 13:08:34	OPTIMIZATION:	91	0.19712053394043672
2020-04-13 13:08:34	OPTIMIZATION:	92	0.19706723121826988
2020-04-13 13:08:34	OPTIMIZATION:	93	0.19701436997144642
2020-04-13 13:08:34	OPTIMIZATION:	94	0.19696194147829615
2020-04-13 13:08:34	OPTIMIZATION:	95	0.1969099369849698
2020-04-13 13:08:34	OPTIMIZATION:	96	0.19685834770272756
2020-04-13 13:08:34	OPTIMIZATION:	97	0.19680716480475116
2020-04-13 13:08:34	OPTIMIZATION:	98	0.1967563794224703
2020-04-13 13:08:34	OPTIMIZATION:	99	0.19670598264139347
2020-04-13 13:08:34	OPTIMIZATION:	100	0.19665596549643435
2020-04-13 13:08:34	OPTIMIZATION:	101	0.19660631896672184
2020-04-13 13:08:34	OPTIMIZATION:	102	0.19655703396988336
2020-04-13 13:08:34	OPTIMIZATION:	103	0.1965081013557877
2020-04-13 13:08:34	OPTIMIZATION:	104	0.1964595118997355
2020-04-13 13:08:34	OPTIMIZATION:	105	0.19641125629508213
2020-04-13 13:08:34	OPTIMIZATION:	106	0.19636332514527735
2020-04-13 13:08:34	OPTIMIZATION:	107	0.19631570895530515
2020-04-13 13:08:34	OPTIMIZATION:	108	0.1962683981225053
2020-04-13 13:08:34	OPTIMIZATION:	109	0.1962213829267561
2020-04-13 13:08:34	OPTIMIZATION:	110	0.1961746535199976
2020-04-13 13:08:34	OPTIMIZATION:	111	0.1961281999150705
2020-04-13 13:08:34	OPTIMIZATION:	112	0.19608201197384614
2020-04-13 13:08:34	OPTIMIZATION:	113	0.19603607939461853
2020-04-13 13:08:34	OPTIMIZATION:	114	0.19599039169872914
2020-04-13 13:08:34	OPTIMIZATION:	115	0.19594493821639017
2020-04-13 13:08:34	OPTIMIZATION:	116	0.19589970807167156
2020-04-13 13:08:34	OPTIMIZATION:	117	0.1958546901666116
2020-04-13 13:08:34	OPTIMIZATION:	118	0.19580987316440912
2020-04-13 13:08:34	OPTIMIZATION:	119	0.1957652454716514
2020-04-13 13:08:34	OPTIMIZATION:	120	0.19572079521952654
2020-04-13 13:08:34	OPTIMIZATION:	121	0.19567651024396737
2020-04-13 13:08:34	OPTIMIZATION:	122	0.19563237806466593
2020-04-13 13:08:34	OPTIMIZATION:	123	0.1955883858628961
2020-04-13 13:08:34	OPTIMIZATION:	124	0.19554452045807236
2020-04-13 13:08:34	OPTIMIZATION:	125	0.1955007682829716
2020-04-13 13:08:34	OPTIMIZATION:	126	0.1954571153575334
2020-04-13 13:08:34	OPTIMIZATION:	127	0.19541354726115046
2020-04-13 13:08:34	OPTIMIZATION:	128	0.195370049103353
2020-04-13 13:08:34	OPTIMIZATION:	129	0.1953266054927805
2020-04-13 13:08:34	OPTIMIZATION:	130	0.1952832005043275
2020-04-13 13:08:34	OPTIMIZATION:	131	0.19523981764433954
2020-04-13 13:08:34	OPTIMIZATION:	132	0.19519643981372445
2020-04-13 13:08:34	OPTIMIZATION:	133	0.1951530492688324
2020-04-13 13:08:34	OPTIMIZATION:	134	0.1951096275799468
2020-04-13 13:08:34	OPTIMIZATION:	135	0.19506615558721263
2020-04-13 13:08:34	OPTIMIZATION:	136	0.19502261335381507
2020-04-13 13:08:34	OPTIMIZATION:	137	0.19497898011620438
2020-04-13 13:08:34	OPTIMIZATION:	138	0.19493523423114542
2020-04-13 13:08:34	OPTIMIZATION:	139	0.19489135311934982
2020-04-13 13:08:34	OPTIMIZATION:	140	0.194847313205429
2020-04-13 13:08:34	OPTIMIZATION:	141	0.19480308985388003
2020-04-13 13:08:34	OPTIMIZATION:	142	0.19475865730079475
2020-04-13 13:08:34	OPTIMIZATION:	143	0.19471398858094965
2020-04-13 13:08:34	OPTIMIZATION:	144	0.1946690554499069
2020-04-13 13:08:34	OPTIMIZATION:	145	0.1946238283007203
2020-04-13 13:08:34	OPTIMIZATION:	146	0.19457827607480407
2020-04-13 13:08:34	OPTIMIZATION:	147	0.19453236616647998
2020-04-13 13:08:34	OPTIMIZATION:	148	0.19448606432067364
2020-04-13 13:08:34	OPTIMIZATION:	149	0.19443933452317982
2020-04-13 13:08:34	OPTIMIZATION:	150	0.194392138882862
2020-04-13 13:08:34	OPTIMIZATION:	151	0.19434443750508826
2020-04-13 13:08:34	OPTIMIZATION:	152	0.19429618835564086
2020-04-13 13:08:34	OPTIMIZATION:	153	0.19424734711425742
2020-04-13 13:08:34	OPTIMIZATION:	154	0.19419786701688135
2020-04-13 13:08:34	OPTIMIZATION:	155	0.19414769868560464
2020-04-13 13:08:34	OPTIMIZATION:	156	0.19409678994518417
2020-04-13 13:08:34	OPTIMIZATION:	157	0.19404508562489511
2020-04-13 13:08:34	OPTIMIZATION:	158	0.19399252734436093
2020-04-13 13:08:34	OPTIMIZATION:	159	0.19393905328185282
2020-04-13 13:08:34	OPTIMIZATION:	160	0.19388459792339405
2020-04-13 13:08:34	OPTIMIZATION:	161	0.19382909179082486
2020-04-13 13:08:34	OPTIMIZATION:	162	0.193772461146784
2020-04-13 13:08:34	OPTIMIZATION:	163	0.19371462767433875
2020-04-13 13:08:34	OPTIMIZATION:	164	0.1936555081287431
2020-04-13 13:08:34	OPTIMIZATION:	165	0.19359501395852052
2020-04-13 13:08:34	OPTIMIZATION:	166	0.19353305089274964
2020-04-13 13:08:34	OPTIMIZATION:	167	0.19346951849107094
2020-04-13 13:08:34	OPTIMIZATION:	168	0.19340430965252775
2020-04-13 13:08:35	OPTIMIZATION:	169	0.19333731007889576
2020-04-13 13:08:35	OPTIMIZATION:	170	0.1932683976876373
2020-04-13 13:08:35	OPTIMIZATION:	171	0.1931974419690267
2020-04-13 13:08:35	OPTIMIZATION:	172	0.19312430328132826
2020-04-13 13:08:35	OPTIMIZATION:	173	0.19304883207714554
2020-04-13 13:08:35	OPTIMIZATION:	174	0.19297086805319996
2020-04-13 13:08:35	OPTIMIZATION:	175	0.1928902392148092
2020-04-13 13:08:35	OPTIMIZATION:	176	0.19280676084521112
2020-04-13 13:08:35	OPTIMIZATION:	177	0.19272023436859143
2020-04-13 13:08:35	OPTIMIZATION:	178	0.19263044609419902
2020-04-13 13:08:35	OPTIMIZATION:	179	0.19253716582724026
2020-04-13 13:08:35	OPTIMIZATION:	180	0.19244014533029877
2020-04-13 13:08:35	OPTIMIZATION:	181	0.19233911661678818
2020-04-13 13:08:35	OPTIMIZATION:	182	0.19223379005536265
2020-04-13 13:08:35	OPTIMIZATION:	183	0.1921238522612291
2020-04-13 13:08:35	OPTIMIZATION:	184	0.19200896374685297
2020-04-13 13:08:35	OPTIMIZATION:	185	0.19188875630054944
2020-04-13 13:08:35	OPTIMIZATION:	186	0.1917628300568113
2020-04-13 13:08:35	OPTIMIZATION:	187	0.19163075021682208
2020-04-13 13:08:35	OPTIMIZATION:	188	0.19149204337131412
2020-04-13 13:08:35	OPTIMIZATION:	189	0.1913461933705911
2020-04-13 13:08:35	OPTIMIZATION:	190	0.19119263667795414
2020-04-13 13:08:35	OPTIMIZATION:	191	0.19103075713272574
2020-04-13 13:08:35	OPTIMIZATION:	192	0.1908598800372879
2020-04-13 13:08:35	OPTIMIZATION:	193	0.1906792654687137
2020-04-13 13:08:35	OPTIMIZATION:	194	0.19048810069929908
2020-04-13 13:08:35	OPTIMIZATION:	195	0.19028549159113414
2020-04-13 13:08:35	OPTIMIZATION:	196	0.19007045280724008
2020-04-13 13:08:35	OPTIMIZATION:	197	0.18984189665510295
2020-04-13 13:08:35	OPTIMIZATION:	198	0.1895986203468717
2020-04-13 13:08:35	OPTIMIZATION:	199	0.189339291423153
2020-04-13 13:08:35	OPTIMIZATION:	200	0.18906243104313789
2020-04-13 13:08:35	OPTIMIZATION:	201	0.1887663947914682
2020-04-13 13:08:35	OPTIMIZATION:	202	0.18844935059030685
2020-04-13 13:08:35	OPTIMIZATION:	203	0.18810925323179442
2020-04-13 13:08:35	OPTIMIZATION:	204	0.187743814959499
2020-04-13 13:08:35	OPTIMIZATION:	205	0.18735047142539943
2020-04-13 13:08:35	OPTIMIZATION:	206	0.18692634222899948
2020-04-13 13:08:35	OPTIMIZATION:	207	0.18646818510487384
2020-04-13 13:08:35	OPTIMIZATION:	208	0.18597234266190998
2020-04-13 13:08:35	OPTIMIZATION:	209	0.18543468038978636
2020-04-13 13:08:35	OPTIMIZATION:	210	0.18485051443486078
2020-04-13 13:08:35	OPTIMIZATION:	211	0.18421452740962585
2020-04-13 13:08:35	OPTIMIZATION:	212	0.18352067024161453
2020-04-13 13:08:35	OPTIMIZATION:	213	0.18276204779928804
2020-04-13 13:08:35	OPTIMIZATION:	214	0.18193078577353486
2020-04-13 13:08:35	OPTIMIZATION:	215	0.18101787607840666
2020-04-13 13:08:35	OPTIMIZATION:	216	0.180012997921255
2020-04-13 13:08:35	OPTIMIZATION:	217	0.17890431177374044
2020-04-13 13:08:35	OPTIMIZATION:	218	0.17767822389803437
2020-04-13 13:08:35	OPTIMIZATION:	219	0.17631912007297015
2020-04-13 13:08:35	OPTIMIZATION:	220	0.17480906906372387
2020-04-13 13:08:35	OPTIMIZATION:	221	0.1731274996883303
2020-04-13 13:08:35	OPTIMIZATION:	222	0.17125086077698284
2020-04-13 13:08:35	OPTIMIZATION:	223	0.16915228189926754
2020-04-13 13:08:35	OPTIMIZATION:	224	0.16680126578350354
2020-04-13 13:08:35	OPTIMIZATION:	225	0.1641634625249622
2020-04-13 13:08:35	OPTIMIZATION:	226	0.16120060279954201
2020-04-13 13:08:35	OPTIMIZATION:	227	0.15787070391712055
2020-04-13 13:08:35	OPTIMIZATION:	228	0.1541287089671444
2020-04-13 13:08:35	OPTIMIZATION:	229	0.149927772748417
2020-04-13 13:08:35	OPTIMIZATION:	230	0.145221459735071
2020-04-13 13:08:35	OPTIMIZATION:	231	0.1399671496299686
2020-04-13 13:08:35	OPTIMIZATION:	232	0.13413092021161804
2020-04-13 13:08:35	OPTIMIZATION:	233	0.1276940416207393
2020-04-13 13:08:35	OPTIMIZATION:	234	0.12066090331478387
2020-04-13 13:08:35	OPTIMIZATION:	235	0.11306764624190842
2020-04-13 13:08:35	OPTIMIZATION:	236	0.10498999507942743
2020-04-13 13:08:35	OPTIMIZATION:	237	0.09654794252562936
2020-04-13 13:08:35	OPTIMIZATION:	238	0.08790443941325488
2020-04-13 13:08:35	OPTIMIZATION:	239	0.07925571308519462
2020-04-13 13:08:35	OPTIMIZATION:	240	0.07081278656650537
2020-04-13 13:08:35	OPTIMIZATION:	241	0.06277699719191636
