2020-04-13 13:10:14	INFO:   	Number-of-Epochs	Global-Error
2020-04-13 13:10:14	OPTIMIZATION:	1	0.30865262288920775
2020-04-13 13:10:14	OPTIMIZATION:	2	0.30527252877197647
2020-04-13 13:10:14	OPTIMIZATION:	3	0.30329572035459157
2020-04-13 13:10:14	OPTIMIZATION:	4	0.30140742780650703
2020-04-13 13:10:14	OPTIMIZATION:	5	0.2996195950730011
2020-04-13 13:10:14	OPTIMIZATION:	6	0.2979272282832273
2020-04-13 13:10:14	OPTIMIZATION:	7	0.2963256154522239
2020-04-13 13:10:14	OPTIMIZATION:	8	0.2948101310362063
2020-04-13 13:10:14	OPTIMIZATION:	9	0.29337627040012854
2020-04-13 13:10:14	OPTIMIZATION:	10	0.2920196727912881
2020-04-13 13:10:14	OPTIMIZATION:	11	0.2907361373267136
2020-04-13 13:10:14	OPTIMIZATION:	12	0.28952163344056897
2020-04-13 13:10:14	OPTIMIZATION:	13	0.2883723069781217
2020-04-13 13:10:14	OPTIMIZATION:	14	0.2872844828935613
2020-04-13 13:10:14	OPTIMIZATION:	15	0.286254665319463
2020-04-13 13:10:14	OPTIMIZATION:	16	0.2852795356213988
2020-04-13 13:10:14	OPTIMIZATION:	17	0.2843559489266959
2020-04-13 13:10:14	OPTIMIZATION:	18	0.2834809295164888
2020-04-13 13:10:14	OPTIMIZATION:	19	0.2826516653904243
2020-04-13 13:10:14	OPTIMIZATION:	20	0.281865502249726
2020-04-13 13:10:14	OPTIMIZATION:	21	0.28111993709354277
2020-04-13 13:10:14	OPTIMIZATION:	22	0.2804126115829558
2020-04-13 13:10:14	OPTIMIZATION:	23	0.27974130529455365
2020-04-13 13:10:14	OPTIMIZATION:	24	0.2791039289594374
2020-04-13 13:10:14	OPTIMIZATION:	25	0.2784985177625457
2020-04-13 13:10:14	OPTIMIZATION:	26	0.27792322476026526
2020-04-13 13:10:14	OPTIMIZATION:	27	0.2773763144605883
2020-04-13 13:10:14	OPTIMIZATION:	28	0.2768561565989714
2020-04-13 13:10:14	OPTIMIZATION:	29	0.27636122013402536
2020-04-13 13:10:14	OPTIMIZATION:	30	0.2758900674798462
2020-04-13 13:10:14	OPTIMIZATION:	31	0.2754413489858524
2020-04-13 13:10:14	OPTIMIZATION:	32	0.2750137976701922
2020-04-13 13:10:14	OPTIMIZATION:	33	0.2746062242089134
2020-04-13 13:10:14	OPTIMIZATION:	34	0.2742175121799943
2020-04-13 13:10:14	OPTIMIZATION:	35	0.27384661355887746
2020-04-13 13:10:14	OPTIMIZATION:	36	0.2734925444602313
2020-04-13 13:10:14	OPTIMIZATION:	37	0.27315438111918083
2020-04-13 13:10:14	OPTIMIZATION:	38	0.2728312561041425
2020-04-13 13:10:14	OPTIMIZATION:	39	0.27252235475258896
2020-04-13 13:10:14	OPTIMIZATION:	40	0.27222691182051867
2020-04-13 13:10:14	OPTIMIZATION:	41	0.2719442083360547
2020-04-13 13:10:14	OPTIMIZATION:	42	0.27167356864742476
2020-04-13 13:10:14	OPTIMIZATION:	43	0.27141435765552985
2020-04-13 13:10:14	OPTIMIZATION:	44	0.2711659782213848
2020-04-13 13:10:14	OPTIMIZATION:	45	0.2709278687388699
2020-04-13 13:10:14	OPTIMIZATION:	46	0.27069950086346256
2020-04-13 13:10:14	OPTIMIZATION:	47	0.27048037738789715
2020-04-13 13:10:14	OPTIMIZATION:	48	0.2702700302560219
2020-04-13 13:10:14	OPTIMIZATION:	49	0.2700680187064679
2020-04-13 13:10:14	OPTIMIZATION:	50	0.26987392753811146
2020-04-13 13:10:14	OPTIMIZATION:	51	0.2696873654896887
2020-04-13 13:10:14	OPTIMIZATION:	52	0.26950796372630087
2020-04-13 13:10:14	OPTIMIZATION:	53	0.26933537442593014
2020-04-13 13:10:14	OPTIMIZATION:	54	0.2691692694594637
2020-04-13 13:10:14	OPTIMIZATION:	55	0.26900933915808817
2020-04-13 13:10:14	OPTIMIZATION:	56	0.2688552911622803
2020-04-13 13:10:14	OPTIMIZATION:	57	0.268706849346962
2020-04-13 13:10:14	OPTIMIZATION:	58	0.26856375281772127
2020-04-13 13:10:14	OPTIMIZATION:	59	0.26842575497332316
2020-04-13 13:10:14	OPTIMIZATION:	60	0.268292622630033
2020-04-13 13:10:14	OPTIMIZATION:	61	0.26816413520356863
2020-04-13 13:10:14	OPTIMIZATION:	62	0.26804008394476914
2020-04-13 13:10:14	OPTIMIZATION:	63	0.2679202712253261
2020-04-13 13:10:14	OPTIMIZATION:	64	0.2678045098701693
2020-04-13 13:10:14	OPTIMIZATION:	65	0.2676926225333283
2020-04-13 13:10:14	OPTIMIZATION:	66	0.2675844411143041
2020-04-13 13:10:14	OPTIMIZATION:	67	0.267479806212192
2020-04-13 13:10:14	OPTIMIZATION:	68	0.2673785666149829
2020-04-13 13:10:14	OPTIMIZATION:	69	0.2672805788216495
2020-04-13 13:10:14	OPTIMIZATION:	70	0.2671857065947883
2020-04-13 13:10:14	OPTIMIZATION:	71	0.26709382054174374
2020-04-13 13:10:14	OPTIMIZATION:	72	0.2670047977222863
2020-04-13 13:10:14	OPTIMIZATION:	73	0.2669185212810476
2020-04-13 13:10:14	OPTIMIZATION:	74	0.2668348801030454
2020-04-13 13:10:14	OPTIMIZATION:	75	0.2667537684907433
2020-04-13 13:10:14	OPTIMIZATION:	76	0.2666750858612028
2020-04-13 13:10:14	OPTIMIZATION:	77	0.266598736461983
2020-04-13 13:10:14	OPTIMIZATION:	78	0.26652462910453945
2020-04-13 13:10:14	OPTIMIZATION:	79	0.2664526769139588
2020-04-13 13:10:14	OPTIMIZATION:	80	0.2663827970939497
2020-04-13 13:10:14	OPTIMIZATION:	81	0.266314910706082
2020-04-13 13:10:14	OPTIMIZATION:	82	0.26624894246234054
2020-04-13 13:10:14	OPTIMIZATION:	83	0.2661848205301211
2020-04-13 13:10:14	OPTIMIZATION:	84	0.2661224763488579
2020-04-13 13:10:14	OPTIMIZATION:	85	0.26606184445752884
2020-04-13 13:10:14	OPTIMIZATION:	86	0.2660028623323357
2020-04-13 13:10:14	OPTIMIZATION:	87	0.26594547023390436
2020-04-13 13:10:14	OPTIMIZATION:	88	0.26588961106339587
2020-04-13 13:10:14	OPTIMIZATION:	89	0.26583523022696154
2020-04-13 13:10:14	OPTIMIZATION:	90	0.26578227550801076
2020-04-13 13:10:14	OPTIMIZATION:	91	0.26573069694680074
2020-04-13 13:10:14	OPTIMIZATION:	92	0.26568044672688657
2020-04-13 13:10:14	OPTIMIZATION:	93	0.26563147906800355
2020-04-13 13:10:14	OPTIMIZATION:	94	0.2655837501249815
2020-04-13 13:10:14	OPTIMIZATION:	95	0.26553721789231766
2020-04-13 13:10:14	OPTIMIZATION:	96	0.26549184211406
2020-04-13 13:10:14	OPTIMIZATION:	97	0.2654475841986756
2020-04-13 13:10:14	OPTIMIZATION:	98	0.2654044071385995
2020-04-13 13:10:14	OPTIMIZATION:	99	0.26536227543418195
