2020-04-13 20:39:31	INFO:   	Number-of-Epochs	Global-Error
2020-04-13 20:39:31	OPTIMIZATION:	1	0.26200633621215613
2020-04-13 20:39:31	OPTIMIZATION:	2	0.2561914662008923
2020-04-13 20:39:31	OPTIMIZATION:	3	0.25532319837109085
2020-04-13 20:39:31	OPTIMIZATION:	4	0.25452179050856566
2020-04-13 20:39:31	OPTIMIZATION:	5	0.2537836786809178
2020-04-13 20:39:31	OPTIMIZATION:	6	0.2531047521318218
2020-04-13 20:39:31	OPTIMIZATION:	7	0.252480805205738
2020-04-13 20:39:31	OPTIMIZATION:	8	0.2519076668154326
2020-04-13 20:39:31	OPTIMIZATION:	9	0.2513812916996292
2020-04-13 20:39:31	OPTIMIZATION:	10	0.25089782125264837
2020-04-13 20:39:31	OPTIMIZATION:	11	0.2504536209018428
2020-04-13 20:39:31	OPTIMIZATION:	12	0.2500452999507197
2020-04-13 20:39:31	OPTIMIZATION:	13	0.24966971869637591
2020-04-13 20:39:31	OPTIMIZATION:	14	0.24932398660306693
2020-04-13 20:39:31	OPTIMIZATION:	15	0.2490054544289665
2020-04-13 20:39:31	OPTIMIZATION:	16	0.24871170247574984
2020-04-13 20:39:31	OPTIMIZATION:	17	0.24844052655215215
2020-04-13 20:39:31	OPTIMIZATION:	18	0.24818992279403007
2020-04-13 20:39:31	OPTIMIZATION:	19	0.24795807214242022
2020-04-13 20:39:31	OPTIMIZATION:	20	0.2477433250261677
2020-04-13 20:39:31	OPTIMIZATION:	21	0.24754418660801578
2020-04-13 20:39:31	OPTIMIZATION:	22	0.2473593028168596
2020-04-13 20:39:31	OPTIMIZATION:	23	0.24718744729156608
2020-04-13 20:39:31	OPTIMIZATION:	24	0.2470275092934172
2020-04-13 20:39:31	OPTIMIZATION:	25	0.24687848259725884
2020-04-13 20:39:31	OPTIMIZATION:	26	0.24673945534004071
2020-04-13 20:39:31	OPTIMIZATION:	27	0.24660960078528743
2020-04-13 20:39:31	OPTIMIZATION:	28	0.24648816894994025
2020-04-13 20:39:31	OPTIMIZATION:	29	0.24637447903355733
2020-04-13 20:39:31	OPTIMIZATION:	30	0.24626791258735012
2020-04-13 20:39:31	OPTIMIZATION:	31	0.246167907360673
2020-04-13 20:39:31	OPTIMIZATION:	32	0.24607395176448713
2020-04-13 20:39:31	OPTIMIZATION:	33	0.24598557989431313
2020-04-13 20:39:31	OPTIMIZATION:	34	0.245902367058832
2020-04-13 20:39:31	OPTIMIZATION:	35	0.24582392576423792
2020-04-13 20:39:31	OPTIMIZATION:	36	0.24574990210849917
2020-04-13 20:39:31	OPTIMIZATION:	37	0.24567997254366827
2020-04-13 20:39:31	OPTIMIZATION:	38	0.24561384096821778
2020-04-13 20:39:31	OPTIMIZATION:	39	0.2455512361149994
2020-04-13 20:39:32	OPTIMIZATION:	40	0.24549190920379763
2020-04-13 20:39:32	OPTIMIZATION:	41	0.2454356318305612
2020-04-13 20:39:32	OPTIMIZATION:	42	0.24538219406824086
2020-04-13 20:39:32	OPTIMIZATION:	43	0.24533140275675752
2020-04-13 20:39:32	OPTIMIZATION:	44	0.24528307996195853
2020-04-13 20:39:32	OPTIMIZATION:	45	0.24523706158554023
2020-04-13 20:39:32	OPTIMIZATION:	46	0.24519319610980256
2020-04-13 20:39:32	OPTIMIZATION:	47	0.24515134346280362
2020-04-13 20:39:32	OPTIMIZATION:	48	0.24511137399099467
2020-04-13 20:39:32	OPTIMIZATION:	49	0.2450731675277671
2020-04-13 20:39:32	OPTIMIZATION:	50	0.24503661254754636
2020-04-13 20:39:32	OPTIMIZATION:	51	0.24500160539612775
2020-04-13 20:39:32	OPTIMIZATION:	52	0.24496804958890095
2020-04-13 20:39:32	OPTIMIZATION:	53	0.24493585516943803
2020-04-13 20:39:32	OPTIMIZATION:	54	0.24490493812165975
2020-04-13 20:39:32	OPTIMIZATION:	55	0.2448752198294407
2020-04-13 20:39:32	OPTIMIZATION:	56	0.24484662657808273
2020-04-13 20:39:32	OPTIMIZATION:	57	0.24481908909257843
2020-04-13 20:39:32	OPTIMIZATION:	58	0.24479254210801923
2020-04-13 20:39:32	OPTIMIZATION:	59	0.2447669239678712
2020-04-13 20:39:32	OPTIMIZATION:	60	0.2447421762461538
2020-04-13 20:39:32	OPTIMIZATION:	61	0.2447182433898276
2020-04-13 20:39:32	OPTIMIZATION:	62	0.24469507237790508
2020-04-13 20:39:32	OPTIMIZATION:	63	0.24467261239397728
2020-04-13 20:39:32	OPTIMIZATION:	64	0.24465081450897258
2020-04-13 20:39:32	OPTIMIZATION:	65	0.24462963137105156
2020-04-13 20:39:32	OPTIMIZATION:	66	0.24460901689958459
2020-04-13 20:39:32	OPTIMIZATION:	67	0.24458892598015725
2020-04-13 20:39:32	OPTIMIZATION:	68	0.2445693141575062
2020-04-13 20:39:32	OPTIMIZATION:	69	0.24455013732319422
2020-04-13 20:39:32	OPTIMIZATION:	70	0.24453135139468676
2020-04-13 20:39:32	OPTIMIZATION:	71	0.2445129119822964
2020-04-13 20:39:32	OPTIMIZATION:	72	0.24449477404019224
2020-04-13 20:39:32	OPTIMIZATION:	73	0.24447689149733637
2020-04-13 20:39:32	OPTIMIZATION:	74	0.2444592168637925
2020-04-13 20:39:32	OPTIMIZATION:	75	0.24444170080732847
2020-04-13 20:39:32	OPTIMIZATION:	76	0.24442429169461166
2020-04-13 20:39:32	OPTIMIZATION:	77	0.24440693509052677
2020-04-13 20:39:32	OPTIMIZATION:	78	0.2443895732082169
2020-04-13 20:39:32	OPTIMIZATION:	79	0.24437214430133397
2020-04-13 20:39:32	OPTIMIZATION:	80	0.2443545819886196
2020-04-13 20:39:32	OPTIMIZATION:	81	0.24433681449929864
2020-04-13 20:39:32	OPTIMIZATION:	82	0.24431876382576712
2020-04-13 20:39:32	OPTIMIZATION:	83	0.24430034476762116
2020-04-13 20:39:32	OPTIMIZATION:	84	0.2442814638481004
2020-04-13 20:39:32	OPTIMIZATION:	85	0.24426201808036674
2020-04-13 20:39:32	OPTIMIZATION:	86	0.2442418935565404
2020-04-13 20:39:32	OPTIMIZATION:	87	0.24422096382684907
2020-04-13 20:39:32	OPTIMIZATION:	88	0.24419908802931872
2020-04-13 20:39:32	OPTIMIZATION:	89	0.2441761087217809
2020-04-13 20:39:32	OPTIMIZATION:	90	0.24415184935710238
