2020-04-14 00:19:32	INFO:   	Number-of-Epochs	Global-Error
2020-04-14 00:19:32	OPTIMIZATION:	1	0.1695349479585311
2020-04-14 00:19:32	OPTIMIZATION:	2	0.15702186712422048
2020-04-14 00:19:32	OPTIMIZATION:	3	0.1569522572316949
2020-04-14 00:19:32	OPTIMIZATION:	4	0.15691882031950652
2020-04-14 00:19:32	OPTIMIZATION:	5	0.15688772165947398
2020-04-14 00:19:32	OPTIMIZATION:	6	0.1568571811010925
2020-04-14 00:19:32	OPTIMIZATION:	7	0.1568270693564413
2020-04-14 00:19:32	OPTIMIZATION:	8	0.15679738518448835
2020-04-14 00:19:32	OPTIMIZATION:	9	0.15676813712144713
2020-04-14 00:19:32	OPTIMIZATION:	10	0.15673933371738075
2020-04-14 00:19:32	OPTIMIZATION:	11	0.15671098270986336
2020-04-14 00:19:32	OPTIMIZATION:	12	0.15668309095419547
2020-04-14 00:19:32	OPTIMIZATION:	13	0.15665566442225065
2020-04-14 00:19:32	OPTIMIZATION:	14	0.1566287082108631
2020-04-14 00:19:32	OPTIMIZATION:	15	0.15660222655443165
2020-04-14 00:19:32	OPTIMIZATION:	16	0.156576222841072
2020-04-14 00:19:32	OPTIMIZATION:	17	0.15655069963204124
2020-04-14 00:19:33	OPTIMIZATION:	18	0.15652565868417104
2020-04-14 00:19:33	OPTIMIZATION:	19	0.1565011009750327
2020-04-14 00:19:33	OPTIMIZATION:	20	0.15647702673054417
2020-04-14 00:19:33	OPTIMIZATION:	21	0.1564534354547205
2020-04-14 00:19:33	OPTIMIZATION:	22	0.15643032596126297
2020-04-14 00:19:33	OPTIMIZATION:	23	0.15640769640668553
2020-04-14 00:19:33	OPTIMIZATION:	24	0.15638554432467625
2020-04-14 00:19:33	OPTIMIZATION:	25	0.15636386666140248
2020-04-14 00:19:33	OPTIMIZATION:	26	0.15634265981147663
2020-04-14 00:19:33	OPTIMIZATION:	27	0.15632191965431183
2020-04-14 00:19:33	OPTIMIZATION:	28	0.15630164159061452
2020-04-14 00:19:33	OPTIMIZATION:	29	0.15628182057877427
2020-04-14 00:19:33	OPTIMIZATION:	30	0.15626245117093426
2020-04-14 00:19:33	OPTIMIZATION:	31	0.15624352754854007
2020-04-14 00:19:33	OPTIMIZATION:	32	0.15622504355718836
2020-04-14 00:19:33	OPTIMIZATION:	33	0.1562069927406168
2020-04-14 00:19:33	OPTIMIZATION:	34	0.1561893683736941
2020-04-14 00:19:33	OPTIMIZATION:	35	0.1561721634942926
2020-04-14 00:19:33	OPTIMIZATION:	36	0.1561553709339425
2020-04-14 00:19:33	OPTIMIZATION:	37	0.15613898334718698
2020-04-14 00:19:33	OPTIMIZATION:	38	0.15612299323957352
2020-04-14 00:19:33	OPTIMIZATION:	39	0.15610739299423512
2020-04-14 00:19:33	OPTIMIZATION:	40	0.15609217489702726
2020-04-14 00:19:33	OPTIMIZATION:	41	0.15607733116020514
2020-04-14 00:19:33	OPTIMIZATION:	42	0.1560628539446338
2020-04-14 00:19:33	OPTIMIZATION:	43	0.156048735380537
2020-04-14 00:19:33	OPTIMIZATION:	44	0.15603496758680316
2020-04-14 00:19:33	OPTIMIZATION:	45	0.1560215426888702
2020-04-14 00:19:33	OPTIMIZATION:	46	0.15600845283522516
2020-04-14 00:19:33	OPTIMIZATION:	47	0.1559956902125548
2020-04-14 00:19:33	OPTIMIZATION:	48	0.15598324705959435
2020-04-14 00:19:33	OPTIMIZATION:	49	0.15597111567972127
2020-04-14 00:19:33	OPTIMIZATION:	50	0.15595928845234727
2020-04-14 00:19:33	OPTIMIZATION:	51	0.15594775784316492
2020-04-14 00:19:34	OPTIMIZATION:	52	0.1559365164133019
2020-04-14 00:19:34	OPTIMIZATION:	53	0.15592555682744577
2020-04-14 00:19:34	OPTIMIZATION:	54	0.15591487186099304
2020-04-14 00:19:34	OPTIMIZATION:	55	0.15590445440628406
2020-04-14 00:19:34	OPTIMIZATION:	56	0.15589429747797964
2020-04-14 00:19:34	OPTIMIZATION:	57	0.15588439421763778
2020-04-14 00:19:34	OPTIMIZATION:	58	0.15587473789754414
2020-04-14 00:19:34	OPTIMIZATION:	59	0.1558653219238528
2020-04-14 00:19:34	OPTIMIZATION:	60	0.1558561398390871
2020-04-14 00:19:34	OPTIMIZATION:	61	0.15584718532405287
2020-04-14 00:19:34	OPTIMIZATION:	62	0.15583845219920997
2020-04-14 00:19:34	OPTIMIZATION:	63	0.15582993442555182
2020-04-14 00:19:34	OPTIMIZATION:	64	0.15582162610503117
2020-04-14 00:19:34	OPTIMIZATION:	65	0.15581352148057925
2020-04-14 00:19:34	OPTIMIZATION:	66	0.15580561493575337
2020-04-14 00:19:34	OPTIMIZATION:	67	0.15579790099405103
2020-04-14 00:19:34	OPTIMIZATION:	68	0.15579037431792545
2020-04-14 00:19:34	OPTIMIZATION:	69	0.15578302970753413
2020-04-14 00:19:34	OPTIMIZATION:	70	0.15577586209925065
2020-04-14 00:19:34	OPTIMIZATION:	71	0.15576886656396782
2020-04-14 00:19:34	OPTIMIZATION:	72	0.15576203830521793
2020-04-14 00:19:34	OPTIMIZATION:	73	0.15575537265713385
2020-04-14 00:19:34	OPTIMIZATION:	74	0.15574886508227456
2020-04-14 00:19:34	OPTIMIZATION:	75	0.15574251116933266
2020-04-14 00:19:34	OPTIMIZATION:	76	0.15573630663074564
2020-04-14 00:19:34	OPTIMIZATION:	77	0.15573024730022547
2020-04-14 00:19:34	OPTIMIZATION:	78	0.15572432913022435
2020-04-14 00:19:34	OPTIMIZATION:	79	0.15571854818934863
