2020-04-14 00:19:20	INFO:   	Number-of-Epochs	Global-Error
2020-04-14 00:19:20	OPTIMIZATION:	1	0.17076662846377347
2020-04-14 00:19:20	OPTIMIZATION:	2	0.1621453965646825
2020-04-14 00:19:20	OPTIMIZATION:	3	0.16198983266374722
2020-04-14 00:19:20	OPTIMIZATION:	4	0.161830322814339
2020-04-14 00:19:20	OPTIMIZATION:	5	0.16166519722075542
2020-04-14 00:19:20	OPTIMIZATION:	6	0.16149292990031752
2020-04-14 00:19:20	OPTIMIZATION:	7	0.16131186089552452
2020-04-14 00:19:20	OPTIMIZATION:	8	0.1611201689877558
2020-04-14 00:19:20	OPTIMIZATION:	9	0.16091583753097852
2020-04-14 00:19:20	OPTIMIZATION:	10	0.16069661074940497
2020-04-14 00:19:20	OPTIMIZATION:	11	0.16045993701223568
2020-04-14 00:19:20	OPTIMIZATION:	12	0.16020289422330444
2020-04-14 00:19:20	OPTIMIZATION:	13	0.1599220906682212
2020-04-14 00:19:20	OPTIMIZATION:	14	0.15961353237307066
2020-04-14 00:19:20	OPTIMIZATION:	15	0.15927244519249747
2020-04-14 00:19:20	OPTIMIZATION:	16	0.15889303645060843
2020-04-14 00:19:20	OPTIMIZATION:	17	0.15846817707550007
2020-04-14 00:19:20	OPTIMIZATION:	18	0.15798898099795353
2020-04-14 00:19:20	OPTIMIZATION:	19	0.15744425451612123
2020-04-14 00:19:20	OPTIMIZATION:	20	0.15681978497627183
2020-04-14 00:19:20	OPTIMIZATION:	21	0.15609743626600672
2020-04-14 00:19:20	OPTIMIZATION:	22	0.15525401889957277
2020-04-14 00:19:20	OPTIMIZATION:	23	0.1542599046956301
2020-04-14 00:19:20	OPTIMIZATION:	24	0.1530773584312348
2020-04-14 00:19:21	OPTIMIZATION:	25	0.1516585595514894
2020-04-14 00:19:21	OPTIMIZATION:	26	0.1499432948517917
2020-04-14 00:19:21	OPTIMIZATION:	27	0.14785637139326616
2020-04-14 00:19:21	OPTIMIZATION:	28	0.14530509544644135
2020-04-14 00:19:21	OPTIMIZATION:	29	0.14217805282632867
2020-04-14 00:19:21	OPTIMIZATION:	30	0.13834844224348655
2020-04-14 00:19:21	OPTIMIZATION:	31	0.1336886325848078
2020-04-14 00:19:21	OPTIMIZATION:	32	0.12810611146149478
2020-04-14 00:19:21	OPTIMIZATION:	33	0.121608584302547
2020-04-14 00:19:21	OPTIMIZATION:	34	0.11438444458542073
2020-04-14 00:19:21	OPTIMIZATION:	35	0.10683957498308123
2020-04-14 00:19:21	OPTIMIZATION:	36	0.09951350693974459
2020-04-14 00:19:21	OPTIMIZATION:	37	0.09288354185060872
2020-04-14 00:19:21	OPTIMIZATION:	38	0.08718578677592408
2020-04-14 00:19:21	OPTIMIZATION:	39	0.0823771448516312
2020-04-14 00:19:21	OPTIMIZATION:	40	0.07823863871115211
2020-04-14 00:19:21	OPTIMIZATION:	41	0.0745169956892869
2020-04-14 00:19:21	OPTIMIZATION:	42	0.07101388970880111
2020-04-14 00:19:21	OPTIMIZATION:	43	0.06760915475666664
2020-04-14 00:19:21	OPTIMIZATION:	44	0.06424527329238514
2020-04-14 00:19:21	OPTIMIZATION:	45	0.06089778060090406
2020-04-14 00:19:21	OPTIMIZATION:	46	0.05754707103601417
2020-04-14 00:19:21	OPTIMIZATION:	47	0.05416193900173557
2020-04-14 00:19:21	OPTIMIZATION:	48	0.05069827681769973
2020-04-14 00:19:21	OPTIMIZATION:	49	0.047108867271451166
2020-04-14 00:19:21	OPTIMIZATION:	50	0.043357329158654284
2020-04-14 00:19:21	OPTIMIZATION:	51	0.03943116595383679
2020-04-14 00:19:21	OPTIMIZATION:	52	0.03535210245626079
2020-04-14 00:19:21	OPTIMIZATION:	53	0.03118379505806311
2020-04-14 00:19:21	OPTIMIZATION:	54	0.027035736140992358
2020-04-14 00:19:21	OPTIMIZATION:	55	0.023057113866106888
2020-04-14 00:19:21	OPTIMIZATION:	56	0.019411452473311802
2020-04-14 00:19:21	OPTIMIZATION:	57	0.016232849039767887
2020-04-14 00:19:21	OPTIMIZATION:	58	0.013584735141886925
2020-04-14 00:19:21	OPTIMIZATION:	59	0.01144961220848434
2020-04-14 00:19:21	OPTIMIZATION:	60	0.009755409626665268
2020-04-14 00:19:21	OPTIMIZATION:	61	0.00841324756928515
2020-04-14 00:19:21	OPTIMIZATION:	62	0.007342149033444757
2020-04-14 00:19:21	OPTIMIZATION:	63	0.006477487036985606
2020-04-14 00:19:21	OPTIMIZATION:	64	0.005770562012140166
2020-04-14 00:19:21	OPTIMIZATION:	65	0.005185394150569197
2020-04-14 00:19:21	OPTIMIZATION:	66	0.004695415124285528
2020-04-14 00:19:21	OPTIMIZATION:	67	0.004280827254080055
2020-04-14 00:19:21	OPTIMIZATION:	68	0.003926680512069317
2020-04-14 00:19:21	OPTIMIZATION:	69	0.0036215230407085253
2020-04-14 00:19:21	OPTIMIZATION:	70	0.003356464025506878
2020-04-14 00:19:21	OPTIMIZATION:	71	0.0031245192580928766
2020-04-14 00:19:21	OPTIMIZATION:	72	0.002920146890343285
2020-04-14 00:19:21	OPTIMIZATION:	73	0.0027389113237302164
2020-04-14 00:19:21	OPTIMIZATION:	74	0.0025772348487969206
2020-04-14 00:19:21	OPTIMIZATION:	75	0.002432210901800086
2020-04-14 00:19:21	SUCCEED:	FINISHED-AFTER:	75
