2020-04-14 04:47:24	INFO:   	Number-of-Epochs	Global-Error
2020-04-14 04:47:24	OPTIMIZATION:	1	0.07290994711365063
2020-04-14 04:47:24	OPTIMIZATION:	2	0.05959306822549296
2020-04-14 04:47:24	OPTIMIZATION:	3	0.059443061480523224
2020-04-14 04:47:24	OPTIMIZATION:	4	0.059407908807851594
2020-04-14 04:47:24	OPTIMIZATION:	5	0.05939599594940853
2020-04-14 04:47:24	OPTIMIZATION:	6	0.05939107447615094
2020-04-14 04:47:24	OPTIMIZATION:	7	0.05938863681195913
2020-04-14 04:47:24	OPTIMIZATION:	8	0.05938714909653537
2020-04-14 04:47:24	OPTIMIZATION:	9	0.05938603894186984
2020-04-14 04:47:24	OPTIMIZATION:	10	0.05938508384042451
2020-04-14 04:47:24	OPTIMIZATION:	11	0.059384195504754184
2020-04-14 04:47:24	OPTIMIZATION:	12	0.059383338319323846
2020-04-14 04:47:24	OPTIMIZATION:	13	0.059382497545281236
2020-04-14 04:47:24	OPTIMIZATION:	14	0.059381666757446334
2020-04-14 04:47:24	OPTIMIZATION:	15	0.0593808428498796
2020-04-14 04:47:24	OPTIMIZATION:	16	0.059380024043830436
2020-04-14 04:47:24	OPTIMIZATION:	17	0.05937920909134914
2020-04-14 04:47:24	OPTIMIZATION:	18	0.05937839695612132
2020-04-14 04:47:24	OPTIMIZATION:	19	0.05937758668506752
2020-04-14 04:47:24	OPTIMIZATION:	20	0.059376777356292404
2020-04-14 04:47:24	OPTIMIZATION:	21	0.059375968057619584
2020-04-14 04:47:24	OPTIMIZATION:	22	0.059375157877386904
2020-04-14 04:47:24	OPTIMIZATION:	23	0.05937434590015412
2020-04-14 04:47:24	OPTIMIZATION:	24	0.059373531204374254
2020-04-14 04:47:24	OPTIMIZATION:	25	0.059372712860842704
2020-04-14 04:47:24	OPTIMIZATION:	26	0.05937188993144698
2020-04-14 04:47:24	OPTIMIZATION:	27	0.059371061468024754
2020-04-14 04:47:24	OPTIMIZATION:	28	0.05937022651125105
2020-04-14 04:47:24	OPTIMIZATION:	29	0.05936938408952355
2020-04-14 04:47:24	OPTIMIZATION:	30	0.05936853321783125
2020-04-14 04:47:24	OPTIMIZATION:	31	0.05936767289660117
2020-04-14 04:47:24	OPTIMIZATION:	32	0.05936680211051918
2020-04-14 04:47:24	OPTIMIZATION:	33	0.05936591982732336
2020-04-14 04:47:25	OPTIMIZATION:	34	0.05936502499656764
2020-04-14 04:47:25	OPTIMIZATION:	35	0.05936411654835496
2020-04-14 04:47:25	OPTIMIZATION:	36	0.05936319339203744
2020-04-14 04:47:25	OPTIMIZATION:	37	0.05936225441488286
2020-04-14 04:47:25	OPTIMIZATION:	38	0.059361298480704976
2020-04-14 04:47:25	OPTIMIZATION:	39	0.05936032442845674
2020-04-14 04:47:25	OPTIMIZATION:	40	0.05935933107078342
2020-04-14 04:47:25	OPTIMIZATION:	41	0.05935831719253504
2020-04-14 04:47:25	OPTIMIZATION:	42	0.05935728154923497
2020-04-14 04:47:25	OPTIMIZATION:	43	0.059356222865502774
2020-04-14 04:47:25	OPTIMIZATION:	44	0.05935513983342952
2020-04-14 04:47:25	OPTIMIZATION:	45	0.05935403111090235
2020-04-14 04:47:25	OPTIMIZATION:	46	0.05935289531987636
2020-04-14 04:47:25	OPTIMIZATION:	47	0.059351731044590794
2020-04-14 04:47:25	OPTIMIZATION:	48	0.05935053682972689
2020-04-14 04:47:25	OPTIMIZATION:	49	0.059349311178504095
2020-04-14 04:47:25	OPTIMIZATION:	50	0.05934805255071205
2020-04-14 04:47:25	OPTIMIZATION:	51	0.05934675936067436
2020-04-14 04:47:25	OPTIMIZATION:	52	0.05934542997514114
2020-04-14 04:47:25	OPTIMIZATION:	53	0.059344062711106337
2020-04-14 04:47:25	OPTIMIZATION:	54	0.05934265583354609
2020-04-14 04:47:25	OPTIMIZATION:	55	0.05934120755307381
2020-04-14 04:47:25	OPTIMIZATION:	56	0.05933971602350788
2020-04-14 04:47:25	OPTIMIZATION:	57	0.05933817933934688
2020-04-14 04:47:25	OPTIMIZATION:	58	0.05933659553314798
2020-04-14 04:47:25	OPTIMIZATION:	59	0.05933496257280279
2020-04-14 04:47:25	OPTIMIZATION:	60	0.059333278358705534
2020-04-14 04:47:25	OPTIMIZATION:	61	0.059331540720807506
2020-04-14 04:47:25	OPTIMIZATION:	62	0.05932974741555153
2020-04-14 04:47:25	OPTIMIZATION:	63	0.0593278961226803
2020-04-14 04:47:25	OPTIMIZATION:	64	0.059325984441910694
2020-04-14 04:47:25	OPTIMIZATION:	65	0.059324009889467684
2020-04-14 04:47:25	OPTIMIZATION:	66	0.05932196989446917
2020-04-14 04:47:25	OPTIMIZATION:	67	0.059319861795153465
2020-04-14 04:47:25	OPTIMIZATION:	68	0.05931768283494068
2020-04-14 04:47:25	OPTIMIZATION:	69	0.05931543015831833
2020-04-14 04:47:25	OPTIMIZATION:	70	0.059313100806540585
2020-04-14 04:47:25	OPTIMIZATION:	71	0.05931069171313071
2020-04-14 04:47:25	OPTIMIZATION:	72	0.05930819969917525
2020-04-14 04:47:25	OPTIMIZATION:	73	0.05930562146839647
2020-04-14 04:47:25	OPTIMIZATION:	74	0.05930295360199104
2020-04-14 04:47:25	OPTIMIZATION:	75	0.0593001925532198
2020-04-14 04:47:25	OPTIMIZATION:	76	0.05929733464173362
2020-04-14 04:47:25	OPTIMIZATION:	77	0.059294376047619196
2020-04-14 04:47:25	OPTIMIZATION:	78	0.05929131280514688
2020-04-14 04:47:25	OPTIMIZATION:	79	0.05928814079620203
2020-04-14 04:47:25	OPTIMIZATION:	80	0.05928485574337939
2020-04-14 04:47:25	OPTIMIZATION:	81	0.05928145320271905
2020-04-14 04:47:25	OPTIMIZATION:	82	0.0592779285560604
2020-04-14 04:47:25	OPTIMIZATION:	83	0.05927427700298896
2020-04-14 04:47:25	OPTIMIZATION:	84	0.059270493552349236
2020-04-14 04:47:25	OPTIMIZATION:	85	0.05926657301329393
