2020-04-14 04:28:51	INFO:   	Number-of-Epochs	Global-Error
2020-04-14 04:28:51	OPTIMIZATION:	1	0.260383560854081
2020-04-14 04:28:51	OPTIMIZATION:	2	0.25730255210883224
2020-04-14 04:28:51	OPTIMIZATION:	3	0.2557750731737658
2020-04-14 04:28:51	OPTIMIZATION:	4	0.254446124529943
2020-04-14 04:28:51	OPTIMIZATION:	5	0.25329300746408306
2020-04-14 04:28:51	OPTIMIZATION:	6	0.2522935153636128
2020-04-14 04:28:51	OPTIMIZATION:	7	0.25142699452490463
2020-04-14 04:28:51	OPTIMIZATION:	8	0.25067485974298404
2020-04-14 04:28:51	OPTIMIZATION:	9	0.2500207555007271
2020-04-14 04:28:51	OPTIMIZATION:	10	0.24945050496028912
2020-04-14 04:28:51	OPTIMIZATION:	11	0.24895194476567425
2020-04-14 04:28:51	OPTIMIZATION:	12	0.24851470886082686
2020-04-14 04:28:51	OPTIMIZATION:	13	0.24812999952425627
2020-04-14 04:28:52	OPTIMIZATION:	14	0.2477903670151854
2020-04-14 04:28:52	OPTIMIZATION:	15	0.2474895085301132
2020-04-14 04:28:52	OPTIMIZATION:	16	0.24722209070210274
2020-04-14 04:28:52	OPTIMIZATION:	17	0.24698359618327936
2020-04-14 04:28:52	OPTIMIZATION:	18	0.24677019290191302
2020-04-14 04:28:52	OPTIMIZATION:	19	0.2465786236875239
2020-04-14 04:28:52	OPTIMIZATION:	20	0.24640611366633502
2020-04-14 04:28:52	OPTIMIZATION:	21	0.24625029286902644
2020-04-14 04:28:52	OPTIMIZATION:	22	0.24610913169700457
2020-04-14 04:28:52	OPTIMIZATION:	23	0.24598088716560443
2020-04-14 04:28:52	OPTIMIZATION:	24	0.24586405812898637
2020-04-14 04:28:52	OPTIMIZATION:	25	0.24575734796383483
2020-04-14 04:28:52	OPTIMIZATION:	26	0.24565963343433853
2020-04-14 04:28:52	OPTIMIZATION:	27	0.2455699386748007
2020-04-14 04:28:52	OPTIMIZATION:	28	0.24548741340873606
2020-04-14 04:28:52	OPTIMIZATION:	29	0.24541131467683439
2020-04-14 04:28:52	OPTIMIZATION:	30	0.24534099147406926
2020-04-14 04:28:52	OPTIMIZATION:	31	0.24527587180207908
2020-04-14 04:28:52	OPTIMIZATION:	32	0.24521545173015571
2020-04-14 04:28:52	OPTIMIZATION:	33	0.24515928612982144
2020-04-14 04:28:52	OPTIMIZATION:	34	0.24510698080674534
2020-04-14 04:28:52	OPTIMIZATION:	35	0.24505818580191216
2020-04-14 04:28:52	OPTIMIZATION:	36	0.24501258967342876
