2020-04-14 04:40:17	INFO:   	Number-of-Epochs	Global-Error
2020-04-14 04:40:17	OPTIMIZATION:	1	0.27008744254024925
2020-04-14 04:40:17	OPTIMIZATION:	2	0.26579770551887855
2020-04-14 04:40:17	OPTIMIZATION:	3	0.26285051883659866
2020-04-14 04:40:17	OPTIMIZATION:	4	0.2603519280301681
2020-04-14 04:40:17	OPTIMIZATION:	5	0.2582421596012083
2020-04-14 04:40:17	OPTIMIZATION:	6	0.2564629519375655
2020-04-14 04:40:17	OPTIMIZATION:	7	0.25496130067057843
2020-04-14 04:40:17	OPTIMIZATION:	8	0.25369096913386535
2020-04-14 04:40:17	OPTIMIZATION:	9	0.2526126908876056
2020-04-14 04:40:17	OPTIMIZATION:	10	0.25169368540221443
2020-04-14 04:40:17	OPTIMIZATION:	11	0.250906874490233
2020-04-14 04:40:17	OPTIMIZATION:	12	0.25023002351413764
2020-04-14 04:40:17	OPTIMIZATION:	13	0.24964492444347874
2020-04-14 04:40:17	OPTIMIZATION:	14	0.24913667268482717
2020-04-14 04:40:17	OPTIMIZATION:	15	0.24869305292423835
2020-04-14 04:40:17	OPTIMIZATION:	16	0.2483040304834887
2020-04-14 04:40:17	OPTIMIZATION:	17	0.24796133646438287
2020-04-14 04:40:17	OPTIMIZATION:	18	0.24765813243975024
2020-04-14 04:40:17	OPTIMIZATION:	19	0.24738874076801706
2020-04-14 04:40:17	OPTIMIZATION:	20	0.24714842814546414
2020-04-14 04:40:17	OPTIMIZATION:	21	0.24693323191861358
2020-04-14 04:40:17	OPTIMIZATION:	22	0.24673982054927668
2020-04-14 04:40:18	OPTIMIZATION:	23	0.24656538128467267
2020-04-14 04:40:18	OPTIMIZATION:	24	0.24640752948381972
2020-04-14 04:40:18	OPTIMIZATION:	25	0.2462642351954266
2020-04-14 04:40:18	OPTIMIZATION:	26	0.24613376350141666
2020-04-14 04:40:18	OPTIMIZATION:	27	0.24601462587034043
2020-04-14 04:40:18	OPTIMIZATION:	28	0.24590554034134063
2020-04-14 04:40:18	OPTIMIZATION:	29	0.2458053988128748
2020-04-14 04:40:18	OPTIMIZATION:	30	0.24571324006676862
2020-04-14 04:40:18	OPTIMIZATION:	31	0.2456282274382198
2020-04-14 04:40:18	OPTIMIZATION:	32	0.24554963026266616
