2020-04-13 22:37:38	INFO:   	Number-of-Epochs	Global-Error
2020-04-13 22:37:38	OPTIMIZATION:	1	0.21196228456064348
2020-04-13 22:37:38	OPTIMIZATION:	2	0.2078531372433409
2020-04-13 22:37:38	OPTIMIZATION:	3	0.20685327665515843
2020-04-13 22:37:38	OPTIMIZATION:	4	0.2058970671671158
2020-04-13 22:37:38	OPTIMIZATION:	5	0.20498886066817082
2020-04-13 22:37:38	OPTIMIZATION:	6	0.20413141687700911
2020-04-13 22:37:38	OPTIMIZATION:	7	0.20332603281997996
2020-04-13 22:37:38	OPTIMIZATION:	8	0.20257273941473888
2020-04-13 22:37:38	OPTIMIZATION:	9	0.20187053534330132
2020-04-13 22:37:38	OPTIMIZATION:	10	0.20121763090522782
2020-04-13 22:37:38	OPTIMIZATION:	11	0.2006116797456614
2020-04-13 22:37:38	OPTIMIZATION:	12	0.20004998299526788
2020-04-13 22:37:38	OPTIMIZATION:	13	0.1995296571237829
2020-04-13 22:37:38	OPTIMIZATION:	14	0.1990477626964831
2020-04-13 22:37:38	OPTIMIZATION:	15	0.19860139568480029
2020-04-13 22:37:38	OPTIMIZATION:	16	0.19818774588540558
2020-04-13 22:37:38	OPTIMIZATION:	17	0.19780412849988444
2020-04-13 22:37:38	OPTIMIZATION:	18	0.19744799531601362
2020-04-13 22:37:38	OPTIMIZATION:	19	0.19711693154071838
2020-04-13 22:37:38	OPTIMIZATION:	20	0.1968086434622432
2020-04-13 22:37:38	OPTIMIZATION:	21	0.19652094100663883
2020-04-13 22:37:38	OPTIMIZATION:	22	0.19625171808295094
2020-04-13 22:37:38	OPTIMIZATION:	23	0.19599893250919243
2020-04-13 22:37:38	OPTIMIZATION:	24	0.19576058635590113
2020-04-13 22:37:39	OPTIMIZATION:	25	0.1955347067726526
2020-04-13 22:37:39	OPTIMIZATION:	26	0.19531932677671496
2020-04-13 22:37:39	OPTIMIZATION:	27	0.1951124650550513
2020-04-13 22:37:39	OPTIMIZATION:	28	0.19491210351337465
2020-04-13 22:37:39	OPTIMIZATION:	29	0.19471616103765674
2020-04-13 22:37:39	OPTIMIZATION:	30	0.1945224616449016
2020-04-13 22:37:39	OPTIMIZATION:	31	0.19432869481526413
2020-04-13 22:37:39	OPTIMIZATION:	32	0.19413236523206862
2020-04-13 22:37:39	OPTIMIZATION:	33	0.19393072830884658
2020-04-13 22:37:39	OPTIMIZATION:	34	0.19372070662178772
2020-04-13 22:37:39	OPTIMIZATION:	35	0.19349878050862468
2020-04-13 22:37:39	OPTIMIZATION:	36	0.19326084337277072
2020-04-13 22:37:39	OPTIMIZATION:	37	0.19300200824217623
2020-04-13 22:37:39	OPTIMIZATION:	38	0.19271634626571144
2020-04-13 22:37:39	OPTIMIZATION:	39	0.1923965291597977
2020-04-13 22:37:39	OPTIMIZATION:	40	0.19203333475203924
2020-04-13 22:37:39	OPTIMIZATION:	41	0.19161495566603384
2020-04-13 22:37:39	OPTIMIZATION:	42	0.19112602303270818
2020-04-13 22:37:39	OPTIMIZATION:	43	0.19054621653690693
2020-04-13 22:37:39	OPTIMIZATION:	44	0.18984827683953853
2020-04-13 22:37:39	OPTIMIZATION:	45	0.18899517137112304
2020-04-13 22:37:39	OPTIMIZATION:	46	0.18793612117630254
2020-04-13 22:37:39	OPTIMIZATION:	47	0.18660128950707058
2020-04-13 22:37:39	OPTIMIZATION:	48	0.1848955107034292
2020-04-13 22:37:39	OPTIMIZATION:	49	0.18269342555507728
2020-04-13 22:37:39	OPTIMIZATION:	50	0.1798437665270727
2020-04-13 22:37:39	OPTIMIZATION:	51	0.17620148024105292
2020-04-13 22:37:39	OPTIMIZATION:	52	0.1717164968779263
2020-04-13 22:37:39	OPTIMIZATION:	53	0.16657830237512877
2020-04-13 22:37:39	OPTIMIZATION:	54	0.16129257087294044
2020-04-13 22:37:39	OPTIMIZATION:	55	0.15648937398293336
2020-04-13 22:37:39	OPTIMIZATION:	56	0.15255989933722025
2020-04-13 22:37:39	OPTIMIZATION:	57	0.1495273006305991
2020-04-13 22:37:39	OPTIMIZATION:	58	0.14721488624049445
2020-04-13 22:37:40	OPTIMIZATION:	59	0.14542671455362174
2020-04-13 22:37:40	OPTIMIZATION:	60	0.14401362160884043
2020-04-13 22:37:40	OPTIMIZATION:	61	0.14287354225430496
