2020-04-16 22:54:15	INFO:   	Number-of-Epochs	Global-Error
2020-04-16 22:54:16	OPTIMIZATION:	1	0.2922666226574102
2020-04-16 22:54:16	OPTIMIZATION:	2	0.28138167226657257
2020-04-16 22:54:16	OPTIMIZATION:	3	0.27471380954521885
2020-04-16 22:54:16	OPTIMIZATION:	4	0.27063384250759914
2020-04-16 22:54:16	OPTIMIZATION:	5	0.2679288135347613
2020-04-16 22:54:16	OPTIMIZATION:	6	0.2658487884936624
2020-04-16 22:54:16	OPTIMIZATION:	7	0.26380307598026137
2020-04-16 22:54:16	OPTIMIZATION:	8	0.2611047123154318
2020-04-16 22:54:16	OPTIMIZATION:	9	0.25665854953892464
2020-04-16 22:54:16	OPTIMIZATION:	10	0.2483941210731084
2020-04-16 22:54:16	OPTIMIZATION:	11	0.23293865787671153
2020-04-16 22:54:16	OPTIMIZATION:	12	0.20981442660897334
2020-04-16 22:54:16	OPTIMIZATION:	13	0.1861949825412166
2020-04-16 22:54:16	OPTIMIZATION:	14	0.16747716060699566
2020-04-16 22:54:16	OPTIMIZATION:	15	0.15391303749367533
2020-04-16 22:54:16	OPTIMIZATION:	16	0.14374979651915146
2020-04-16 22:54:16	OPTIMIZATION:	17	0.13603458808950736
2020-04-16 22:54:16	OPTIMIZATION:	18	0.1302949352887658
2020-04-16 22:54:16	OPTIMIZATION:	19	0.12607567122598706
2020-04-16 22:54:16	OPTIMIZATION:	20	0.1229475717607196
2020-04-16 22:54:16	OPTIMIZATION:	21	0.12057718732370379
2020-04-16 22:54:16	OPTIMIZATION:	22	0.11872812280682725
2020-04-16 22:54:17	OPTIMIZATION:	23	0.11723959019884347
2020-04-16 22:54:17	OPTIMIZATION:	24	0.11600570888739577
2020-04-16 22:54:17	OPTIMIZATION:	25	0.11495800654641636
2020-04-16 22:54:17	OPTIMIZATION:	26	0.11405192393169863
2020-04-16 22:54:17	OPTIMIZATION:	27	0.11325760297273776
2020-04-16 22:54:17	OPTIMIZATION:	28	0.11255416194799531
2020-04-16 22:54:17	OPTIMIZATION:	29	0.11192631526630256
2020-04-16 22:54:17	OPTIMIZATION:	30	0.11136240662774508
2020-04-16 22:54:17	OPTIMIZATION:	31	0.11085325015014516
2020-04-16 22:54:17	OPTIMIZATION:	32	0.11039142514103713
2020-04-16 22:54:17	OPTIMIZATION:	33	0.1099708268361262
2020-04-16 22:54:17	OPTIMIZATION:	34	0.10958636497612807
2020-04-16 22:54:17	OPTIMIZATION:	35	0.10923375122921382
2020-04-16 22:54:17	OPTIMIZATION:	36	0.10890934281957662
2020-04-16 22:54:17	OPTIMIZATION:	37	0.10861002371263409
2020-04-16 22:54:17	OPTIMIZATION:	38	0.1083331121735989
2020-04-16 22:54:17	OPTIMIZATION:	39	0.10807628760025324
2020-04-16 22:54:17	OPTIMIZATION:	40	0.10783753186505084
2020-04-16 22:54:17	OPTIMIZATION:	41	0.10761508181420393
2020-04-16 22:54:17	OPTIMIZATION:	42	0.10740739047907785
2020-04-16 22:54:17	OPTIMIZATION:	43	0.10721309517055293
2020-04-16 22:54:17	OPTIMIZATION:	44	0.1070309910621732
2020-04-16 22:54:18	OPTIMIZATION:	45	0.10686000918522483
2020-04-16 22:54:18	OPTIMIZATION:	46	0.10669919799535546
2020-04-16 22:54:18	OPTIMIZATION:	47	0.10654770784927037
2020-04-16 22:54:18	OPTIMIZATION:	48	0.10640477786697658
2020-04-16 22:54:18	OPTIMIZATION:	49	0.10626972476079913
2020-04-16 22:54:18	OPTIMIZATION:	50	0.10614193329468498
2020-04-16 22:54:18	OPTIMIZATION:	51	0.10602084810178704
2020-04-16 22:54:18	OPTIMIZATION:	52	0.10590596663916976
2020-04-16 22:54:18	OPTIMIZATION:	53	0.1057968330988108
2020-04-16 22:54:18	OPTIMIZATION:	54	0.1056930331262638
2020-04-16 22:54:18	OPTIMIZATION:	55	0.1055941892241789
2020-04-16 22:54:18	OPTIMIZATION:	56	0.10549995673871171
2020-04-16 22:54:18	OPTIMIZATION:	57	0.10541002034375481
2020-04-16 22:54:18	OPTIMIZATION:	58	0.10532409095168815
2020-04-16 22:54:18	OPTIMIZATION:	59	0.10524190299061764
2020-04-16 22:54:18	OPTIMIZATION:	60	0.10516321199732603
2020-04-16 22:54:18	OPTIMIZATION:	61	0.10508779248280095
2020-04-16 22:54:18	OPTIMIZATION:	62	0.10501543603351907
2020-04-16 22:54:18	OPTIMIZATION:	63	0.10494594961690318
2020-04-16 22:54:18	OPTIMIZATION:	64	0.10487915406371633
2020-04-16 22:54:18	OPTIMIZATION:	65	0.10481488270376486
2020-04-16 22:54:18	OPTIMIZATION:	66	0.10475298013426673
2020-04-16 22:54:18	OPTIMIZATION:	67	0.10469330110270263
2020-04-16 22:54:19	OPTIMIZATION:	68	0.10463570948796827
2020-04-16 22:54:19	OPTIMIZATION:	69	0.10458007736524455
2020-04-16 22:54:19	OPTIMIZATION:	70	0.1045262841412378
2020-04-16 22:54:19	OPTIMIZATION:	71	0.10447421574732806
2020-04-16 22:54:19	OPTIMIZATION:	72	0.10442376387871002
2020-04-16 22:54:19	OPTIMIZATION:	73	0.10437482526781014
2020-04-16 22:54:19	OPTIMIZATION:	74	0.1043273009800683
2020-04-16 22:54:19	OPTIMIZATION:	75	0.10428109571954253
2020-04-16 22:54:19	OPTIMIZATION:	76	0.10423611713062228
2020-04-16 22:54:19	OPTIMIZATION:	77	0.10419227508029141
2020-04-16 22:54:19	OPTIMIZATION:	78	0.10414948090265447
2020-04-16 22:54:19	OPTIMIZATION:	79	0.10410764658353876
2020-04-16 22:54:19	OPTIMIZATION:	80	0.10406668385746078
2020-04-16 22:54:19	OPTIMIZATION:	81	0.10402650318146059
2020-04-16 22:54:19	OPTIMIZATION:	82	0.10398701253929055
2020-04-16 22:54:19	OPTIMIZATION:	83	0.10394811601372807
2020-04-16 22:54:19	OPTIMIZATION:	84	0.10390971204211066
2020-04-16 22:54:19	OPTIMIZATION:	85	0.1038716912370337
2020-04-16 22:54:19	OPTIMIZATION:	86	0.10383393360484539
2020-04-16 22:54:19	OPTIMIZATION:	87	0.10379630491989013
2020-04-16 22:54:19	OPTIMIZATION:	88	0.1037586518969165
2020-04-16 22:54:20	OPTIMIZATION:	89	0.10372079562107335
2020-04-16 22:54:20	OPTIMIZATION:	90	0.10368252239733629
2020-04-16 22:54:20	OPTIMIZATION:	91	0.10364357068271356
2020-04-16 22:54:20	OPTIMIZATION:	92	0.10360361190118525
2020-04-16 22:54:20	OPTIMIZATION:	93	0.10356222138823966
2020-04-16 22:54:20	OPTIMIZATION:	94	0.10351883279495352
2020-04-16 22:54:20	OPTIMIZATION:	95	0.1034726635247875
2020-04-16 22:54:20	OPTIMIZATION:	96	0.10342258674349855
2020-04-16 22:54:20	OPTIMIZATION:	97	0.10336689860863672
2020-04-16 22:54:20	OPTIMIZATION:	98	0.10330286433069936
2020-04-16 22:54:20	OPTIMIZATION:	99	0.10322575416317709
2020-04-16 22:54:20	OPTIMIZATION:	100	0.1031265714965175
2020-04-16 22:54:20	OPTIMIZATION:	101	0.10298600479498478
2020-04-16 22:54:20	OPTIMIZATION:	102	0.10275660953893073
2020-04-16 22:54:20	OPTIMIZATION:	103	0.10232428341458964
2020-04-16 22:54:20	OPTIMIZATION:	104	0.10166248917330108
2020-04-16 22:54:20	OPTIMIZATION:	105	0.10077932678484314
2020-04-16 22:54:20	OPTIMIZATION:	106	0.0984077992704016
2020-04-16 22:54:20	OPTIMIZATION:	107	0.09257855197652624
2020-04-16 22:54:20	OPTIMIZATION:	108	0.08158143050443961
2020-04-16 22:54:20	OPTIMIZATION:	109	0.06368462431449123
2020-04-16 22:54:20	OPTIMIZATION:	110	0.04422905368422197
2020-04-16 22:54:20	OPTIMIZATION:	111	0.03156509825623136
2020-04-16 22:54:21	OPTIMIZATION:	112	0.025821044403232775
2020-04-16 22:54:21	OPTIMIZATION:	113	0.021027349422223354
2020-04-16 22:54:21	OPTIMIZATION:	114	0.019123175983691402
2020-04-16 22:54:21	OPTIMIZATION:	115	0.0181453708187347
2020-04-16 22:54:21	OPTIMIZATION:	116	0.01743323295812561
2020-04-16 22:54:21	OPTIMIZATION:	117	0.016965935227222284
2020-04-16 22:54:21	OPTIMIZATION:	118	0.01665895501382271
2020-04-16 22:54:21	OPTIMIZATION:	119	0.016455915888343105
2020-04-16 22:54:21	OPTIMIZATION:	120	0.01632451808340041
2020-04-16 22:54:21	OPTIMIZATION:	121	0.016244085516042887
2020-04-16 22:54:21	OPTIMIZATION:	122	0.01619846118225734
2020-04-16 22:54:21	OPTIMIZATION:	123	0.016172721136889886
2020-04-16 22:54:21	OPTIMIZATION:	124	0.016153370216884053
2020-04-16 22:54:21	OPTIMIZATION:	125	0.016130608214411757
2020-04-16 22:54:21	OPTIMIZATION:	126	0.016099739031271095
2020-04-16 22:54:21	OPTIMIZATION:	127	0.016060486986311434
2020-04-16 22:54:21	OPTIMIZATION:	128	0.01601511587974642
2020-04-16 22:54:21	OPTIMIZATION:	129	0.01596653860999804
2020-04-16 22:54:21	OPTIMIZATION:	130	0.01591717612307975
2020-04-16 22:54:21	OPTIMIZATION:	131	0.01586866203422859
2020-04-16 22:54:21	OPTIMIZATION:	132	0.0158219800830688
2020-04-16 22:54:21	OPTIMIZATION:	133	0.015777635676108147
2020-04-16 22:54:22	OPTIMIZATION:	134	0.01573573652900536
2020-04-16 22:54:22	OPTIMIZATION:	135	0.01569604125310507
2020-04-16 22:54:22	OPTIMIZATION:	136	0.01565805297045225
2020-04-16 22:54:22	OPTIMIZATION:	137	0.015621163191766017
2020-04-16 22:54:22	OPTIMIZATION:	138	0.015584791021065223
2020-04-16 22:54:22	OPTIMIZATION:	139	0.015548466990855206
2020-04-16 22:54:22	OPTIMIZATION:	140	0.01551185388079021
2020-04-16 22:54:22	OPTIMIZATION:	141	0.015474726474913603
2020-04-16 22:54:22	OPTIMIZATION:	142	0.015436930983113812
2020-04-16 22:54:22	OPTIMIZATION:	143	0.015398332046793096
2020-04-16 22:54:22	OPTIMIZATION:	144	0.015358752905102687
2020-04-16 22:54:22	OPTIMIZATION:	145	0.015317925985023979
2020-04-16 22:54:22	OPTIMIZATION:	146	0.015275481495189435
2020-04-16 22:54:22	OPTIMIZATION:	147	0.015230987274486312
2020-04-16 22:54:22	OPTIMIZATION:	148	0.01518400968133805
2020-04-16 22:54:22	OPTIMIZATION:	149	0.015134135890333732
2020-04-16 22:54:22	OPTIMIZATION:	150	0.01508094429762175
2020-04-16 22:54:22	OPTIMIZATION:	151	0.015024012546688038
2020-04-16 22:54:22	OPTIMIZATION:	152	0.01496309195060773
2020-04-16 22:54:22	OPTIMIZATION:	153	0.014898485395029295
2020-04-16 22:54:22	OPTIMIZATION:	154	0.014831425516761266
2020-04-16 22:54:22	OPTIMIZATION:	155	0.01476319893795867
2020-04-16 22:54:23	OPTIMIZATION:	156	0.014688643271399458
2020-04-16 22:54:23	OPTIMIZATION:	157	0.014580735317112839
2020-04-16 22:54:23	OPTIMIZATION:	158	0.014357982918231363
2020-04-16 22:54:23	OPTIMIZATION:	159	0.014292036251076959
2020-04-16 22:54:23	OPTIMIZATION:	160	0.015295963900852796
2020-04-16 22:54:23	OPTIMIZATION:	161	0.01907270589762876
2020-04-16 22:54:23	OPTIMIZATION:	162	0.10596832370404598
2020-04-16 22:54:23	OPTIMIZATION:	163	0.03360421641837471
2020-04-16 22:54:23	OPTIMIZATION:	164	0.014549564706620654
2020-04-16 22:54:23	OPTIMIZATION:	165	0.02089381186903943
2020-04-16 22:54:23	OPTIMIZATION:	166	0.04804606283708318
2020-04-16 22:54:23	OPTIMIZATION:	167	0.018161304087716178
2020-04-16 22:54:23	OPTIMIZATION:	168	0.01465567588880402
2020-04-16 22:54:23	OPTIMIZATION:	169	0.01448918853182184
2020-04-16 22:54:23	OPTIMIZATION:	170	0.014449446709080238
2020-04-16 22:54:23	OPTIMIZATION:	171	0.019169633110794622
2020-04-16 22:54:23	OPTIMIZATION:	172	0.02930738294081605
2020-04-16 22:54:23	OPTIMIZATION:	173	0.01987862188146215
2020-04-16 22:54:23	OPTIMIZATION:	174	0.014207806697471249
2020-04-16 22:54:23	OPTIMIZATION:	175	0.015162571382413675
2020-04-16 22:54:23	OPTIMIZATION:	176	0.014028769984569239
2020-04-16 22:54:23	OPTIMIZATION:	177	0.0152201260436229
2020-04-16 22:54:24	OPTIMIZATION:	178	0.018333505363747404
2020-04-16 22:54:24	OPTIMIZATION:	179	0.024276693390959024
2020-04-16 22:54:24	OPTIMIZATION:	180	0.01575607114844128
2020-04-16 22:54:24	OPTIMIZATION:	181	0.043052370410048973
2020-04-16 22:54:24	OPTIMIZATION:	182	0.019744864019305548
2020-04-16 22:54:24	OPTIMIZATION:	183	0.02900857935813438
2020-04-16 22:54:24	OPTIMIZATION:	184	0.02059789293980396
2020-04-16 22:54:24	OPTIMIZATION:	185	0.014377896873238878
2020-04-16 22:54:24	OPTIMIZATION:	186	0.014183212428911025
2020-04-16 22:54:24	OPTIMIZATION:	187	0.014177606223880843
2020-04-16 22:54:24	OPTIMIZATION:	188	0.01642368141269548
2020-04-16 22:54:24	OPTIMIZATION:	189	0.013820755571121243
2020-04-16 22:54:24	OPTIMIZATION:	190	0.018717199074853995
2020-04-16 22:54:24	OPTIMIZATION:	191	0.01460796948126624
2020-04-16 22:54:24	OPTIMIZATION:	192	0.01398362253309373
2020-04-16 22:54:24	OPTIMIZATION:	193	0.012100663640451953
2020-04-16 22:54:24	OPTIMIZATION:	194	0.017025920167359068
2020-04-16 22:54:24	OPTIMIZATION:	195	0.01589608972277105
2020-04-16 22:54:24	OPTIMIZATION:	196	0.013973124209935232
2020-04-16 22:54:24	OPTIMIZATION:	197	0.014814466053299492
2020-04-16 22:54:24	OPTIMIZATION:	198	0.010432716898611262
2020-04-16 22:54:24	OPTIMIZATION:	199	0.016418530995299958
2020-04-16 22:54:25	OPTIMIZATION:	200	0.01633694071473604
2020-04-16 22:54:25	OPTIMIZATION:	201	0.02130531752719668
2020-04-16 22:54:25	OPTIMIZATION:	202	0.01564581006439385
2020-04-16 22:54:25	OPTIMIZATION:	203	0.03187177725056179
2020-04-16 22:54:25	OPTIMIZATION:	204	0.014613721092147546
2020-04-16 22:54:25	OPTIMIZATION:	205	0.008831829521772808
2020-04-16 22:54:25	OPTIMIZATION:	206	0.01864587595496886
2020-04-16 22:54:25	OPTIMIZATION:	207	0.011092167930006435
2020-04-16 22:54:25	OPTIMIZATION:	208	0.01368804623970339
2020-04-16 22:54:25	OPTIMIZATION:	209	0.02326709939408955
2020-04-16 22:54:25	OPTIMIZATION:	210	0.010441359312875915
2020-04-16 22:54:25	OPTIMIZATION:	211	0.018752003453406524
2020-04-16 22:54:25	OPTIMIZATION:	212	0.022041947572031772
2020-04-16 22:54:25	OPTIMIZATION:	213	0.016848489877089028
2020-04-16 22:54:25	OPTIMIZATION:	214	0.013687645227134558
2020-04-16 22:54:25	OPTIMIZATION:	215	0.015478575779649863
2020-04-16 22:54:25	OPTIMIZATION:	216	0.007738971757886616
2020-04-16 22:54:25	OPTIMIZATION:	217	0.007226981730689237
2020-04-16 22:54:25	OPTIMIZATION:	218	0.004222659719355572
2020-04-16 22:54:25	OPTIMIZATION:	219	0.009438547586834553
2020-04-16 22:54:25	OPTIMIZATION:	220	0.01362628381327524
2020-04-16 22:54:25	OPTIMIZATION:	221	0.0137206703615398
2020-04-16 22:54:26	OPTIMIZATION:	222	0.015598500485817148
2020-04-16 22:54:26	OPTIMIZATION:	223	0.00765373464456672
2020-04-16 22:54:26	OPTIMIZATION:	224	0.007699972589031352
2020-04-16 22:54:26	OPTIMIZATION:	225	0.0075147954308603165
2020-04-16 22:54:26	OPTIMIZATION:	226	0.007300334872322304
2020-04-16 22:54:26	OPTIMIZATION:	227	0.006973034514439982
2020-04-16 22:54:26	OPTIMIZATION:	228	0.007604751776966089
2020-04-16 22:54:26	OPTIMIZATION:	229	0.007503907464066861
2020-04-16 22:54:26	OPTIMIZATION:	230	0.006958103107411334
2020-04-16 22:54:26	OPTIMIZATION:	231	0.007984779105579331
2020-04-16 22:54:26	OPTIMIZATION:	232	0.007488662013033301
