2020-04-15 07:42:47	INFO:   	Number-of-Epochs	Global-Error
2020-04-15 07:42:47	OPTIMIZATION:	1	0.20980113212033633
2020-04-15 07:42:47	OPTIMIZATION:	2	0.20595327646397557
2020-04-15 07:42:47	OPTIMIZATION:	3	0.20390920900914403
2020-04-15 07:42:47	OPTIMIZATION:	4	0.2018844061548728
2020-04-15 07:42:47	OPTIMIZATION:	5	0.1997990368810977
2020-04-15 07:42:47	OPTIMIZATION:	6	0.19745689899249896
2020-04-15 07:42:47	OPTIMIZATION:	7	0.1944075147716525
2020-04-15 07:42:47	OPTIMIZATION:	8	0.18971146845084028
2020-04-15 07:42:47	OPTIMIZATION:	9	0.18180181563909117
2020-04-15 07:42:47	OPTIMIZATION:	10	0.1699439906169244
2020-04-15 07:42:48	OPTIMIZATION:	11	0.15803518246793308
2020-04-15 07:42:48	OPTIMIZATION:	12	0.15075111554226164
2020-04-15 07:42:48	OPTIMIZATION:	13	0.14702705957890633
2020-04-15 07:42:48	OPTIMIZATION:	14	0.1446695695058251
2020-04-15 07:42:48	OPTIMIZATION:	15	0.1427742835290397
2020-04-15 07:42:48	OPTIMIZATION:	16	0.14102860466392553
2020-04-15 07:42:48	OPTIMIZATION:	17	0.1392535497264099
2020-04-15 07:42:48	OPTIMIZATION:	18	0.13727013440109054
2020-04-15 07:42:48	OPTIMIZATION:	19	0.13487436626229052
2020-04-15 07:42:48	OPTIMIZATION:	20	0.13188319057483808
2020-04-15 07:42:48	OPTIMIZATION:	21	0.12826299193859259
2020-04-15 07:42:48	OPTIMIZATION:	22	0.12424553009495035
2020-04-15 07:42:48	OPTIMIZATION:	23	0.12023936800919773
2020-04-15 07:42:48	OPTIMIZATION:	24	0.11658552081336154
2020-04-15 07:42:48	OPTIMIZATION:	25	0.11342889835900945
2020-04-15 07:42:48	OPTIMIZATION:	26	0.11076295094320368
2020-04-15 07:42:48	OPTIMIZATION:	27	0.10851706171237083
2020-04-15 07:42:48	OPTIMIZATION:	28	0.1066112099760133
2020-04-15 07:42:48	OPTIMIZATION:	29	0.10497696412765678
2020-04-15 07:42:48	OPTIMIZATION:	30	0.10356119993157874
2020-04-15 07:42:48	OPTIMIZATION:	31	0.10232381055692227
2020-04-15 07:42:48	OPTIMIZATION:	32	0.10123437792755725
2020-04-15 07:42:48	OPTIMIZATION:	33	0.10026938821578804
2020-04-15 07:42:49	OPTIMIZATION:	34	0.09941024436609906
2020-04-15 07:42:49	OPTIMIZATION:	35	0.09864192702784512
2020-04-15 07:42:49	OPTIMIZATION:	36	0.09795209865127594
2020-04-15 07:42:49	OPTIMIZATION:	37	0.09733049078127967
2020-04-15 07:42:49	OPTIMIZATION:	38	0.09676847033837901
2020-04-15 07:42:49	OPTIMIZATION:	39	0.09625872149099272
2020-04-15 07:42:49	OPTIMIZATION:	40	0.09579500493892072
2020-04-15 07:42:49	OPTIMIZATION:	41	0.09537197109969175
