2020-04-15 05:45:09	INFO:   	Number-of-Epochs	Global-Error
2020-04-15 05:45:09	OPTIMIZATION:	1	0.2826567192582145
2020-04-15 05:45:10	OPTIMIZATION:	2	0.2773992715021277
2020-04-15 05:45:10	OPTIMIZATION:	3	0.27350480519616127
2020-04-15 05:45:10	OPTIMIZATION:	4	0.27046893730282195
2020-04-15 05:45:10	OPTIMIZATION:	5	0.267742714843959
2020-04-15 05:45:10	OPTIMIZATION:	6	0.26425318220003063
2020-04-15 05:45:10	OPTIMIZATION:	7	0.25643828399333596
2020-04-15 05:45:10	OPTIMIZATION:	8	0.22921982280949027
2020-04-15 05:45:10	OPTIMIZATION:	9	0.14774723212985313
2020-04-15 05:45:10	OPTIMIZATION:	10	0.07174114824791418
2020-04-15 05:45:10	OPTIMIZATION:	11	0.05062613880666985
2020-04-15 05:45:10	OPTIMIZATION:	12	0.0450534182447175
2020-04-15 05:45:10	OPTIMIZATION:	13	0.042945033538468874
2020-04-15 05:45:10	OPTIMIZATION:	14	0.04193559927308882
2020-04-15 05:45:10	OPTIMIZATION:	15	0.04137686612916438
2020-04-15 05:45:10	OPTIMIZATION:	16	0.04103614176758215
2020-04-15 05:45:10	OPTIMIZATION:	17	0.040813290595446486
2020-04-15 05:45:10	OPTIMIZATION:	18	0.040659413677031596
2020-04-15 05:45:10	OPTIMIZATION:	19	0.0405482797716093
2020-04-15 05:45:10	OPTIMIZATION:	20	0.04046473212900128
2020-04-15 05:45:10	OPTIMIZATION:	21	0.04039944437449476
2020-04-15 05:45:10	OPTIMIZATION:	22	0.04034633460781791
2020-04-15 05:45:10	OPTIMIZATION:	23	0.04030119448898312
2020-04-15 05:45:10	OPTIMIZATION:	24	0.04026091356140824
2020-04-15 05:45:10	OPTIMIZATION:	25	0.04022301171611336
2020-04-15 05:45:10	OPTIMIZATION:	26	0.04018533858589259
2020-04-15 05:45:10	OPTIMIZATION:	27	0.04014586781488963
