2020-04-15 07:52:21	INFO:   	Number-of-Epochs	Global-Error
2020-04-15 07:52:21	OPTIMIZATION:	1	0.20905421199270707
2020-04-15 07:52:21	OPTIMIZATION:	2	0.2054534089029368
2020-04-15 07:52:21	OPTIMIZATION:	3	0.20388304885496505
2020-04-15 07:52:21	OPTIMIZATION:	4	0.20248311164077323
2020-04-15 07:52:21	OPTIMIZATION:	5	0.20125372419400833
2020-04-15 07:52:21	OPTIMIZATION:	6	0.20018758765035816
2020-04-15 07:52:21	OPTIMIZATION:	7	0.19927220838635734
2020-04-15 07:52:21	OPTIMIZATION:	8	0.19849214930654951
2020-04-15 07:52:21	OPTIMIZATION:	9	0.1978309042113823
2020-04-15 07:52:22	OPTIMIZATION:	10	0.19727222750340034
2020-04-15 07:52:22	OPTIMIZATION:	11	0.1968009559667765
2020-04-15 07:52:22	OPTIMIZATION:	12	0.19640344385549974
2020-04-15 07:52:22	OPTIMIZATION:	13	0.19606773303910904
2020-04-15 07:52:22	OPTIMIZATION:	14	0.1957835523836791
2020-04-15 07:52:22	OPTIMIZATION:	15	0.1955422137109687
2020-04-15 07:52:22	OPTIMIZATION:	16	0.195336451851447
2020-04-15 07:52:22	OPTIMIZATION:	17	0.19516024180394112
2020-04-15 07:52:22	OPTIMIZATION:	18	0.1950086148410777
2020-04-15 07:52:22	OPTIMIZATION:	19	0.19487748672985428
2020-04-15 07:52:22	OPTIMIZATION:	20	0.19476350482403307
2020-04-15 07:52:22	OPTIMIZATION:	21	0.19466391640217923
2020-04-15 07:52:22	OPTIMIZATION:	22	0.19457645791112216
2020-04-15 07:52:22	OPTIMIZATION:	23	0.19449926329909645
2020-04-15 07:52:23	OPTIMIZATION:	24	0.19443078898125943
2020-04-15 07:52:23	OPTIMIZATION:	25	0.1943697528487013
2020-04-15 07:52:23	OPTIMIZATION:	26	0.1943150848793435
2020-04-15 07:52:23	OPTIMIZATION:	27	0.19426588718477167
2020-04-15 07:52:23	OPTIMIZATION:	28	0.1942214016409392
2020-04-15 07:52:23	OPTIMIZATION:	29	0.1941809835533814
2020-04-15 07:52:23	OPTIMIZATION:	30	0.19414408007505712
2020-04-15 07:52:23	OPTIMIZATION:	31	0.19411021231768283
2020-04-15 07:52:23	OPTIMIZATION:	32	0.19407896027335383
2020-04-15 07:52:23	OPTIMIZATION:	33	0.19404994979328244
2020-04-15 07:52:23	OPTIMIZATION:	34	0.1940228409555625
2020-04-15 07:52:23	OPTIMIZATION:	35	0.19399731719309132
2020-04-15 07:52:23	OPTIMIZATION:	36	0.19397307454139862
2020-04-15 07:52:23	OPTIMIZATION:	37	0.19394981029347405
2020-04-15 07:52:24	OPTIMIZATION:	38	0.1939272101946008
2020-04-15 07:52:24	OPTIMIZATION:	39	0.19390493303943715
2020-04-15 07:52:24	OPTIMIZATION:	40	0.19388259108565903
2020-04-15 07:52:24	OPTIMIZATION:	41	0.19385972396962747
2020-04-15 07:52:24	OPTIMIZATION:	42	0.19383576261922814
2020-04-15 07:52:24	OPTIMIZATION:	43	0.19380997768635244
2020-04-15 07:52:24	OPTIMIZATION:	44	0.19378140368058747
2020-04-15 07:52:24	OPTIMIZATION:	45	0.19374872417312777
2020-04-15 07:52:24	OPTIMIZATION:	46	0.19371009300283457
2020-04-15 07:52:24	OPTIMIZATION:	47	0.19366284698398406
2020-04-15 07:52:24	OPTIMIZATION:	48	0.19360302790846654
2020-04-15 07:52:24	OPTIMIZATION:	49	0.19352455493571544
2020-04-15 07:52:24	OPTIMIZATION:	50	0.19341772379414404
2020-04-15 07:52:24	OPTIMIZATION:	51	0.1932663330553451
2020-04-15 07:52:25	OPTIMIZATION:	52	0.19304181492336364
2020-04-15 07:52:25	OPTIMIZATION:	53	0.19269029234654558
2020-04-15 07:52:25	OPTIMIZATION:	54	0.1921013404201584
2020-04-15 07:52:25	OPTIMIZATION:	55	0.19102462868839018
2020-04-15 07:52:25	OPTIMIZATION:	56	0.1888278412971129
2020-04-15 07:52:25	OPTIMIZATION:	57	0.18383687248049252
2020-04-15 07:52:25	OPTIMIZATION:	58	0.17287142668561792
2020-04-15 07:52:25	OPTIMIZATION:	59	0.15752122899135218
2020-04-15 07:52:25	OPTIMIZATION:	60	0.14755241751073042
2020-04-15 07:52:25	OPTIMIZATION:	61	0.14302797830583447
2020-04-15 07:52:25	OPTIMIZATION:	62	0.14056165192032616
2020-04-15 07:52:25	OPTIMIZATION:	63	0.1389182462247706
2020-04-15 07:52:25	OPTIMIZATION:	64	0.13752492172941116
2020-04-15 07:52:25	OPTIMIZATION:	65	0.13558045872703572
2020-04-15 07:52:26	OPTIMIZATION:	66	0.12899811524128307
2020-04-15 07:52:26	OPTIMIZATION:	67	0.11173604136601878
2020-04-15 07:52:26	OPTIMIZATION:	68	0.10020218278831544
2020-04-15 07:52:26	OPTIMIZATION:	69	0.09591338887567037
2020-04-15 07:52:26	OPTIMIZATION:	70	0.09390839048855887
2020-04-15 07:52:26	OPTIMIZATION:	71	0.09273965405654296
2020-04-15 07:52:26	OPTIMIZATION:	72	0.09196163088378181
2020-04-15 07:52:26	OPTIMIZATION:	73	0.09140045328742888
2020-04-15 07:52:26	OPTIMIZATION:	74	0.09097466819747842
2020-04-15 07:52:26	OPTIMIZATION:	75	0.09064024157535959
2020-04-15 07:52:26	OPTIMIZATION:	76	0.0903708040417696
2020-04-15 07:52:26	OPTIMIZATION:	77	0.09014939058055416
2020-04-15 07:52:26	OPTIMIZATION:	78	0.08996450238827829
2020-04-15 07:52:26	OPTIMIZATION:	79	0.08980803240622526
2020-04-15 07:52:27	OPTIMIZATION:	80	0.08967408667401261
2020-04-15 07:52:27	OPTIMIZATION:	81	0.08955827354839842
2020-04-15 07:52:27	OPTIMIZATION:	82	0.08945725398294697
2020-04-15 07:52:27	OPTIMIZATION:	83	0.08936844565568747
2020-04-15 07:52:27	OPTIMIZATION:	84	0.08928982199736571
2020-04-15 07:52:27	OPTIMIZATION:	85	0.08921977203292195
2020-04-15 07:52:27	OPTIMIZATION:	86	0.0891570004515654
2020-04-15 07:52:27	OPTIMIZATION:	87	0.08910045500687465
2020-04-15 07:52:27	OPTIMIZATION:	88	0.08904927290711932
2020-04-15 07:52:27	OPTIMIZATION:	89	0.08900274065809047
2020-04-15 07:52:27	OPTIMIZATION:	90	0.08896026359677252
2020-04-15 07:52:27	OPTIMIZATION:	91	0.08892134250999674
2020-04-15 07:52:27	OPTIMIZATION:	92	0.08888555550170972
2020-04-15 07:52:27	OPTIMIZATION:	93	0.08885254379501864
2020-04-15 07:52:28	OPTIMIZATION:	94	0.08882200051621722
2020-04-15 07:52:28	OPTIMIZATION:	95	0.08879366176132825
2020-04-15 07:52:28	OPTIMIZATION:	96	0.08876729942591836
2020-04-15 07:52:28	OPTIMIZATION:	97	0.08874271540876029
2020-04-15 07:52:28	OPTIMIZATION:	98	0.08871973689450141
2020-04-15 07:52:28	OPTIMIZATION:	99	0.08869821249013538
2020-04-15 07:52:28	OPTIMIZATION:	100	0.08867800904183824
2020-04-15 07:52:28	OPTIMIZATION:	101	0.0886590089975681
2020-04-15 07:52:28	OPTIMIZATION:	102	0.08864110821019842
2020-04-15 07:52:28	OPTIMIZATION:	103	0.08862421409835972
2020-04-15 07:52:28	OPTIMIZATION:	104	0.08860824409936612
2020-04-15 07:52:28	OPTIMIZATION:	105	0.08859312436191995
2020-04-15 07:52:28	OPTIMIZATION:	106	0.08857878863665002
2020-04-15 07:52:28	OPTIMIZATION:	107	0.08856517733066725
2020-04-15 07:52:29	OPTIMIZATION:	108	0.08855223669872822
2020-04-15 07:52:29	OPTIMIZATION:	109	0.08853991814867468
2020-04-15 07:52:29	OPTIMIZATION:	110	0.08852817764287156
2020-04-15 07:52:29	OPTIMIZATION:	111	0.08851697518061082
2020-04-15 07:52:29	OPTIMIZATION:	112	0.08850627434906481
2020-04-15 07:52:29	OPTIMIZATION:	113	0.08849604193249087
2020-04-15 07:52:29	OPTIMIZATION:	114	0.08848624757110823
2020-04-15 07:52:29	OPTIMIZATION:	115	0.08847686346247775
2020-04-15 07:52:29	OPTIMIZATION:	116	0.08846786409936433
2020-04-15 07:52:29	OPTIMIZATION:	117	0.08845922603901459
2020-04-15 07:52:29	OPTIMIZATION:	118	0.08845092769956672
2020-04-15 07:52:29	OPTIMIZATION:	119	0.08844294917995937
2020-04-15 07:52:29	OPTIMIZATION:	120	0.08843527210025127
2020-04-15 07:52:29	OPTIMIZATION:	121	0.08842787945971584
2020-04-15 07:52:30	OPTIMIZATION:	122	0.08842075551045411
2020-04-15 07:52:30	OPTIMIZATION:	123	0.08841388564459181
2020-04-15 07:52:30	OPTIMIZATION:	124	0.08840725629339363
2020-04-15 07:52:30	OPTIMIZATION:	125	0.08840085483685779
2020-04-15 07:52:30	OPTIMIZATION:	126	0.08839466952254767
2020-04-15 07:52:30	OPTIMIZATION:	127	0.08838868939258263
2020-04-15 07:52:30	OPTIMIZATION:	128	0.08838290421784917
2020-04-15 07:52:30	OPTIMIZATION:	129	0.08837730443861826
2020-04-15 07:52:30	OPTIMIZATION:	130	0.08837188111085346
2020-04-15 07:52:30	OPTIMIZATION:	131	0.08836662585758663
2020-04-15 07:52:30	OPTIMIZATION:	132	0.0883615308248135
2020-04-15 07:52:30	OPTIMIZATION:	133	0.08835658864142923
2020-04-15 07:52:30	OPTIMIZATION:	134	0.08835179238277735
2020-04-15 07:52:30	OPTIMIZATION:	135	0.08834713553744246
2020-04-15 07:52:31	OPTIMIZATION:	136	0.08834261197695252
2020-04-15 07:52:31	OPTIMIZATION:	137	0.08833821592810048
2020-04-15 07:52:31	OPTIMIZATION:	138	0.08833394194762469
2020-04-15 07:52:31	OPTIMIZATION:	139	0.08832978489901816
2020-04-15 07:52:31	OPTIMIZATION:	140	0.08832573993126076
2020-04-15 07:52:31	OPTIMIZATION:	141	0.0883218024592915
2020-04-15 07:52:31	OPTIMIZATION:	142	0.08831796814605751
2020-04-15 07:52:31	OPTIMIZATION:	143	0.08831423288599378
2020-04-15 07:52:31	OPTIMIZATION:	144	0.08831059278980234
2020-04-15 07:52:31	OPTIMIZATION:	145	0.08830704417041361
2020-04-15 07:52:31	OPTIMIZATION:	146	0.08830358353002453
2020-04-15 07:52:31	OPTIMIZATION:	147	0.08830020754811826
2020-04-15 07:52:31	OPTIMIZATION:	148	0.08829691307038065
2020-04-15 07:52:31	OPTIMIZATION:	149	0.08829369709843503
2020-04-15 07:52:32	OPTIMIZATION:	150	0.088290556780328
2020-04-15 07:52:32	OPTIMIZATION:	151	0.08828748940170018
2020-04-15 07:52:32	OPTIMIZATION:	152	0.08828449237758787
2020-04-15 07:52:32	OPTIMIZATION:	153	0.08828156324480223
