2020-04-21 02:26:12	INFO:   	Number-of-Epochs	Global-Error
2020-04-21 02:26:13	OPTIMIZATION:	1	0.1794505070992825
2020-04-21 02:26:13	OPTIMIZATION:	2	0.17811978550461208
2020-04-21 02:26:13	OPTIMIZATION:	3	0.1775154950325627
2020-04-21 02:26:13	OPTIMIZATION:	4	0.1770233474064383
2020-04-21 02:26:13	OPTIMIZATION:	5	0.17662832475777052
2020-04-21 02:26:13	OPTIMIZATION:	6	0.17631340272410362
2020-04-21 02:26:13	OPTIMIZATION:	7	0.17606252402043537
2020-04-21 02:26:14	OPTIMIZATION:	8	0.17586191253028668
2020-04-21 02:26:14	OPTIMIZATION:	9	0.17570038275484232
2020-04-21 02:26:14	OPTIMIZATION:	10	0.17556914242653857
2020-04-21 02:26:14	OPTIMIZATION:	11	0.1754614025528591
2020-04-21 02:26:14	OPTIMIZATION:	12	0.17537196208336572
2020-04-21 02:26:14	OPTIMIZATION:	13	0.17529683972006252
2020-04-21 02:26:14	OPTIMIZATION:	14	0.17523297399554374
2020-04-21 02:26:14	OPTIMIZATION:	15	0.17517798907539261
2020-04-21 02:26:15	OPTIMIZATION:	16	0.1751300150698303
2020-04-21 02:26:15	OPTIMIZATION:	17	0.17508754996427298
2020-04-21 02:26:15	OPTIMIZATION:	18	0.17504935129348712
2020-04-21 02:26:15	OPTIMIZATION:	19	0.17501434731623755
2020-04-21 02:26:15	OPTIMIZATION:	20	0.17498155877577665
2020-04-21 02:26:15	OPTIMIZATION:	21	0.17495002293744935
2020-04-21 02:26:15	OPTIMIZATION:	22	0.17491871119241287
2020-04-21 02:26:16	OPTIMIZATION:	23	0.1748864297139584
2020-04-21 02:26:16	OPTIMIZATION:	24	0.1748516887078383
2020-04-21 02:26:16	OPTIMIZATION:	25	0.1748125182074244
2020-04-21 02:26:16	OPTIMIZATION:	26	0.17476619398138762
2020-04-21 02:26:16	OPTIMIZATION:	27	0.17470880906925593
2020-04-21 02:26:16	OPTIMIZATION:	28	0.1746345689359971
2020-04-21 02:26:16	OPTIMIZATION:	29	0.17453456282695232
2020-04-21 02:26:17	OPTIMIZATION:	30	0.1743944709976587
