2020-04-17 08:32:56	INFO:   	Number-of-Epochs	Global-Error
2020-04-17 08:32:56	OPTIMIZATION:	1	0.25413596302987834
2020-04-17 08:32:56	OPTIMIZATION:	2	0.2500253271213232
2020-04-17 08:32:56	OPTIMIZATION:	3	0.2480565817099595
2020-04-17 08:32:57	OPTIMIZATION:	4	0.24690119254391332
2020-04-17 08:32:57	OPTIMIZATION:	5	0.2461791266536025
2020-04-17 08:32:57	OPTIMIZATION:	6	0.24570070874378283
2020-04-17 08:32:57	OPTIMIZATION:	7	0.24536756817471597
2020-04-17 08:32:57	OPTIMIZATION:	8	0.24512581627274796
2020-04-17 08:32:57	OPTIMIZATION:	9	0.24494428247526498
2020-04-17 08:32:57	OPTIMIZATION:	10	0.2448040255020458
2020-04-17 08:32:57	OPTIMIZATION:	11	0.24469302444169913
2020-04-17 08:32:57	OPTIMIZATION:	12	0.24460335476493064
2020-04-17 08:32:57	OPTIMIZATION:	13	0.24452961466028647
2020-04-17 08:32:58	OPTIMIZATION:	14	0.2444680101959836
2020-04-17 08:32:58	OPTIMIZATION:	15	0.24441580271622862
2020-04-17 08:32:58	OPTIMIZATION:	16	0.24437096315681126
2020-04-17 08:32:58	OPTIMIZATION:	17	0.2443319485770161
2020-04-17 08:32:58	OPTIMIZATION:	18	0.2442975529089013
2020-04-17 08:32:58	OPTIMIZATION:	19	0.2442668036770016
2020-04-17 08:32:58	OPTIMIZATION:	20	0.2442388873734053
2020-04-17 08:32:58	OPTIMIZATION:	21	0.2442130923221192
2020-04-17 08:32:58	OPTIMIZATION:	22	0.24418876128898495
2020-04-17 08:32:59	OPTIMIZATION:	23	0.24416524783909843
2020-04-17 08:32:59	OPTIMIZATION:	24	0.24414187101064347
2020-04-17 08:32:59	OPTIMIZATION:	25	0.24411786240719938
2020-04-17 08:32:59	OPTIMIZATION:	26	0.2440922981523266
2020-04-17 08:32:59	OPTIMIZATION:	27	0.2440640047651161
2020-04-17 08:32:59	OPTIMIZATION:	28	0.24403142173936454
2020-04-17 08:32:59	OPTIMIZATION:	29	0.24399239205766998
2020-04-17 08:32:59	OPTIMIZATION:	30	0.2439438300818788
2020-04-17 08:32:59	OPTIMIZATION:	31	0.24388117346274973
2020-04-17 08:32:59	OPTIMIZATION:	32	0.24379743721996883
2020-04-17 08:33:00	OPTIMIZATION:	33	0.24368149356761648
2020-04-17 08:33:00	OPTIMIZATION:	34	0.24351474079118599
2020-04-17 08:33:00	OPTIMIZATION:	35	0.2432641358485628
2020-04-17 08:33:00	OPTIMIZATION:	36	0.24286614711134472
2020-04-17 08:33:00	OPTIMIZATION:	37	0.24218492735934824
2020-04-17 08:33:00	OPTIMIZATION:	38	0.24088378630084606
2020-04-17 08:33:00	OPTIMIZATION:	39	0.23792811608119824
2020-04-17 08:33:00	OPTIMIZATION:	40	0.2288850808683974
2020-04-17 08:33:00	OPTIMIZATION:	41	0.18760386317117406
2020-04-17 08:33:00	OPTIMIZATION:	42	0.10569081063923753
2020-04-17 08:33:01	OPTIMIZATION:	43	0.03897013198565064
2020-04-17 08:33:01	OPTIMIZATION:	44	0.012842497052827787
2020-04-17 08:33:01	OPTIMIZATION:	45	0.006255091688520487
2020-04-17 08:33:01	OPTIMIZATION:	46	0.004136996064904026
2020-04-17 08:33:01	OPTIMIZATION:	47	0.001746560789448043
2020-04-17 08:33:01	SUCCEED:	FINISHED-AFTER:	47
