2020-04-17 08:32:53	INFO:   	Number-of-Epochs	Global-Error
2020-04-17 08:32:53	OPTIMIZATION:	1	0.26131079189209677
2020-04-17 08:32:53	OPTIMIZATION:	2	0.25347991254503566
2020-04-17 08:32:53	OPTIMIZATION:	3	0.2498400010335973
2020-04-17 08:32:53	OPTIMIZATION:	4	0.24789628333558336
2020-04-17 08:32:53	OPTIMIZATION:	5	0.2467719316886777
2020-04-17 08:32:54	OPTIMIZATION:	6	0.2460730400974146
2020-04-17 08:32:54	OPTIMIZATION:	7	0.24561146943250622
2020-04-17 08:32:54	OPTIMIZATION:	8	0.24529095549222305
2020-04-17 08:32:54	OPTIMIZATION:	9	0.24505895482620146
2020-04-17 08:32:54	OPTIMIZATION:	10	0.24488508118006524
2020-04-17 08:32:54	OPTIMIZATION:	11	0.24475084076655898
2020-04-17 08:32:54	OPTIMIZATION:	12	0.24464444499787322
2020-04-17 08:32:54	OPTIMIZATION:	13	0.24455801974565616
2020-04-17 08:32:54	OPTIMIZATION:	14	0.24448596741499826
2020-04-17 08:32:55	OPTIMIZATION:	15	0.24442381730476562
2020-04-17 08:32:55	OPTIMIZATION:	16	0.24436704068834803
2020-04-17 08:32:55	OPTIMIZATION:	17	0.24430898637913123
2020-04-17 08:32:55	OPTIMIZATION:	18	0.24423556624800014
2020-04-17 08:32:55	OPTIMIZATION:	19	0.24410796989043523
2020-04-17 08:32:55	OPTIMIZATION:	20	0.24379334652251375
2020-04-17 08:32:55	OPTIMIZATION:	21	0.24268630953802797
2020-04-17 08:32:55	OPTIMIZATION:	22	0.2358586397770718
2020-04-17 08:32:55	OPTIMIZATION:	23	0.16783096917424825
2020-04-17 08:32:55	OPTIMIZATION:	24	0.0803534693775447
2020-04-17 08:32:56	OPTIMIZATION:	25	0.027931765186343844
2020-04-17 08:32:56	OPTIMIZATION:	26	0.011539568768861476
2020-04-17 08:32:56	OPTIMIZATION:	27	0.006067130148274982
2020-04-17 08:32:56	OPTIMIZATION:	28	0.004730065137689367
2020-04-17 08:32:56	OPTIMIZATION:	29	0.0023639559965691775
2020-04-17 08:32:56	SUCCEED:	FINISHED-AFTER:	29
