2020-04-17 08:33:01	INFO:   	Number-of-Epochs	Global-Error
2020-04-17 08:33:01	OPTIMIZATION:	1	0.27116285594849915
2020-04-17 08:33:01	OPTIMIZATION:	2	0.25985321125757593
2020-04-17 08:33:01	OPTIMIZATION:	3	0.2535614847977084
2020-04-17 08:33:02	OPTIMIZATION:	4	0.2501471583603411
2020-04-17 08:33:02	OPTIMIZATION:	5	0.2482234118975549
2020-04-17 08:33:02	OPTIMIZATION:	6	0.24707147352303563
2020-04-17 08:33:02	OPTIMIZATION:	7	0.24633678953918506
2020-04-17 08:33:02	OPTIMIZATION:	8	0.2458399421721773
2020-04-17 08:33:02	OPTIMIZATION:	9	0.24548419333959318
2020-04-17 08:33:02	OPTIMIZATION:	10	0.2452103288427174
2020-04-17 08:33:02	OPTIMIZATION:	11	0.24496711804235158
2020-04-17 08:33:02	OPTIMIZATION:	12	0.24466359171620913
2020-04-17 08:33:03	OPTIMIZATION:	13	0.24396834916592422
2020-04-17 08:33:03	OPTIMIZATION:	14	0.24059327267459216
2020-04-17 08:33:03	OPTIMIZATION:	15	0.19840970152350376
2020-04-17 08:33:03	OPTIMIZATION:	16	0.09104400026129894
2020-04-17 08:33:03	OPTIMIZATION:	17	0.03276449432038378
2020-04-17 08:33:03	OPTIMIZATION:	18	0.012436076268450105
2020-04-17 08:33:03	OPTIMIZATION:	19	0.006061557825448789
2020-04-17 08:33:03	OPTIMIZATION:	20	0.0042445909330528974
2020-04-17 08:33:03	OPTIMIZATION:	21	0.0021308634082139763
2020-04-17 08:33:03	SUCCEED:	FINISHED-AFTER:	21
