2020-04-18 09:59:14	INFO:   	Number-of-Epochs	Global-Error
2020-04-18 09:59:14	OPTIMIZATION:	1	0.18317442354477584
2020-04-18 09:59:15	OPTIMIZATION:	2	0.18084714294323717
2020-04-18 09:59:15	OPTIMIZATION:	3	0.17928826707624115
2020-04-18 09:59:15	OPTIMIZATION:	4	0.17795023004296237
2020-04-18 09:59:15	OPTIMIZATION:	5	0.1767919157922086
2020-04-18 09:59:15	OPTIMIZATION:	6	0.17575107366128737
2020-04-18 09:59:15	OPTIMIZATION:	7	0.1747387005477694
2020-04-18 09:59:15	OPTIMIZATION:	8	0.17358115968321458
2020-04-18 09:59:15	OPTIMIZATION:	9	0.17181771434164844
2020-04-18 09:59:15	OPTIMIZATION:	10	0.16778972847681958
2020-04-18 09:59:16	OPTIMIZATION:	11	0.15176487971470384
2020-04-18 09:59:16	OPTIMIZATION:	12	0.08371156586306448
2020-04-18 09:59:16	OPTIMIZATION:	13	0.037562435008216995
2020-04-18 09:59:16	OPTIMIZATION:	14	0.03203609735691706
2020-04-18 09:59:16	OPTIMIZATION:	15	0.03098070949099774
2020-04-18 09:59:16	OPTIMIZATION:	16	0.030930545773536107
2020-04-18 09:59:16	OPTIMIZATION:	17	0.028364695220924094
2020-04-18 09:59:16	OPTIMIZATION:	18	0.029441254355697204
2020-04-18 09:59:16	OPTIMIZATION:	19	0.033027607996657084
2020-04-18 09:59:17	OPTIMIZATION:	20	0.019773659082064177
2020-04-18 09:59:17	OPTIMIZATION:	21	0.005171692697750527
2020-04-18 09:59:17	OPTIMIZATION:	22	0.0042037080190259705
2020-04-18 09:59:17	OPTIMIZATION:	23	0.004061084470571456
2020-04-18 09:59:17	OPTIMIZATION:	24	0.0039864959112725145
2020-04-18 09:59:17	OPTIMIZATION:	25	0.003942880195036633
2020-04-18 09:59:17	OPTIMIZATION:	26	0.003920000649852862
2020-04-18 09:59:17	OPTIMIZATION:	27	0.0039149854962152375
2020-04-18 09:59:18	OPTIMIZATION:	28	0.00392614894836242
2020-04-18 09:59:18	OPTIMIZATION:	29	0.003949052668883181
2020-04-18 09:59:18	OPTIMIZATION:	30	0.003973782624428252
2020-04-18 09:59:18	OPTIMIZATION:	31	0.003986801574645999
2020-04-18 09:59:18	OPTIMIZATION:	32	0.003982102003847855
2020-04-18 09:59:18	OPTIMIZATION:	33	0.003966113519288905
2020-04-18 09:59:18	OPTIMIZATION:	34	0.003950151023680513
2020-04-18 09:59:18	OPTIMIZATION:	35	0.003940191775106866
2020-04-18 09:59:18	OPTIMIZATION:	36	0.003935442084192647
2020-04-18 09:59:19	OPTIMIZATION:	37	0.003932615612067737
2020-04-18 09:59:19	OPTIMIZATION:	38	0.003928838195181357
2020-04-18 09:59:19	OPTIMIZATION:	39	0.003923177467597195
2020-04-18 09:59:19	OPTIMIZATION:	40	0.003916526274785272
2020-04-18 09:59:19	OPTIMIZATION:	41	0.003910188041082101
2020-04-18 09:59:19	OPTIMIZATION:	42	0.003904780273916782
2020-04-18 09:59:19	OPTIMIZATION:	43	0.0039003087161421602
2020-04-18 09:59:19	OPTIMIZATION:	44	0.0038966070125106343
2020-04-18 09:59:19	OPTIMIZATION:	45	0.003893506498649081
2020-04-18 09:59:20	OPTIMIZATION:	46	0.003890852975403759
2020-04-18 09:59:20	OPTIMIZATION:	47	0.003888520469379128
2020-04-18 09:59:20	OPTIMIZATION:	48	0.003886422978400227
2020-04-18 09:59:20	OPTIMIZATION:	49	0.003884512685817499
2020-04-18 09:59:20	OPTIMIZATION:	50	0.0038827684737754893
2020-04-18 09:59:20	OPTIMIZATION:	51	0.003881182244196266
2020-04-18 09:59:20	OPTIMIZATION:	52	0.0038797486059355766
2020-04-18 09:59:20	OPTIMIZATION:	53	0.0038784588092119934
2020-04-18 09:59:20	OPTIMIZATION:	54	0.0038772985344511035
2020-04-18 09:59:21	OPTIMIZATION:	55	0.00387624896725278
2020-04-18 09:59:21	OPTIMIZATION:	56	0.003875290317073676
2020-04-18 09:59:21	OPTIMIZATION:	57	0.003874405909849758
2020-04-18 09:59:21	OPTIMIZATION:	58	0.0038735850542746184
2020-04-18 09:59:21	OPTIMIZATION:	59	0.0038728234268489803
2020-04-18 09:59:21	OPTIMIZATION:	60	0.0038721213439600467
2020-04-18 09:59:21	OPTIMIZATION:	61	0.0038714807071330857
2020-04-18 09:59:21	OPTIMIZATION:	62	0.003870902798586303
2020-04-18 09:59:22	OPTIMIZATION:	63	0.0038703875105786036
2020-04-18 09:59:22	OPTIMIZATION:	64	0.003869935750677635
2020-04-18 09:59:22	OPTIMIZATION:	65	0.003869551543894948
2020-04-18 09:59:22	OPTIMIZATION:	66	0.003869245333267515
2020-04-18 09:59:22	OPTIMIZATION:	67	0.003869030665205009
2020-04-18 09:59:22	OPTIMIZATION:	68	0.0038689239616471393
2020-04-18 09:59:22	OPTIMIZATION:	69	0.0038689351747551812
2020-04-18 09:59:22	OPTIMIZATION:	70	0.0038690730384317406
2020-04-18 09:59:22	OPTIMIZATION:	71	0.003869337082341446
2020-04-18 09:59:23	OPTIMIZATION:	72	0.0038697250133557883
2020-04-18 09:59:23	OPTIMIZATION:	73	0.0038702181141746362
2020-04-18 09:59:23	OPTIMIZATION:	74	0.0038707750697387533
2020-04-18 09:59:23	OPTIMIZATION:	75	0.003871338786402311
2020-04-18 09:59:23	OPTIMIZATION:	76	0.0038718573167952288
2020-04-18 09:59:23	OPTIMIZATION:	77	0.0038723004542535176
2020-04-18 09:59:23	OPTIMIZATION:	78	0.0038726521776405684
2020-04-18 09:59:23	OPTIMIZATION:	79	0.003872906550194233
2020-04-18 09:59:23	OPTIMIZATION:	80	0.003873139216001258
2020-04-18 09:59:24	OPTIMIZATION:	81	0.003873480173846831
2020-04-18 09:59:24	OPTIMIZATION:	82	0.003873363037456383
2020-04-18 09:59:24	OPTIMIZATION:	83	0.003873251327121254
2020-04-18 09:59:24	OPTIMIZATION:	84	0.003877001697365958
2020-04-18 09:59:24	OPTIMIZATION:	85	0.003862536835328296
2020-04-18 09:59:24	OPTIMIZATION:	86	0.004359955035834002
2020-04-18 09:59:24	OPTIMIZATION:	87	0.00803810752016864
2020-04-18 09:59:24	OPTIMIZATION:	88	0.04296748254575605
2020-04-18 09:59:24	OPTIMIZATION:	89	0.004036185144367134
2020-04-18 09:59:25	OPTIMIZATION:	90	0.003791836361601009
2020-04-18 09:59:25	OPTIMIZATION:	91	0.00376100722127477
2020-04-18 09:59:25	OPTIMIZATION:	92	0.0037415258043866926
2020-04-18 09:59:25	OPTIMIZATION:	93	0.003719089171669659
2020-04-18 09:59:25	OPTIMIZATION:	94	0.003693140845901275
2020-04-18 09:59:25	OPTIMIZATION:	95	0.003667426179697917
2020-04-18 09:59:25	OPTIMIZATION:	96	0.003661943509997275
2020-04-18 09:59:25	OPTIMIZATION:	97	0.0038521517189427073
2020-04-18 09:59:26	OPTIMIZATION:	98	0.004069274327533091
2020-04-18 09:59:26	OPTIMIZATION:	99	0.0036193029517070435
2020-04-18 09:59:26	OPTIMIZATION:	100	0.014691260322008223
2020-04-18 09:59:26	OPTIMIZATION:	101	0.029393035708301395
2020-04-18 09:59:26	OPTIMIZATION:	102	0.03460664124266483
2020-04-18 09:59:26	OPTIMIZATION:	103	0.03442035524229726
2020-04-18 09:59:26	OPTIMIZATION:	104	0.025727764936287555
2020-04-18 09:59:26	OPTIMIZATION:	105	0.003809570709584127
2020-04-18 09:59:26	OPTIMIZATION:	106	0.0037688834230559954
2020-04-18 09:59:27	OPTIMIZATION:	107	0.003755462106280821
2020-04-18 09:59:27	OPTIMIZATION:	108	0.0037413287421823424
2020-04-18 09:59:27	OPTIMIZATION:	109	0.0037255276943595214
2020-04-18 09:59:27	OPTIMIZATION:	110	0.0037076083725835892
2020-04-18 09:59:27	OPTIMIZATION:	111	0.0036870214494572214
2020-04-18 09:59:27	OPTIMIZATION:	112	0.0036628880014262536
2020-04-18 09:59:27	OPTIMIZATION:	113	0.003634555374365163
2020-04-18 09:59:27	OPTIMIZATION:	114	0.003603277349770188
2020-04-18 09:59:27	OPTIMIZATION:	115	0.0035777825505143314
2020-04-18 09:59:28	OPTIMIZATION:	116	0.0036023865228864698
2020-04-18 09:59:28	OPTIMIZATION:	117	0.01233770768184319
2020-04-18 09:59:28	OPTIMIZATION:	118	0.0044922606785377
2020-04-18 09:59:28	OPTIMIZATION:	119	0.0039229947176727354
2020-04-18 09:59:28	OPTIMIZATION:	120	0.0036991917246908448
2020-04-18 09:59:28	OPTIMIZATION:	121	0.0036413767399327565
2020-04-18 09:59:28	OPTIMIZATION:	122	0.0035940040440294073
2020-04-18 09:59:28	OPTIMIZATION:	123	0.0035359388921658735
2020-04-18 09:59:29	OPTIMIZATION:	124	0.0034944740154188767
2020-04-18 09:59:29	OPTIMIZATION:	125	0.0034789206408161657
2020-04-18 09:59:29	OPTIMIZATION:	126	0.003504055381433174
2020-04-18 09:59:29	OPTIMIZATION:	127	0.0037952779295517807
2020-04-18 09:59:29	OPTIMIZATION:	128	0.0034678498985692414
2020-04-18 09:59:29	OPTIMIZATION:	129	0.0033694761399957235
2020-04-18 09:59:29	OPTIMIZATION:	130	0.003439566155413507
2020-04-18 09:59:29	OPTIMIZATION:	131	0.004033968846101409
2020-04-18 09:59:29	OPTIMIZATION:	132	0.013620037583649875
2020-04-18 09:59:30	OPTIMIZATION:	133	0.005374236483384933
2020-04-18 09:59:30	OPTIMIZATION:	134	0.0050884251769439
2020-04-18 09:59:30	OPTIMIZATION:	135	0.002233647784120216
2020-04-18 09:59:30	SUCCEED:	FINISHED-AFTER:	135
