2020-04-17 08:33:19	INFO:   	Number-of-Epochs	Global-Error
2020-04-17 08:33:19	OPTIMIZATION:	1	0.18654492443546175
2020-04-17 08:33:19	OPTIMIZATION:	2	0.1840136706086588
2020-04-17 08:33:19	OPTIMIZATION:	3	0.18265976647033488
2020-04-17 08:33:19	OPTIMIZATION:	4	0.18147214629863315
2020-04-17 08:33:19	OPTIMIZATION:	5	0.18044865456086537
2020-04-17 08:33:19	OPTIMIZATION:	6	0.17957295202921641
2020-04-17 08:33:19	OPTIMIZATION:	7	0.17882185032966347
2020-04-17 08:33:20	OPTIMIZATION:	8	0.1781706595530336
2020-04-17 08:33:20	OPTIMIZATION:	9	0.17759514422185585
2020-04-17 08:33:20	OPTIMIZATION:	10	0.17707003166181015
2020-04-17 08:33:20	OPTIMIZATION:	11	0.1765640758506787
2020-04-17 08:33:20	OPTIMIZATION:	12	0.17602994858650856
2020-04-17 08:33:20	OPTIMIZATION:	13	0.17538201730786007
2020-04-17 08:33:20	OPTIMIZATION:	14	0.17443857173980729
2020-04-17 08:33:20	OPTIMIZATION:	15	0.17273972208313515
2020-04-17 08:33:20	OPTIMIZATION:	16	0.16881338284846936
2020-04-17 08:33:20	OPTIMIZATION:	17	0.15610382818805726
2020-04-17 08:33:20	OPTIMIZATION:	18	0.1056309310460418
2020-04-17 08:33:20	OPTIMIZATION:	19	0.043145770421136154
2020-04-17 08:33:21	OPTIMIZATION:	20	0.030505211075633507
2020-04-17 08:33:21	OPTIMIZATION:	21	0.028244780241384482
2020-04-17 08:33:21	OPTIMIZATION:	22	0.02789350931426011
2020-04-17 08:33:21	OPTIMIZATION:	23	0.028116092416750407
2020-04-17 08:33:21	OPTIMIZATION:	24	0.028077174019011344
2020-04-17 08:33:21	OPTIMIZATION:	25	0.028298058040704368
2020-04-17 08:33:21	OPTIMIZATION:	26	0.028354481575356572
2020-04-17 08:33:21	OPTIMIZATION:	27	0.02866526024976356
2020-04-17 08:33:21	OPTIMIZATION:	28	0.02723244526041853
2020-04-17 08:33:21	OPTIMIZATION:	29	0.027148072881071666
2020-04-17 08:33:21	OPTIMIZATION:	30	0.027557882366552752
2020-04-17 08:33:22	OPTIMIZATION:	31	0.02735217455690699
2020-04-17 08:33:22	OPTIMIZATION:	32	0.02679771299757025
2020-04-17 08:33:22	OPTIMIZATION:	33	0.02654944920487685
2020-04-17 08:33:22	OPTIMIZATION:	34	0.02623334509346438
2020-04-17 08:33:22	OPTIMIZATION:	35	0.0259682925391724
2020-04-17 08:33:22	OPTIMIZATION:	36	0.026041693745422048
2020-04-17 08:33:22	OPTIMIZATION:	37	0.026430506029303583
2020-04-17 08:33:22	OPTIMIZATION:	38	0.026942896913322373
2020-04-17 08:33:22	OPTIMIZATION:	39	0.027561847812041494
2020-04-17 08:33:22	OPTIMIZATION:	40	0.028248178685114225
2020-04-17 08:33:22	OPTIMIZATION:	41	0.028466876013585673
2020-04-17 08:33:23	OPTIMIZATION:	42	0.027819295579289267
2020-04-17 08:33:23	OPTIMIZATION:	43	0.026500680362326307
2020-04-17 08:33:23	OPTIMIZATION:	44	0.02477053434913649
2020-04-17 08:33:23	OPTIMIZATION:	45	0.02495702174190346
2020-04-17 08:33:23	OPTIMIZATION:	46	0.026082583453922475
2020-04-17 08:33:23	OPTIMIZATION:	47	0.028229455526752892
2020-04-17 08:33:23	OPTIMIZATION:	48	0.031106310527710814
2020-04-17 08:33:23	OPTIMIZATION:	49	0.02430421710199714
2020-04-17 08:33:23	OPTIMIZATION:	50	0.02273726931326167
2020-04-17 08:33:23	OPTIMIZATION:	51	0.023351737378414315
2020-04-17 08:33:23	OPTIMIZATION:	52	0.021948945796178728
2020-04-17 08:33:23	OPTIMIZATION:	53	0.021027481583332494
2020-04-17 08:33:24	OPTIMIZATION:	54	0.02566621485560629
2020-04-17 08:33:24	OPTIMIZATION:	55	0.018081571214609442
2020-04-17 08:33:24	OPTIMIZATION:	56	0.016203390992536395
2020-04-17 08:33:24	OPTIMIZATION:	57	0.02319751296015271
2020-04-17 08:33:24	OPTIMIZATION:	58	0.020552499961632466
2020-04-17 08:33:24	OPTIMIZATION:	59	0.02313580809664501
2020-04-17 08:33:24	OPTIMIZATION:	60	0.020748656490750486
2020-04-17 08:33:24	OPTIMIZATION:	61	0.02003738654552224
2020-04-17 08:33:24	OPTIMIZATION:	62	0.022965139208138346
2020-04-17 08:33:24	OPTIMIZATION:	63	0.021798496310557372
2020-04-17 08:33:24	OPTIMIZATION:	64	0.018841259325367888
2020-04-17 08:33:25	OPTIMIZATION:	65	0.017297615110919623
2020-04-17 08:33:25	OPTIMIZATION:	66	0.01624759444767631
2020-04-17 08:33:25	OPTIMIZATION:	67	0.01610657607215513
2020-04-17 08:33:25	OPTIMIZATION:	68	0.016537977924978336
2020-04-17 08:33:25	OPTIMIZATION:	69	0.015760862660651753
2020-04-17 08:33:25	OPTIMIZATION:	70	0.01558808801798644
2020-04-17 08:33:25	OPTIMIZATION:	71	0.015451865271217148
2020-04-17 08:33:25	OPTIMIZATION:	72	0.015135547928061101
2020-04-17 08:33:25	OPTIMIZATION:	73	0.014985720366049692
2020-04-17 08:33:25	OPTIMIZATION:	74	0.014898942536418524
2020-04-17 08:33:25	OPTIMIZATION:	75	0.014820678268095744
2020-04-17 08:33:26	OPTIMIZATION:	76	0.014743677679873654
2020-04-17 08:33:26	OPTIMIZATION:	77	0.01467339877225794
2020-04-17 08:33:26	OPTIMIZATION:	78	0.014639778301587044
2020-04-17 08:33:26	OPTIMIZATION:	79	0.014687351149232418
2020-04-17 08:33:26	OPTIMIZATION:	80	0.014462973467183603
2020-04-17 08:33:26	OPTIMIZATION:	81	0.014364166330214105
2020-04-17 08:33:26	OPTIMIZATION:	82	0.014279462881433162
2020-04-17 08:33:26	OPTIMIZATION:	83	0.014197762485765196
2020-04-17 08:33:26	OPTIMIZATION:	84	0.014512854786985765
2020-04-17 08:33:26	OPTIMIZATION:	85	0.02501194125279627
2020-04-17 08:33:26	OPTIMIZATION:	86	0.026506693086037716
2020-04-17 08:33:26	OPTIMIZATION:	87	0.018372105411915206
2020-04-17 08:33:27	OPTIMIZATION:	88	0.018898034305254663
2020-04-17 08:33:27	OPTIMIZATION:	89	0.01806636093605597
2020-04-17 08:33:27	OPTIMIZATION:	90	0.01720601147619663
2020-04-17 08:33:27	OPTIMIZATION:	91	0.01616953152525482
2020-04-17 08:33:27	OPTIMIZATION:	92	0.016023081613851634
2020-04-17 08:33:27	OPTIMIZATION:	93	0.016068982304221945
2020-04-17 08:33:27	OPTIMIZATION:	94	0.015634167481572005
2020-04-17 08:33:27	OPTIMIZATION:	95	0.015156946839967126
2020-04-17 08:33:27	OPTIMIZATION:	96	0.014830903774241141
2020-04-17 08:33:27	OPTIMIZATION:	97	0.014710941617346372
2020-04-17 08:33:27	OPTIMIZATION:	98	0.014626689412558907
2020-04-17 08:33:28	OPTIMIZATION:	99	0.01454923256804609
2020-04-17 08:33:28	OPTIMIZATION:	100	0.014482870645795518
2020-04-17 08:33:28	OPTIMIZATION:	101	0.014449994149798895
2020-04-17 08:33:28	OPTIMIZATION:	102	0.014402343364014115
2020-04-17 08:33:28	OPTIMIZATION:	103	0.014256823300724584
2020-04-17 08:33:28	OPTIMIZATION:	104	0.014227822189014985
2020-04-17 08:33:28	OPTIMIZATION:	105	0.014067279067356607
2020-04-17 08:33:28	OPTIMIZATION:	106	0.013956432299242856
2020-04-17 08:33:28	OPTIMIZATION:	107	0.013845133657207126
2020-04-17 08:33:28	OPTIMIZATION:	108	0.013693173106063015
2020-04-17 08:33:28	OPTIMIZATION:	109	0.013924879557718912
2020-04-17 08:33:29	OPTIMIZATION:	110	0.01798180628857479
2020-04-17 08:33:29	OPTIMIZATION:	111	0.013814840775660598
2020-04-17 08:33:29	OPTIMIZATION:	112	0.013424642337793821
2020-04-17 08:33:29	OPTIMIZATION:	113	0.012936963076913605
2020-04-17 08:33:29	OPTIMIZATION:	114	0.016597947996318398
2020-04-17 08:33:29	OPTIMIZATION:	115	0.021141403696860142
2020-04-17 08:33:29	OPTIMIZATION:	116	0.033212191035720776
2020-04-17 08:33:29	OPTIMIZATION:	117	0.018749872062698156
2020-04-17 08:33:29	OPTIMIZATION:	118	0.022580323322606233
2020-04-17 08:33:29	OPTIMIZATION:	119	0.02024825749607906
2020-04-17 08:33:29	OPTIMIZATION:	120	0.019967775131843796
2020-04-17 08:33:29	OPTIMIZATION:	121	0.01677578896838728
2020-04-17 08:33:30	OPTIMIZATION:	122	0.019971660414977208
2020-04-17 08:33:30	OPTIMIZATION:	123	0.01991335634144414
2020-04-17 08:33:30	OPTIMIZATION:	124	0.019700747723345898
2020-04-17 08:33:30	OPTIMIZATION:	125	0.018071978082746527
2020-04-17 08:33:30	OPTIMIZATION:	126	0.018957585390105492
2020-04-17 08:33:30	OPTIMIZATION:	127	0.0184337019589671
2020-04-17 08:33:30	OPTIMIZATION:	128	0.018109355049260954
2020-04-17 08:33:30	OPTIMIZATION:	129	0.01598926518157744
2020-04-17 08:33:30	OPTIMIZATION:	130	0.015243442064661964
2020-04-17 08:33:30	OPTIMIZATION:	131	0.014407610962992529
2020-04-17 08:33:30	OPTIMIZATION:	132	0.014321033193792606
2020-04-17 08:33:31	OPTIMIZATION:	133	0.014443813659297014
2020-04-17 08:33:31	OPTIMIZATION:	134	0.014215685949042642
2020-04-17 08:33:31	OPTIMIZATION:	135	0.01384743331206278
2020-04-17 08:33:31	OPTIMIZATION:	136	0.014699475583100793
2020-04-17 08:33:31	OPTIMIZATION:	137	0.014703973380600739
2020-04-17 08:33:31	OPTIMIZATION:	138	0.019897285681083118
2020-04-17 08:33:31	OPTIMIZATION:	139	0.019493175759671695
2020-04-17 08:33:31	OPTIMIZATION:	140	0.014589994296340114
2020-04-17 08:33:31	OPTIMIZATION:	141	0.014138401918839014
2020-04-17 08:33:31	OPTIMIZATION:	142	0.013603105625790035
2020-04-17 08:33:31	OPTIMIZATION:	143	0.012988687778972214
2020-04-17 08:33:32	OPTIMIZATION:	144	0.012602887985614585
2020-04-17 08:33:32	OPTIMIZATION:	145	0.013716360104511853
2020-04-17 08:33:32	OPTIMIZATION:	146	0.011609681527718517
2020-04-17 08:33:32	OPTIMIZATION:	147	0.020285605621741816
2020-04-17 08:33:32	OPTIMIZATION:	148	0.016878426113992085
2020-04-17 08:33:32	OPTIMIZATION:	149	0.0213130619353577
2020-04-17 08:33:32	OPTIMIZATION:	150	0.019481063056431106
2020-04-17 08:33:32	OPTIMIZATION:	151	0.018235401343245562
2020-04-17 08:33:32	OPTIMIZATION:	152	0.02073001128391819
2020-04-17 08:33:32	OPTIMIZATION:	153	0.018253969179868105
2020-04-17 08:33:32	OPTIMIZATION:	154	0.015964106578538292
2020-04-17 08:33:32	OPTIMIZATION:	155	0.014514269227183537
2020-04-17 08:33:33	OPTIMIZATION:	156	0.015161232473608151
2020-04-17 08:33:33	OPTIMIZATION:	157	0.016482350107773405
2020-04-17 08:33:33	OPTIMIZATION:	158	0.016724122138621275
2020-04-17 08:33:33	OPTIMIZATION:	159	0.015436338634146474
2020-04-17 08:33:33	OPTIMIZATION:	160	0.014014576210617725
2020-04-17 08:33:33	OPTIMIZATION:	161	0.013986892212943074
2020-04-17 08:33:33	OPTIMIZATION:	162	0.012690624100276661
2020-04-17 08:33:33	OPTIMIZATION:	163	0.011733401324988034
2020-04-17 08:33:33	OPTIMIZATION:	164	0.011146155919807313
2020-04-17 08:33:33	OPTIMIZATION:	165	0.016915410917386273
2020-04-17 08:33:33	OPTIMIZATION:	166	0.01657631166679754
2020-04-17 08:33:34	OPTIMIZATION:	167	0.018333414017805184
2020-04-17 08:33:34	OPTIMIZATION:	168	0.01963924607253574
2020-04-17 08:33:34	OPTIMIZATION:	169	0.01802871978328587
2020-04-17 08:33:34	OPTIMIZATION:	170	0.01287932304880713
2020-04-17 08:33:34	OPTIMIZATION:	171	0.010876073295465217
2020-04-17 08:33:34	OPTIMIZATION:	172	0.010400206771870838
2020-04-17 08:33:34	OPTIMIZATION:	173	0.010284278581435808
2020-04-17 08:33:34	OPTIMIZATION:	174	0.010222265478125611
2020-04-17 08:33:34	OPTIMIZATION:	175	0.010193431536388365
2020-04-17 08:33:34	OPTIMIZATION:	176	0.010175618055692769
2020-04-17 08:33:34	OPTIMIZATION:	177	0.0101634763332518
2020-04-17 08:33:35	OPTIMIZATION:	178	0.0101546637924883
2020-04-17 08:33:35	OPTIMIZATION:	179	0.010147971289338075
2020-04-17 08:33:35	OPTIMIZATION:	180	0.010142703527727247
2020-04-17 08:33:35	OPTIMIZATION:	181	0.010138430124328851
2020-04-17 08:33:35	OPTIMIZATION:	182	0.010134869872974116
2020-04-17 08:33:35	OPTIMIZATION:	183	0.010131831475378819
2020-04-17 08:33:35	OPTIMIZATION:	184	0.010129180916309214
2020-04-17 08:33:35	OPTIMIZATION:	185	0.010126822380807386
2020-04-17 08:33:35	OPTIMIZATION:	186	0.010124686453239785
2020-04-17 08:33:35	OPTIMIZATION:	187	0.01012272243512906
2020-04-17 08:33:35	OPTIMIZATION:	188	0.010120893118388909
2020-04-17 08:33:36	OPTIMIZATION:	189	0.010119171106360915
2020-04-17 08:33:36	OPTIMIZATION:	190	0.010117536164873374
2020-04-17 08:33:36	OPTIMIZATION:	191	0.010115973290629916
2020-04-17 08:33:36	OPTIMIZATION:	192	0.010114471295483513
2020-04-17 08:33:36	OPTIMIZATION:	193	0.010113021768709454
2020-04-17 08:33:36	OPTIMIZATION:	194	0.010111618318453672
2020-04-17 08:33:36	OPTIMIZATION:	195	0.010110256019527563
2020-04-17 08:33:36	OPTIMIZATION:	196	0.010108931013205003
2020-04-17 08:33:36	OPTIMIZATION:	197	0.010107640218386142
2020-04-17 08:33:36	OPTIMIZATION:	198	0.010106381123860125
2020-04-17 08:33:36	OPTIMIZATION:	199	0.010105151639271299
2020-04-17 08:33:36	OPTIMIZATION:	200	0.010103949988344317
2020-04-17 08:33:37	OPTIMIZATION:	201	0.010102774632383892
2020-04-17 08:33:37	OPTIMIZATION:	202	0.010101624215376526
2020-04-17 08:33:37	OPTIMIZATION:	203	0.010100497524457132
2020-04-17 08:33:37	OPTIMIZATION:	204	0.01009939346127922
2020-04-17 08:33:37	OPTIMIZATION:	205	0.010098311021112343
2020-04-17 08:33:37	OPTIMIZATION:	206	0.0100972492774142
2020-04-17 08:33:37	OPTIMIZATION:	207	0.010096207370285094
2020-04-17 08:33:37	OPTIMIZATION:	208	0.010095184497682038
2020-04-17 08:33:37	OPTIMIZATION:	209	0.01009417990860241
2020-04-17 08:33:37	OPTIMIZATION:	210	0.010093192897682087
2020-04-17 08:33:37	OPTIMIZATION:	211	0.010092222800817995
2020-04-17 08:33:38	OPTIMIZATION:	212	0.010091268991541176
2020-04-17 08:33:38	OPTIMIZATION:	213	0.010090330877947562
2020-04-17 08:33:38	OPTIMIZATION:	214	0.01008940790005058
2020-04-17 08:33:38	OPTIMIZATION:	215	0.010088499527459164
2020-04-17 08:33:38	OPTIMIZATION:	216	0.010087605257312596
2020-04-17 08:33:38	OPTIMIZATION:	217	0.010086724612422618
2020-04-17 08:33:38	OPTIMIZATION:	218	0.010085857139586974
2020-04-17 08:33:38	OPTIMIZATION:	219	0.010085002408047631
2020-04-17 08:33:38	OPTIMIZATION:	220	0.010084160008073797
2020-04-17 08:33:38	OPTIMIZATION:	221	0.010083329549654121
2020-04-17 08:33:38	OPTIMIZATION:	222	0.010082510661286079
2020-04-17 08:33:39	OPTIMIZATION:	223	0.010081702988852645
2020-04-17 08:33:39	OPTIMIZATION:	224	0.010080906194578122
2020-04-17 08:33:39	OPTIMIZATION:	225	0.010080119956056238
2020-04-17 08:33:39	OPTIMIZATION:	226	0.01007934396534457
2020-04-17 08:33:39	OPTIMIZATION:	227	0.01007857792812006
2020-04-17 08:33:39	OPTIMIZATION:	228	0.01007782156289094
2020-04-17 08:33:39	OPTIMIZATION:	229	0.010077074600260845
2020-04-17 08:33:39	OPTIMIZATION:	230	0.010076336782241362
2020-04-17 08:33:39	OPTIMIZATION:	231	0.010075607861609423
2020-04-17 08:33:39	OPTIMIZATION:	232	0.010074887601306431
2020-04-17 08:33:39	OPTIMIZATION:	233	0.010074175773876102
