2020-04-22 17:57:05	INFO:   	Number-of-Epochs	Global-Error
2020-04-22 17:57:05	OPTIMIZATION:	1	0.27278208513084273
2020-04-22 17:57:05	OPTIMIZATION:	2	0.2662516639455533
2020-04-22 17:57:05	OPTIMIZATION:	3	0.26448923232438587
2020-04-22 17:57:06	OPTIMIZATION:	4	0.26377299562643225
2020-04-22 17:57:06	OPTIMIZATION:	5	0.2634040421559529
2020-04-22 17:57:06	OPTIMIZATION:	6	0.26318495479787335
2020-04-22 17:57:06	OPTIMIZATION:	7	0.2630421192203158
2020-04-22 17:57:06	OPTIMIZATION:	8	0.2629426675345226
2020-04-22 17:57:07	OPTIMIZATION:	9	0.2628699692039519
2020-04-22 17:57:07	OPTIMIZATION:	10	0.2628148006383076
2020-04-22 17:57:07	OPTIMIZATION:	11	0.2627716741170191
2020-04-22 17:57:07	OPTIMIZATION:	12	0.26273713810977517
2020-04-22 17:57:07	OPTIMIZATION:	13	0.2627089213033756
2020-04-22 17:57:08	OPTIMIZATION:	14	0.2626854713309405
2020-04-22 17:57:08	OPTIMIZATION:	15	0.2626656918684031
2020-04-22 17:57:08	OPTIMIZATION:	16	0.2626487854355245
2020-04-22 17:57:08	OPTIMIZATION:	17	0.2626341552792622
2020-04-22 17:57:08	OPTIMIZATION:	18	0.2626213415442637
2020-04-22 17:57:09	OPTIMIZATION:	19	0.2626099778547543
2020-04-22 17:57:09	OPTIMIZATION:	20	0.2625997601298889
2020-04-22 17:57:09	OPTIMIZATION:	21	0.2625904225059263
2020-04-22 17:57:09	OPTIMIZATION:	22	0.2625817168626627
2020-04-22 17:57:09	OPTIMIZATION:	23	0.2625733932364133
2020-04-22 17:57:10	OPTIMIZATION:	24	0.2625651786162327
2020-04-22 17:57:10	OPTIMIZATION:	25	0.26255675134249
2020-04-22 17:57:10	OPTIMIZATION:	26	0.2625477074813674
2020-04-22 17:57:10	OPTIMIZATION:	27	0.2625375138631703
2020-04-22 17:57:11	OPTIMIZATION:	28	0.2625254393332736
2020-04-22 17:57:11	OPTIMIZATION:	29	0.26251044986070565
2020-04-22 17:57:11	OPTIMIZATION:	30	0.26249104162919284
2020-04-22 17:57:11	OPTIMIZATION:	31	0.2624649626439552
2020-04-22 17:57:11	OPTIMIZATION:	32	0.26242872231221515
2020-04-22 17:57:12	OPTIMIZATION:	33	0.26237667053714836
2020-04-22 17:57:12	OPTIMIZATION:	34	0.26229913383034226
2020-04-22 17:57:12	OPTIMIZATION:	35	0.26217828947001226
2020-04-22 17:57:12	OPTIMIZATION:	36	0.2619779646227627
2020-04-22 17:57:12	OPTIMIZATION:	37	0.261614560827419
2020-04-22 17:57:13	OPTIMIZATION:	38	0.26085696920982854
2020-04-22 17:57:13	OPTIMIZATION:	39	0.25888512557457394
2020-04-22 17:57:13	OPTIMIZATION:	40	0.2516886158316992
2020-04-22 17:57:13	OPTIMIZATION:	41	0.22315064244534755
2020-04-22 17:57:13	OPTIMIZATION:	42	0.1886170917757244
2020-04-22 17:57:14	OPTIMIZATION:	43	0.16969621967401347
2020-04-22 17:57:14	OPTIMIZATION:	44	0.16192500552768344
2020-04-22 17:57:14	OPTIMIZATION:	45	0.15864670540795944
2020-04-22 17:57:14	OPTIMIZATION:	46	0.15679994975493874
2020-04-22 17:57:15	OPTIMIZATION:	47	0.1555532760853541
2020-04-22 17:57:15	OPTIMIZATION:	48	0.15462393596967225
2020-04-22 17:57:15	OPTIMIZATION:	49	0.1538943471730204
2020-04-22 17:57:15	OPTIMIZATION:	50	0.15330686562990667
2020-04-22 17:57:15	OPTIMIZATION:	51	0.15282770739972032
2020-04-22 17:57:16	OPTIMIZATION:	52	0.15243339437055334
2020-04-22 17:57:16	OPTIMIZATION:	53	0.15210563637324778
2020-04-22 17:57:16	OPTIMIZATION:	54	0.1518294558913564
2020-04-22 17:57:16	OPTIMIZATION:	55	0.1515924502679824
2020-04-22 17:57:16	OPTIMIZATION:	56	0.15138436998925983
2020-04-22 17:57:17	OPTIMIZATION:	57	0.15119676258458412
2020-04-22 17:57:17	OPTIMIZATION:	58	0.151022656004671
2020-04-22 17:57:17	OPTIMIZATION:	59	0.15085631860061163
2020-04-22 17:57:17	OPTIMIZATION:	60	0.15069313667091105
2020-04-22 17:57:17	OPTIMIZATION:	61	0.15052963437583966
2020-04-22 17:57:18	OPTIMIZATION:	62	0.15036362684558188
2020-04-22 17:57:18	OPTIMIZATION:	63	0.150194436656145
2020-04-22 17:57:18	OPTIMIZATION:	64	0.15002302581922874
2020-04-22 17:57:18	OPTIMIZATION:	65	0.14985185356977532
2020-04-22 17:57:19	OPTIMIZATION:	66	0.14968434508861714
2020-04-22 17:57:19	OPTIMIZATION:	67	0.14952406222007825
2020-04-22 17:57:19	OPTIMIZATION:	68	0.149373870843547
2020-04-22 17:57:19	OPTIMIZATION:	69	0.1492354162392661
2020-04-22 17:57:19	OPTIMIZATION:	70	0.1491090272605129
2020-04-22 17:57:20	OPTIMIZATION:	71	0.14899394658156936
2020-04-22 17:57:20	OPTIMIZATION:	72	0.14888868934090266
2020-04-22 17:57:20	OPTIMIZATION:	73	0.14879137194866998
2020-04-22 17:57:20	OPTIMIZATION:	74	0.14869993946267046
2020-04-22 17:57:20	OPTIMIZATION:	75	0.14861228579869354
2020-04-22 17:57:21	OPTIMIZATION:	76	0.14852629022755706
2020-04-22 17:57:21	OPTIMIZATION:	77	0.1484397982892313
2020-04-22 17:57:21	OPTIMIZATION:	78	0.14835057075312563
2020-04-22 17:57:21	OPTIMIZATION:	79	0.148256220427787
2020-04-22 17:57:21	OPTIMIZATION:	80	0.14815415880330884
2020-04-22 17:57:22	OPTIMIZATION:	81	0.14804158623439104
2020-04-22 17:57:22	OPTIMIZATION:	82	0.14791558299972818
2020-04-22 17:57:22	OPTIMIZATION:	83	0.14777339074487192
2020-04-22 17:57:22	OPTIMIZATION:	84	0.14761299178505422
2020-04-22 17:57:23	OPTIMIZATION:	85	0.14743403511652828
2020-04-22 17:57:23	OPTIMIZATION:	86	0.1472389302472464
2020-04-22 17:57:23	OPTIMIZATION:	87	0.1470335376120067
2020-04-22 17:57:23	OPTIMIZATION:	88	0.14682666261768262
2020-04-22 17:57:23	OPTIMIZATION:	89	0.1466280700478809
2020-04-22 17:57:24	OPTIMIZATION:	90	0.14644588810486697
2020-04-22 17:57:24	OPTIMIZATION:	91	0.14628487359698875
2020-04-22 17:57:24	OPTIMIZATION:	92	0.14614626706245445
2020-04-22 17:57:24	OPTIMIZATION:	93	0.14602878045970008
2020-04-22 17:57:24	OPTIMIZATION:	94	0.145929835539642
2020-04-22 17:57:25	OPTIMIZATION:	95	0.14584650077690112
2020-04-22 17:57:25	OPTIMIZATION:	96	0.14577601445220364
2020-04-22 17:57:25	OPTIMIZATION:	97	0.14571599860882584
