2020-04-22 17:06:21	INFO:   	Number-of-Epochs	Global-Error
2020-04-22 17:06:21	OPTIMIZATION:	1	0.2070620089096462
2020-04-22 17:06:21	OPTIMIZATION:	2	0.19976938315504264
2020-04-22 17:06:22	OPTIMIZATION:	3	0.18841066779823482
2020-04-22 17:06:22	OPTIMIZATION:	4	0.16019123228459206
2020-04-22 17:06:22	OPTIMIZATION:	5	0.145399764418099
2020-04-22 17:06:22	OPTIMIZATION:	6	0.14116095316873842
2020-04-22 17:06:22	OPTIMIZATION:	7	0.1390201255876238
2020-04-22 17:06:22	OPTIMIZATION:	8	0.13777218640242786
2020-04-22 17:06:22	OPTIMIZATION:	9	0.13696497777718167
2020-04-22 17:06:23	OPTIMIZATION:	10	0.13639821320757517
2020-04-22 17:06:23	OPTIMIZATION:	11	0.1359731964163533
2020-04-22 17:06:23	OPTIMIZATION:	12	0.1356357634950773
2020-04-22 17:06:23	OPTIMIZATION:	13	0.13535310383481067
2020-04-22 17:06:23	OPTIMIZATION:	14	0.1351032726518924
2020-04-22 17:06:23	OPTIMIZATION:	15	0.1348698726498571
2020-04-22 17:06:23	OPTIMIZATION:	16	0.13463900203197687
2020-04-22 17:06:23	OPTIMIZATION:	17	0.1343972483501392
2020-04-22 17:06:24	OPTIMIZATION:	18	0.13413022989824588
2020-04-22 17:06:24	OPTIMIZATION:	19	0.13382164304218205
2020-04-22 17:06:24	OPTIMIZATION:	20	0.13345326535813343
2020-04-22 17:06:24	OPTIMIZATION:	21	0.13300691141347162
2020-04-22 17:06:24	OPTIMIZATION:	22	0.13246929815591366
2020-04-22 17:06:24	OPTIMIZATION:	23	0.13183863925166237
2020-04-22 17:06:24	OPTIMIZATION:	24	0.13112781567843165
2020-04-22 17:06:25	OPTIMIZATION:	25	0.13035955955709166
2020-04-22 17:06:25	OPTIMIZATION:	26	0.12955763534933498
2020-04-22 17:06:25	OPTIMIZATION:	27	0.12874171581927915
2020-04-22 17:06:25	OPTIMIZATION:	28	0.12792690706018148
2020-04-22 17:06:25	OPTIMIZATION:	29	0.12712470859966518
2020-04-22 17:06:25	OPTIMIZATION:	30	0.12634381693085603
2020-04-22 17:06:25	OPTIMIZATION:	31	0.12559069469111275
2020-04-22 17:06:26	OPTIMIZATION:	32	0.12487000134693077
2020-04-22 17:06:26	OPTIMIZATION:	33	0.12418490378127851
2020-04-22 17:06:26	OPTIMIZATION:	34	0.12353728905727591
