2020-04-24 10:08:35	INFO:   	Number-of-Epochs	Global-Error
2020-04-24 10:08:35	OPTIMIZATION:	1	0.13714474551701336
2020-04-24 10:08:35	OPTIMIZATION:	2	0.13542331110381348
2020-04-24 10:08:35	OPTIMIZATION:	3	0.13489995826757334
2020-04-24 10:08:35	OPTIMIZATION:	4	0.13446676555505827
2020-04-24 10:08:36	OPTIMIZATION:	5	0.13411173995003275
2020-04-24 10:08:36	OPTIMIZATION:	6	0.1338222603252702
2020-04-24 10:08:36	OPTIMIZATION:	7	0.1335865030514856
2020-04-24 10:08:36	OPTIMIZATION:	8	0.13339367527951998
2020-04-24 10:08:36	OPTIMIZATION:	9	0.1332339359832363
2020-04-24 10:08:36	OPTIMIZATION:	10	0.13309814898090552
2020-04-24 10:08:36	OPTIMIZATION:	11	0.13297722904744097
2020-04-24 10:08:37	OPTIMIZATION:	12	0.13286050203682384
2020-04-24 10:08:37	OPTIMIZATION:	13	0.132731655896663
2020-04-24 10:08:37	OPTIMIZATION:	14	0.1325580295114901
2020-04-24 10:08:37	OPTIMIZATION:	15	0.1322575214172881
2020-04-24 10:08:37	OPTIMIZATION:	16	0.1315648165115039
2020-04-24 10:08:37	OPTIMIZATION:	17	0.1291420944671702
2020-04-24 10:08:37	OPTIMIZATION:	18	0.10786507242735364
2020-04-24 10:08:38	OPTIMIZATION:	19	0.04756594393324864
2020-04-24 10:08:38	OPTIMIZATION:	20	0.036764276808959925
2020-04-24 10:08:38	OPTIMIZATION:	21	0.03063369472289337
2020-04-24 10:08:38	OPTIMIZATION:	22	0.03476702723596299
2020-04-24 10:08:38	OPTIMIZATION:	23	0.009544437950304845
2020-04-24 10:08:38	OPTIMIZATION:	24	0.004085789757329098
2020-04-24 10:08:38	OPTIMIZATION:	25	0.00338217137008776
2020-04-24 10:08:39	OPTIMIZATION:	26	0.002350408088964333
2020-04-24 10:08:39	SUCCEED:	FINISHED-AFTER:	26
