2020-04-22 17:42:06	INFO:   	Number-of-Epochs	Global-Error
2020-04-22 17:42:06	OPTIMIZATION:	1	0.2033510473226295
2020-04-22 17:42:06	OPTIMIZATION:	2	0.19879429954713423
2020-04-22 17:42:06	OPTIMIZATION:	3	0.19660289827550306
2020-04-22 17:42:07	OPTIMIZATION:	4	0.19541619027839166
2020-04-22 17:42:07	OPTIMIZATION:	5	0.19474463364776542
2020-04-22 17:42:07	OPTIMIZATION:	6	0.19434007945068618
2020-04-22 17:42:07	OPTIMIZATION:	7	0.1940799884112259
2020-04-22 17:42:08	OPTIMIZATION:	8	0.1939021339112347
2020-04-22 17:42:08	OPTIMIZATION:	9	0.19377308254184225
2020-04-22 17:42:08	OPTIMIZATION:	10	0.19367336636626212
2020-04-22 17:42:08	OPTIMIZATION:	11	0.19359016760457223
2020-04-22 17:42:08	OPTIMIZATION:	12	0.1935131447995023
2020-04-22 17:42:09	OPTIMIZATION:	13	0.1934310971623376
2020-04-22 17:42:09	OPTIMIZATION:	14	0.19332748170608693
2020-04-22 17:42:09	OPTIMIZATION:	15	0.19317099675144814
2020-04-22 17:42:09	OPTIMIZATION:	16	0.1928889172651248
2020-04-22 17:42:09	OPTIMIZATION:	17	0.19226670822937778
2020-04-22 17:42:10	OPTIMIZATION:	18	0.1903823915702538
2020-04-22 17:42:10	OPTIMIZATION:	19	0.18014626861136573
2020-04-22 17:42:10	OPTIMIZATION:	20	0.14903272165365145
2020-04-22 17:42:10	OPTIMIZATION:	21	0.13880984043723799
2020-04-22 17:42:11	OPTIMIZATION:	22	0.13669308276640943
2020-04-22 17:42:11	OPTIMIZATION:	23	0.13581965563661166
2020-04-22 17:42:11	OPTIMIZATION:	24	0.13535176610413266
2020-04-22 17:42:11	OPTIMIZATION:	25	0.1350582527213229
2020-04-22 17:42:11	OPTIMIZATION:	26	0.13485063844465364
2020-04-22 17:42:12	OPTIMIZATION:	27	0.13468533227003293
2020-04-22 17:42:12	OPTIMIZATION:	28	0.13453203012506917
2020-04-22 17:42:12	OPTIMIZATION:	29	0.13435172866518483
2020-04-22 17:42:12	OPTIMIZATION:	30	0.1340426603079821
2020-04-22 17:42:12	OPTIMIZATION:	31	0.13299192544784275
2020-04-22 17:42:13	OPTIMIZATION:	32	0.12829624512071833
2020-04-22 17:42:13	OPTIMIZATION:	33	0.12326447832111
2020-04-22 17:42:13	OPTIMIZATION:	34	0.12083976991540123
2020-04-22 17:42:13	OPTIMIZATION:	35	0.12010467654901147
2020-04-22 17:42:14	OPTIMIZATION:	36	0.12031942910541145
2020-04-22 17:42:14	OPTIMIZATION:	37	0.12034367546557646
2020-04-22 17:42:14	OPTIMIZATION:	38	0.11950610857550924
2020-04-22 17:42:14	OPTIMIZATION:	39	0.11891387155653538
