2020-04-22 17:58:19	INFO:   	Number-of-Epochs	Global-Error
2020-04-22 17:58:19	OPTIMIZATION:	1	0.28964005434198054
2020-04-22 17:58:19	OPTIMIZATION:	2	0.2694785792829952
2020-04-22 17:58:20	OPTIMIZATION:	3	0.2655431815000306
2020-04-22 17:58:20	OPTIMIZATION:	4	0.26428130736270883
2020-04-22 17:58:20	OPTIMIZATION:	5	0.2637098327188459
2020-04-22 17:58:20	OPTIMIZATION:	6	0.2633951504566961
2020-04-22 17:58:20	OPTIMIZATION:	7	0.2631996183827946
2020-04-22 17:58:21	OPTIMIZATION:	8	0.2630678734944532
2020-04-22 17:58:21	OPTIMIZATION:	9	0.2629738408548104
2020-04-22 17:58:21	OPTIMIZATION:	10	0.26290377886683297
2020-04-22 17:58:21	OPTIMIZATION:	11	0.2628498038691255
2020-04-22 17:58:22	OPTIMIZATION:	12	0.26280707241780327
2020-04-22 17:58:22	OPTIMIZATION:	13	0.2627724218496679
2020-04-22 17:58:22	OPTIMIZATION:	14	0.2627436500279518
2020-04-22 17:58:22	OPTIMIZATION:	15	0.26271908820913586
2020-04-22 17:58:22	OPTIMIZATION:	16	0.2626972961975013
2020-04-22 17:58:23	OPTIMIZATION:	17	0.26267676719424654
2020-04-22 17:58:23	OPTIMIZATION:	18	0.2626555208788734
2020-04-22 17:58:23	OPTIMIZATION:	19	0.26263037278024753
2020-04-22 17:58:23	OPTIMIZATION:	20	0.26259538782688896
2020-04-22 17:58:24	OPTIMIZATION:	21	0.26253814817267573
2020-04-22 17:58:24	OPTIMIZATION:	22	0.2624292833262008
2020-04-22 17:58:24	OPTIMIZATION:	23	0.262186399098213
2020-04-22 17:58:24	OPTIMIZATION:	24	0.2615067976819133
2020-04-22 17:58:24	OPTIMIZATION:	25	0.25876798416054253
2020-04-22 17:58:25	OPTIMIZATION:	26	0.24598234404263356
2020-04-22 17:58:25	OPTIMIZATION:	27	0.20966057085553133
2020-04-22 17:58:25	OPTIMIZATION:	28	0.18256995847007781
2020-04-22 17:58:25	OPTIMIZATION:	29	0.16550877084018126
2020-04-22 17:58:26	OPTIMIZATION:	30	0.15389765468874317
2020-04-22 17:58:26	OPTIMIZATION:	31	0.10069430373971389
2020-04-22 17:58:26	OPTIMIZATION:	32	0.035540304783171474
2020-04-22 17:58:26	OPTIMIZATION:	33	0.0026171980966030613
2020-04-22 17:58:26	OPTIMIZATION:	34	0.0014727555583660477
2020-04-22 17:58:26	SUCCEED:	FINISHED-AFTER:	34
