2020-04-22 17:56:50	INFO:   	Number-of-Epochs	Global-Error
2020-04-22 17:56:50	OPTIMIZATION:	1	0.2901084846981093
2020-04-22 17:56:50	OPTIMIZATION:	2	0.2693387552453147
2020-04-22 17:56:51	OPTIMIZATION:	3	0.2656396134617516
2020-04-22 17:56:51	OPTIMIZATION:	4	0.26439016935571336
2020-04-22 17:56:51	OPTIMIZATION:	5	0.26380428261827765
2020-04-22 17:56:51	OPTIMIZATION:	6	0.2634752474611618
2020-04-22 17:56:51	OPTIMIZATION:	7	0.2632684415554182
2020-04-22 17:56:51	OPTIMIZATION:	8	0.2631279712804487
2020-04-22 17:56:52	OPTIMIZATION:	9	0.2630267452021388
2020-04-22 17:56:52	OPTIMIZATION:	10	0.26294993711688897
2020-04-22 17:56:52	OPTIMIZATION:	11	0.2628884372795957
2020-04-22 17:56:52	OPTIMIZATION:	12	0.26283581907221665
2020-04-22 17:56:52	OPTIMIZATION:	13	0.2627866290709004
2020-04-22 17:56:52	OPTIMIZATION:	14	0.2627350621267217
2020-04-22 17:56:53	OPTIMIZATION:	15	0.262673387428862
2020-04-22 17:56:53	OPTIMIZATION:	16	0.26258926273200117
2020-04-22 17:56:53	OPTIMIZATION:	17	0.2624600064281038
2020-04-22 17:56:53	OPTIMIZATION:	18	0.26223839611272376
2020-04-22 17:56:53	OPTIMIZATION:	19	0.2618123856731111
2020-04-22 17:56:54	OPTIMIZATION:	20	0.26087652154492463
2020-04-22 17:56:54	OPTIMIZATION:	21	0.25854675022832474
2020-04-22 17:56:54	OPTIMIZATION:	22	0.25317899562118185
2020-04-22 17:56:54	OPTIMIZATION:	23	0.24335594438791486
2020-04-22 17:56:54	OPTIMIZATION:	24	0.22418412652810238
2020-04-22 17:56:54	OPTIMIZATION:	25	0.1999713809059632
2020-04-22 17:56:55	OPTIMIZATION:	26	0.1477898175352716
2020-04-22 17:56:55	OPTIMIZATION:	27	0.04631364096247997
2020-04-22 17:56:55	OPTIMIZATION:	28	0.008213340231443884
2020-04-22 17:56:55	OPTIMIZATION:	29	0.0017033917483438423
2020-04-22 17:56:55	SUCCEED:	FINISHED-AFTER:	29
