# x_0,  x_1,  x_2,  x_3,    y
    0,    0,    0,    0,    0
    0,    0,    0,    1,    1
    0,    0,    1,    0,    0
    0,    0,    1,    1,    0
    0,    1,    0,    0,    0
    0,    1,    0,    1,    0
    0,    1,    1,    0,    0
    0,    1,    1,    1,    0
    1,    0,    0,    0,    0
    1,    0,    0,    1,    0
    1,    0,    1,    0,    0
    1,    0,    1,    1,    0
    1,    1,    0,    0,    0
    1,    1,    0,    1,    1
    1,    1,    1,    0,    0
    1,    1,    1,    1,    0
# and(x_3, nor(x_2, xor(x_0, x_1))),-
