# x_0,  x_1,  x_2,  x_3,    y
    0,    0,    0,    0,    1
    0,    0,    0,    1,    0
    0,    0,    1,    0,    0
    0,    0,    1,    1,    1
    0,    1,    0,    0,    0
    0,    1,    0,    1,    1
    0,    1,    1,    0,    1
    0,    1,    1,    1,    0
    1,    0,    0,    0,    0
    1,    0,    0,    1,    1
    1,    0,    1,    0,    1
    1,    0,    1,    1,    0
    1,    1,    0,    0,    0
    1,    1,    0,    1,    1
    1,    1,    1,    0,    1
    1,    1,    1,    1,    0
# xor(x_3, xor(x_2, nor(x_0, x_1))),-
