# x_0,  x_1,  x_2,  x_3,  x_4,    y
    0,    0,    0,    0,    0,    0
    0,    0,    0,    0,    1,    1
    0,    0,    0,    1,    0,    1
    0,    0,    0,    1,    1,    1
    0,    0,    1,    0,    0,    0
    0,    0,    1,    0,    1,    1
    0,    0,    1,    1,    0,    0
    0,    0,    1,    1,    1,    1
    0,    1,    0,    0,    0,    0
    0,    1,    0,    0,    1,    1
    0,    1,    0,    1,    0,    1
    0,    1,    0,    1,    1,    1
    0,    1,    1,    0,    0,    0
    0,    1,    1,    0,    1,    1
    0,    1,    1,    1,    0,    0
    0,    1,    1,    1,    1,    1
    1,    0,    0,    0,    0,    0
    1,    0,    0,    0,    1,    1
    1,    0,    0,    1,    0,    1
    1,    0,    0,    1,    1,    1
    1,    0,    1,    0,    0,    0
    1,    0,    1,    0,    1,    1
    1,    0,    1,    1,    0,    0
    1,    0,    1,    1,    1,    1
    1,    1,    0,    0,    0,    0
    1,    1,    0,    0,    1,    1
    1,    1,    0,    1,    0,    0
    1,    1,    0,    1,    1,    1
    1,    1,    1,    0,    0,    0
    1,    1,    1,    0,    1,    1
    1,    1,    1,    1,    0,    1
    1,    1,    1,    1,    1,    1
# or(x_4, and(x_3, xor(x_2, nand(x_0, x_1)))),-
