# x_0,  x_1,  x_2,  x_3,  x_4,  x_5,    y
    0,    0,    0,    0,    0,    0,    0
    0,    0,    0,    0,    0,    1,    0
    0,    0,    0,    0,    1,    0,    0
    0,    0,    0,    0,    1,    1,    0
    0,    0,    0,    1,    0,    0,    0
    0,    0,    0,    1,    0,    1,    0
    0,    0,    0,    1,    1,    0,    0
    0,    0,    0,    1,    1,    1,    0
    0,    0,    1,    0,    0,    0,    0
    0,    0,    1,    0,    0,    1,    0
    0,    0,    1,    0,    1,    0,    0
    0,    0,    1,    0,    1,    1,    1
    0,    0,    1,    1,    0,    0,    0
    0,    0,    1,    1,    0,    1,    0
    0,    0,    1,    1,    1,    0,    0
    0,    0,    1,    1,    1,    1,    0
    0,    1,    0,    0,    0,    0,    0
    0,    1,    0,    0,    0,    1,    0
    0,    1,    0,    0,    1,    0,    0
    0,    1,    0,    0,    1,    1,    0
    0,    1,    0,    1,    0,    0,    0
    0,    1,    0,    1,    0,    1,    0
    0,    1,    0,    1,    1,    0,    0
    0,    1,    0,    1,    1,    1,    0
    0,    1,    1,    0,    0,    0,    0
    0,    1,    1,    0,    0,    1,    0
    0,    1,    1,    0,    1,    0,    0
    0,    1,    1,    0,    1,    1,    1
    0,    1,    1,    1,    0,    0,    0
    0,    1,    1,    1,    0,    1,    0
    0,    1,    1,    1,    1,    0,    0
    0,    1,    1,    1,    1,    1,    0
    1,    0,    0,    0,    0,    0,    0
    1,    0,    0,    0,    0,    1,    0
    1,    0,    0,    0,    1,    0,    0
    1,    0,    0,    0,    1,    1,    0
    1,    0,    0,    1,    0,    0,    0
    1,    0,    0,    1,    0,    1,    0
    1,    0,    0,    1,    1,    0,    0
    1,    0,    0,    1,    1,    1,    0
    1,    0,    1,    0,    0,    0,    0
    1,    0,    1,    0,    0,    1,    0
    1,    0,    1,    0,    1,    0,    0
    1,    0,    1,    0,    1,    1,    1
    1,    0,    1,    1,    0,    0,    0
    1,    0,    1,    1,    0,    1,    0
    1,    0,    1,    1,    1,    0,    0
    1,    0,    1,    1,    1,    1,    0
    1,    1,    0,    0,    0,    0,    0
    1,    1,    0,    0,    0,    1,    0
    1,    1,    0,    0,    1,    0,    0
    1,    1,    0,    0,    1,    1,    1
    1,    1,    0,    1,    0,    0,    0
    1,    1,    0,    1,    0,    1,    0
    1,    1,    0,    1,    1,    0,    0
    1,    1,    0,    1,    1,    1,    0
    1,    1,    1,    0,    0,    0,    0
    1,    1,    1,    0,    0,    1,    0
    1,    1,    1,    0,    1,    0,    0
    1,    1,    1,    0,    1,    1,    1
    1,    1,    1,    1,    0,    0,    0
    1,    1,    1,    1,    0,    1,    0
    1,    1,    1,    1,    1,    0,    0
    1,    1,    1,    1,    1,    1,    0
# and(x_5, and(x_4, nor(x_3, nor(x_2, and(x_0, x_1))))),-
