# x_0,  x_1,  x_2,  x_3,  x_4,  x_5,    y
    0,    0,    0,    0,    0,    0,    0
    0,    0,    0,    0,    0,    1,    1
    0,    0,    0,    0,    1,    0,    0
    0,    0,    0,    0,    1,    1,    0
    0,    0,    0,    1,    0,    0,    0
    0,    0,    0,    1,    0,    1,    1
    0,    0,    0,    1,    1,    0,    0
    0,    0,    0,    1,    1,    1,    1
    0,    0,    1,    0,    0,    0,    0
    0,    0,    1,    0,    0,    1,    1
    0,    0,    1,    0,    1,    0,    0
    0,    0,    1,    0,    1,    1,    1
    0,    0,    1,    1,    0,    0,    0
    0,    0,    1,    1,    0,    1,    1
    0,    0,    1,    1,    1,    0,    0
    0,    0,    1,    1,    1,    1,    0
    0,    1,    0,    0,    0,    0,    0
    0,    1,    0,    0,    0,    1,    1
    0,    1,    0,    0,    1,    0,    0
    0,    1,    0,    0,    1,    1,    1
    0,    1,    0,    1,    0,    0,    0
    0,    1,    0,    1,    0,    1,    1
    0,    1,    0,    1,    1,    0,    0
    0,    1,    0,    1,    1,    1,    0
    0,    1,    1,    0,    0,    0,    0
    0,    1,    1,    0,    0,    1,    1
    0,    1,    1,    0,    1,    0,    0
    0,    1,    1,    0,    1,    1,    0
    0,    1,    1,    1,    0,    0,    0
    0,    1,    1,    1,    0,    1,    1
    0,    1,    1,    1,    1,    0,    0
    0,    1,    1,    1,    1,    1,    1
    1,    0,    0,    0,    0,    0,    0
    1,    0,    0,    0,    0,    1,    1
    1,    0,    0,    0,    1,    0,    0
    1,    0,    0,    0,    1,    1,    1
    1,    0,    0,    1,    0,    0,    0
    1,    0,    0,    1,    0,    1,    1
    1,    0,    0,    1,    1,    0,    0
    1,    0,    0,    1,    1,    1,    0
    1,    0,    1,    0,    0,    0,    0
    1,    0,    1,    0,    0,    1,    1
    1,    0,    1,    0,    1,    0,    0
    1,    0,    1,    0,    1,    1,    0
    1,    0,    1,    1,    0,    0,    0
    1,    0,    1,    1,    0,    1,    1
    1,    0,    1,    1,    1,    0,    0
    1,    0,    1,    1,    1,    1,    1
    1,    1,    0,    0,    0,    0,    0
    1,    1,    0,    0,    0,    1,    1
    1,    1,    0,    0,    1,    0,    0
    1,    1,    0,    0,    1,    1,    1
    1,    1,    0,    1,    0,    0,    0
    1,    1,    0,    1,    0,    1,    1
    1,    1,    0,    1,    1,    0,    0
    1,    1,    0,    1,    1,    1,    0
    1,    1,    1,    0,    0,    0,    0
    1,    1,    1,    0,    0,    1,    1
    1,    1,    1,    0,    1,    0,    0
    1,    1,    1,    0,    1,    1,    0
    1,    1,    1,    1,    0,    0,    0
    1,    1,    1,    1,    0,    1,    1
    1,    1,    1,    1,    1,    0,    0
    1,    1,    1,    1,    1,    1,    1
# and(x_5, nand(x_4, xor(x_3, xor(x_2, nor(x_0, x_1))))),-
