# x_0,  x_1,  x_2,  x_3,  x_4,  x_5,  x_6,  x_7,  x_8,  x_9,    y
    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    1
    0,    0,    0,    0,    0,    0,    0,    0,    0,    1,    0
    0,    0,    0,    0,    0,    0,    0,    0,    1,    0,    1
    0,    0,    0,    0,    0,    0,    0,    0,    1,    1,    0
    0,    0,    0,    0,    0,    0,    0,    1,    0,    0,    1
    0,    0,    0,    0,    0,    0,    0,    1,    0,    1,    0
    0,    0,    0,    0,    0,    0,    0,    1,    1,    0,    1
    0,    0,    0,    0,    0,    0,    0,    1,    1,    1,    0
    0,    0,    0,    0,    0,    0,    1,    0,    0,    0,    1
    0,    0,    0,    0,    0,    0,    1,    0,    0,    1,    0
    0,    0,    0,    0,    0,    0,    1,    0,    1,    0,    1
    0,    0,    0,    0,    0,    0,    1,    0,    1,    1,    0
    0,    0,    0,    0,    0,    0,    1,    1,    0,    0,    1
    0,    0,    0,    0,    0,    0,    1,    1,    0,    1,    0
    0,    0,    0,    0,    0,    0,    1,    1,    1,    0,    1
    0,    0,    0,    0,    0,    0,    1,    1,    1,    1,    0
    0,    0,    0,    0,    0,    1,    0,    0,    0,    0,    1
    0,    0,    0,    0,    0,    1,    0,    0,    0,    1,    0
    0,    0,    0,    0,    0,    1,    0,    0,    1,    0,    1
    0,    0,    0,    0,    0,    1,    0,    0,    1,    1,    0
    0,    0,    0,    0,    0,    1,    0,    1,    0,    0,    1
    0,    0,    0,    0,    0,    1,    0,    1,    0,    1,    0
    0,    0,    0,    0,    0,    1,    0,    1,    1,    0,    1
    0,    0,    0,    0,    0,    1,    0,    1,    1,    1,    0
    0,    0,    0,    0,    0,    1,    1,    0,    0,    0,    1
    0,    0,    0,    0,    0,    1,    1,    0,    0,    1,    0
    0,    0,    0,    0,    0,    1,    1,    0,    1,    0,    1
    0,    0,    0,    0,    0,    1,    1,    0,    1,    1,    0
    0,    0,    0,    0,    0,    1,    1,    1,    0,    0,    1
    0,    0,    0,    0,    0,    1,    1,    1,    0,    1,    0
    0,    0,    0,    0,    0,    1,    1,    1,    1,    0,    1
    0,    0,    0,    0,    0,    1,    1,    1,    1,    1,    0
    0,    0,    0,    0,    1,    0,    0,    0,    0,    0,    0
    0,    0,    0,    0,    1,    0,    0,    0,    0,    1,    1
    0,    0,    0,    0,    1,    0,    0,    0,    1,    0,    1
    0,    0,    0,    0,    1,    0,    0,    0,    1,    1,    0
    0,    0,    0,    0,    1,    0,    0,    1,    0,    0,    1
    0,    0,    0,    0,    1,    0,    0,    1,    0,    1,    0
    0,    0,    0,    0,    1,    0,    0,    1,    1,    0,    1
    0,    0,    0,    0,    1,    0,    0,    1,    1,    1,    0
    0,    0,    0,    0,    1,    0,    1,    0,    0,    0,    1
    0,    0,    0,    0,    1,    0,    1,    0,    0,    1,    0
    0,    0,    0,    0,    1,    0,    1,    0,    1,    0,    1
    0,    0,    0,    0,    1,    0,    1,    0,    1,    1,    0
    0,    0,    0,    0,    1,    0,    1,    1,    0,    0,    1
    0,    0,    0,    0,    1,    0,    1,    1,    0,    1,    0
    0,    0,    0,    0,    1,    0,    1,    1,    1,    0,    1
    0,    0,    0,    0,    1,    0,    1,    1,    1,    1,    0
    0,    0,    0,    0,    1,    1,    0,    0,    0,    0,    1
